ZONE CHART,,,,,,

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 047-01 to 047-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
,,,,,,
004-005,4,304,204,244,134,104
006-007,45,-,225,-,-,125
8,[1],-,[1],-,-,[1]
9,45,-,225,-,-,125
010-013,4,304,204,244,134,104
14,3,303,203,243,133,103
015-018,4,304,204,244,134,104
19,3,303,203,243,133,103
020-029,4,304,204,244,134,104
030-033,3,303,203,243,133,103
34,4,304,204,244,134,104
035-042,3,303,203,243,133,103
043-044,2,302,202,242,132,102
45,3,303,203,243,133,103
046-049,2,302,202,242,132,102
050-051,3,303,203,243,133,103
052-053,4,304,204,244,134,104
54,3,303,203,243,133,103
55,4,304,204,244,134,104
056-059,3,303,203,243,133,103
060-089,4,304,204,244,134,104
090-099,-,-,-,-,-,-
100-128,4,304,204,244,134,104
129,3,303,203,243,133,103
130-146,4,304,204,244,134,104
147,5,305,205,245,135,105
148-149,4,304,204,244,134,104
150-168,5,305,205,245,135,105
169-172,4,304,204,244,134,104
173-174,5,305,205,245,135,105
175-198,4,304,204,244,134,104
199,5,305,205,245,135,105
200-218,5,305,205,245,135,105
219,4,304,204,-,134,104
220-286,5,305,205,245,135,105
287-296,6,306,206,246,136,106
297,5,305,205,245,135,105
298-299,6,306,206,246,136,106
300-323,6,306,206,246,136,106
324-325,7,307,207,247,137,107
326-328,6,306,206,246,136,106
329-339,7,307,207,247,137,107
340,-,-,-,-,-,-
341-342,7,307,207,247,137,107
344,6,306,206,246,136,106
346,7,307,207,247,137,107
347,6,306,206,246,136,106
349,7,307,207,247,137,107
350-363,6,306,206,246,136,106
364-366,7,307,207,247,137,107
367-368,6,306,206,246,136,106
369,7,307,207,-,137,107
370-375,6,306,206,246,136,106
376,5,305,205,245,135,105
377-386,6,306,206,246,136,106
387,7,307,207,247,137,107
388,6,306,206,246,136,106
389-396,7,307,207,247,137,107
397-399,6,306,206,246,136,106
400-402,6,306,206,246,136,106
403-405,5,305,205,245,135,105
406-409,6,306,206,246,136,106
410-418,5,305,205,245,135,105
420-427,6,306,206,246,136,106
430-459,5,305,205,245,135,105
460-462,6,306,206,246,136,106
463-470,5,305,205,245,135,105
471-472,6,306,206,246,136,106
473,5,305,205,245,135,105
474-479,6,306,206,246,136,106
480-499,5,305,205,245,135,105
500-509,6,306,206,246,136,106
510-511,7,307,207,247,137,107
512-514,6,306,206,246,136,106
515-516,7,307,207,247,137,107
520-528,6,306,206,246,136,106
530-534,5,305,205,245,135,105
535-540,6,306,206,246,136,106
541-543,5,305,205,245,135,105
544-567,6,306,206,246,136,106
570-577,7,307,207,247,137,107
580-582,6,306,206,246,136,106
583-588,7,307,207,247,137,107
590-591,8,308,208,248,138,108
592-593,7,307,207,-,-,107
594-599,8,308,208,248,138,108
600-639,6,306,206,246,136,106
640-645,7,307,207,247,137,107
646,6,306,206,246,136,106
647-649,7,307,207,247,137,107
650-655,6,306,206,246,136,106
656-693,7,307,207,247,137,107
700-722,7,307,207,247,137,107
723-724,6,306,206,246,136,106
725-732,7,307,207,247,137,107
733,8,308,208,-,-,108
734-764,7,307,207,247,137,107
765-775,8,308,208,248,138,108
776-777,7,307,207,247,137,107
778-799,8,308,208,248,138,108
800-898,8,308,208,248,138,108
900-961,8,308,208,248,138,108
962-966,-,-,-,-,-,-,,
967-968,[2],-,[2],-,-,[2],,
969,-,-,[1],-,-,[1],,
970-994,8,308,208,248,138,108,,
