ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 556-01 to 558-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,5,305,205,245,135,105
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-013,5,305,205,245,135,105
014-034,6,306,206,246,136,106
035-037,5,305,205,245,135,105
038-049,6,306,206,246,136,106
050-054,5,305,205,245,135,105
055,6,306,206,246,136,106
056-059,5,305,205,245,135,105
060-065,6,306,206,246,136,106
066-083,5,305,205,245,135,105
084,6,306,206,246,136,106
085-089,5,305,205,245,135,105
090-099,-,-,-,-,-,-
100-118,5,305,205,245,135,105
119,6,306,206,246,136,106
120-199,5,305,205,245,135,105
200-217,5,305,205,245,135,105
218,6,306,206,246,136,106
219-232,5,305,205,245,135,105
233-237,6,306,206,246,136,106
238-274,5,305,205,245,135,105
275-279,6,306,206,246,136,106
280-282,5,305,205,245,135,105
283-285,6,306,206,246,136,106
286-289,5,305,205,245,135,105
290-292,6,306,206,246,136,106
293,5,305,205,245,135,105
294-295,6,306,206,246,136,106
296-297,5,305,205,245,135,105
298-299,6,306,206,246,136,106
300-303,5,305,205,245,135,105
304,6,306,206,246,136,106
305-307,5,305,205,245,135,105
308-310,6,306,206,246,136,106
311,5,305,205,245,135,105
312-329,6,306,206,246,136,106
330-334,7,307,207,247,137,107
335-338,6,306,206,246,136,106
339,7,307,207,247,137,107
340,-,-,-,-,-,-
341,7,307,207,247,137,107
342-347,6,306,206,246,136,106
349,7,307,207,247,137,107
350-359,5,305,205,245,135,105
360-361,6,306,206,246,136,106
362,5,305,205,245,135,105
363-368,6,306,206,246,136,106
369-393,5,305,205,245,135,105
394-396,6,306,206,246,136,106
397,5,305,205,245,135,105
398,6,306,206,246,136,106
399,5,305,205,245,135,105
400-432,5,305,205,245,135,105
433-436,4,304,204,244,134,104
437-457,5,305,205,245,135,105
458,4,304,204,244,134,104
459,5,305,205,245,135,105
460-469,4,304,204,244,134,104
470-471,5,305,205,245,135,105
472-475,4,304,204,244,134,104
476-477,5,305,205,245,135,105
478-497,4,304,204,244,134,104
498-499,3,303,203,243,133,103
500-503,4,304,204,244,134,104
504-507,3,303,203,243,133,103
508-511,4,304,204,244,134,104
512-513,3,303,203,243,133,103
514-516,4,304,204,244,134,104
520-521,3,303,203,243,133,103
522-534,4,304,204,244,134,104
535-539,3,303,203,243,133,103
540,2,302,202,242,132,102
541-544,3,303,203,243,133,103
545,2,302,202,-,132,102
546,3,303,203,243,133,103
547-548,2,302,202,242,132,102
549,3,303,203,243,133,103
550-558,2,302,202,242,132,102
559-562,3,303,203,243,133,103
563-564,2,302,202,242,132,102
565,3,303,203,243,133,103
566,2,302,202,242,132,102
567,3,303,203,243,133,103
568-572,3,303,203,243,133,103
573,4,304,204,244,134,104
574,3,303,203,243,133,103
575-577,4,304,204,244,134,104
580-582,3,303,203,243,133,103
583,4,304,204,-,134,104
584,3,303,203,243,133,103
585-588,4,304,204,244,134,104
590-597,5,305,205,245,135,105
598-599,6,306,206,246,136,106
600-628,4,304,204,244,134,104
629,5,305,205,245,135,105
630-635,4,304,204,244,134,104
636-639,5,305,205,245,135,105
640-647,4,304,204,244,134,104
648,5,305,205,245,135,105
649-653,4,304,204,244,134,104
654-658,5,305,205,245,135,105
660-666,4,304,204,244,134,104
667,5,305,205,245,135,105
668-669,4,304,204,244,134,104
670-673,5,305,205,245,135,105
674,4,304,204,244,134,104
675-679,5,305,205,245,135,105
680-693,4,304,204,244,134,104
700-709,6,306,206,246,136,106
710-712,5,305,205,245,135,105
713-714,6,306,206,246,136,106
716-732,5,305,205,245,135,105
733,6,306,206,-,-,106
734-757,5,305,205,245,135,105
758-759,6,306,206,246,136,106
760-764,5,305,205,245,135,105
765-784,6,306,206,246,136,106
