UPS Next Day Air Early A.M.® -- Origin Alaska,,
Daily Rates,,
"EFFECTIVE JANUARY 3, 2005",,
Rates do not include a fuel surcharge.,,

A $1.75 surcharge will be added to each Letter and package going to a residential destination.,,

Weight Not To Exceed,Zone 22,Zone 24

Letter,$43.00 ,$44.75 
1,$48.50 ,$54.25 
2,$51.00 ,$56.75 
3,$53.25 ,$59.25 
4,$55.25 ,$62.00 
5,$57.25 ,$64.50 
6,$59.00 ,$67.00 
7,$61.25 ,$69.50 
8,$63.25 ,$71.75 
9,$65.00 ,$74.00 
10,$66.75 ,$76.25 
11,$68.75 ,$78.50 
12,$70.75 ,$80.50 
13,$72.50 ,$82.75 
14,$74.25 ,$85.00 
15,$76.25 ,$87.25 
16,$78.00 ,$89.25 
17,$79.75 ,$91.00 
18,$81.00 ,$92.75 
19,$82.25 ,$94.50 
20,$83.75 ,$96.50 
21,$85.25 ,$98.25 
22,$87.00 ,$100.00 
23,$88.75 ,$101.50 
24,$90.25 ,$103.00 
25,$91.50 ,$104.50 
26,$93.00 ,$106.50 
27,$94.25 ,$108.25 
28,$95.50 ,$110.00 
29,$97.25 ,$112.00 
30,$98.50 ,$114.00 
31,$100.00 ,$116.25 
32,$101.50 ,$118.00 
33,$102.75 ,$119.75 
34,$104.50 ,$121.75 
35,$106.00 ,$124.00 
36,$107.50 ,$126.25 
37,$109.00 ,$128.25 
38,$110.25 ,$130.25 
39,$111.75 ,$132.75 
40,$113.25 ,$135.00 
41,$115.25 ,$137.00 
42,$116.75 ,$139.00 
43,$118.25 ,$140.75 
44,$119.75 ,$142.75 
45,$121.75 ,$144.75 
46,$123.50 ,$146.75 
47,$125.00 ,$148.50 
48,$126.50 ,$150.50 
49,$128.00 ,$152.25 
50,$129.75 ,$154.25 
51,$131.50 ,$156.50 
52,$133.25 ,$158.75 
53,$134.75 ,$161.00 
54,$136.25 ,$163.25 
55,$138.00 ,$165.25 
56,$139.75 ,$167.50 
57,$141.50 ,$170.25 
58,$143.25 ,$172.75 
59,$145.00 ,$175.25 
60,$147.00 ,$178.00 
61,$148.75 ,$180.75 
62,$151.00 ,$183.50 
63,$153.50 ,$186.50 
64,$155.75 ,$189.00 
65,$157.75 ,$191.50 
66,$160.00 ,$194.50 
67,$162.25 ,$197.50 
68,$164.50 ,$200.25 
69,$166.75 ,$202.75 
70,$169.25 ,$205.50 
71,$171.50 ,$208.25 
72,$173.50 ,$211.00 
73,$175.75 ,$213.75 
74,$178.00 ,$216.50 
75,$180.25 ,$219.25 
76,$182.75 ,$222.00 
77,$185.00 ,$224.75 
78,$187.25 ,$227.25 
79,$189.50 ,$229.75 
80,$191.75 ,$232.75 
81,$193.75 ,$235.25 
82,$196.25 ,$237.75 
83,$198.50 ,$240.50 
84,$200.75 ,$243.00 
85,$203.00 ,$245.50 
86,$205.25 ,$248.25 
87,$207.25 ,$251.00 
88,$209.25 ,$253.50 
89,$211.25 ,$256.25 
90,$213.75 ,$259.25 
91,$216.25 ,$262.00 
92,$218.50 ,$264.50 
93,$220.75 ,$267.00 
94,$223.00 ,$269.75 
95,$225.25 ,$272.50 
96,$227.50 ,$275.25 
97,$229.50 ,$278.00 
98,$231.75 ,$280.50 
99,$234.00 ,$283.00 
100,$236.50 ,$285.25 
101,$238.75 ,$287.75 
102,$241.00 ,$290.00 
103,$243.00 ,$292.25 
104,$245.25 ,$294.75 
105,$247.50 ,$297.25 
106,$250.00 ,$299.75 
107,$252.25 ,$302.00 
108,$254.50 ,$304.75 
109,$256.75 ,$307.25 
110,$259.25 ,$309.75 
111,$261.50 ,$312.50 
112,$263.75 ,$315.25 
113,$265.75 ,$318.00 
114,$268.25 ,$320.25 
115,$270.50 ,$323.00 
116,$272.50 ,$325.75 
117,$274.50 ,$328.25 
118,$277.00 ,$331.00 
119,$279.25 ,$333.50 
120,$281.50 ,$336.00 
121,$283.50 ,$338.75 
122,$285.75 ,$341.25 
123,$287.75 ,$343.50 
124,$290.00 ,$346.00 
125,$292.25 ,$349.00 
126,$294.75 ,$351.50 
127,$297.00 ,$353.75 
128,$299.00 ,$356.00 
129,$300.75 ,$358.75 
130,$302.50 ,$361.25 
131,$304.75 ,$363.75 
132,$306.75 ,$366.50 
133,$308.75 ,$369.00 
134,$310.50 ,$371.75 
135,$312.50 ,$374.25 
136,$314.50 ,$376.75 
137,$316.50 ,$379.25 
138,$318.50 ,$382.00 
139,$320.50 ,$384.50 
140,$322.50 ,$386.75 
141,$324.50 ,$389.25 
142,$326.50 ,$391.75 
143,$328.50 ,$394.50 
144,$330.50 ,$397.00 
145,$332.50 ,$399.75 
146,$334.50 ,$402.25 
147,$336.50 ,$405.00 
148,$338.50 ,$407.75 
149,$340.50 ,$410.50 
150,$342.50 ,$413.25 
Multiplier,$2.11 ,$2.58 
