Intra-Alaska Ground Residential,,
Daily Rates,,
"EFFECTIVE JANUARY 3, 2005",,
Rates do not include a fuel surcharge.,,

Weight Not To Exceed,Zone 2,Zone 3

1,$4.71 ,$4.90 
2,$4.81 ,$5.04 
3,$4.91 ,$5.18 
4,$5.03 ,$5.31 
5,$5.16 ,$5.47 
6,$5.28 ,$5.61 
7,$5.41 ,$5.76 
8,$5.55 ,$5.91 
9,$5.68 ,$6.05 
10,$5.84 ,$6.21 
11,$5.98 ,$6.35 
12,$6.15 ,$6.51 
13,$6.30 ,$6.66 
14,$6.46 ,$6.83 
15,$6.61 ,$6.99 
16,$6.75 ,$7.17 
17,$6.91 ,$7.33 
18,$7.06 ,$7.52 
19,$7.23 ,$7.70 
20,$7.38 ,$7.91 
21,$7.55 ,$8.10 
22,$7.70 ,$8.31 
23,$7.87 ,$8.50 
24,$8.03 ,$8.71 
25,$8.21 ,$8.92 
26,$8.37 ,$9.12 
27,$8.55 ,$9.33 
28,$8.71 ,$9.52 
29,$8.89 ,$9.73 
30,$9.04 ,$9.94 
31,$9.22 ,$10.13 
32,$9.38 ,$10.34 
33,$9.54 ,$10.53 
34,$9.72 ,$10.74 
35,$9.88 ,$10.94 
36,$10.06 ,$11.14 
37,$10.22 ,$11.35 
38,$10.40 ,$11.54 
39,$10.56 ,$11.76 
40,$10.74 ,$11.96 
41,$10.89 ,$12.16 
42,$11.07 ,$12.37 
43,$11.23 ,$12.56 
44,$11.41 ,$12.77 
45,$11.57 ,$12.96 
46,$11.75 ,$13.17 
47,$11.91 ,$13.37 
48,$12.09 ,$13.58 
49,$12.25 ,$13.79 
50,$12.42 ,$13.98 
51,$12.58 ,$14.19 
52,$12.76 ,$14.39 
53,$12.92 ,$14.59 
54,$13.10 ,$14.79 
55,$13.26 ,$14.99 
56,$13.44 ,$15.20 
57,$13.60 ,$15.40 
58,$13.78 ,$15.60 
59,$13.94 ,$15.80 
60,$14.12 ,$16.00 
61,$14.27 ,$16.20 
62,$14.44 ,$16.42 
63,$14.61 ,$16.62 
64,$14.78 ,$16.82 
65,$14.95 ,$17.02 
66,$15.12 ,$17.22 
67,$15.29 ,$17.43 
68,$15.46 ,$17.63 
69,$15.63 ,$17.84 
70,$15.80 ,$18.05 
71,$17.92 ,$20.18 
72,$20.04 ,$22.30 
73,$22.17 ,$24.42 
74,$24.30 ,$26.54 
75,$26.42 ,$28.66 
76,$27.48 ,$29.72 
77,$28.27 ,$30.52 
78,$28.80 ,$31.05 
79,$29.33 ,$31.58 
80,$29.86 ,$32.11 
81,$30.34 ,$32.59 
82,$30.82 ,$33.07 
83,$31.24 ,$33.55 
84,$31.67 ,$34.02 
85,$32.09 ,$34.50 
86,$32.51 ,$34.93 
87,$32.91 ,$35.35 
88,$33.30 ,$35.76 
89,$33.68 ,$36.18 
90,$34.05 ,$36.58 
91,$34.41 ,$36.99 
92,$34.76 ,$37.39 
93,$35.10 ,$37.79 
94,$35.44 ,$38.18 
95,$35.78 ,$38.58 
96,$36.12 ,$38.98 
97,$36.46 ,$39.38 
98,$36.80 ,$39.77 
99,$37.14 ,$40.16 
100,$37.48 ,$40.56 
101,$37.82 ,$40.95 
102,$38.16 ,$41.34 
103,$38.50 ,$41.74 
104,$38.84 ,$42.14 
105,$39.18 ,$42.53 
106,$39.52 ,$42.93 
107,$39.86 ,$43.32 
108,$40.20 ,$43.71 
109,$40.54 ,$44.10 
110,$40.88 ,$44.50 
111,$41.22 ,$44.90 
112,$41.56 ,$45.30 
113,$41.90 ,$45.69 
114,$42.24 ,$46.08 
115,$42.58 ,$46.47 
116,$42.92 ,$46.88 
117,$43.26 ,$47.27 
118,$43.60 ,$47.66 
119,$43.94 ,$48.05 
120,$44.28 ,$48.45 
121,$44.62 ,$48.84 
122,$44.96 ,$49.24 
123,$45.30 ,$49.64 
124,$45.64 ,$50.03 
125,$45.98 ,$50.42 
126,$46.31 ,$50.81 
127,$46.65 ,$51.21 
128,$46.99 ,$51.61 
129,$47.33 ,$52.00 
130,$47.67 ,$52.40 
131,$48.01 ,$52.79 
132,$48.35 ,$53.19 
133,$48.69 ,$53.59 
134,$49.03 ,$53.99 
135,$49.37 ,$54.41 
136,$49.71 ,$54.81 
137,$50.05 ,$55.21 
138,$50.39 ,$55.61 
139,$50.74 ,$56.01 
140,$51.09 ,$56.41 
141,$51.44 ,$56.82 
142,$51.79 ,$57.23 
143,$52.14 ,$57.63 
144,$52.49 ,$58.03 
145,$52.84 ,$58.43 
146,$53.19 ,$58.83 
147,$53.54 ,$59.24 
148,$53.89 ,$59.65 
149,$54.24 ,$60.05 
150,$54.59 ,$60.45 
