UPS U.S. to Canada Accessorials,

Rates do not include a fuel surcharge.,

ACCESSORIAL,RATE
Bill Duty/Tax & Shipping Charges to Shipper,$15.00 
Certificate of Origin,$10.00 
Currency Conversion Rate,0.75%
"Delivered Duty Paid, V.A.T. Unpaid",$15.00 
Dimensional Weight Factor,166
Extended Area Surcharge,Greater of $20 or $0.20 per pound
Freight Collect Refusal - International,$10.00 
International Dangerous Goods,$40.00 
Shipper's Export Declaration,$10.00 
Worldwide Express Plus Surcharge,$40.00 
