UPS 2nd Day Air® -- Origin Hawaii,,
Daily Rates,,
"EFFECTIVE JANUARY 3, 2005",,
Rates do not include a fuel surcharge.,,

A $1.75 surcharge will be added to each Letter and package going to a residential destination.,,

Weight Not To Exceed,Zone 14,Zone 16

Letter,$9.50 ,$16.70 
1,$10.70 ,$22.20 
2,$12.30 ,$24.00 
3,$14.00 ,$25.60 
4,$15.70 ,$27.20 
5,$17.50 ,$29.00 
6,$19.50 ,$31.00 
7,$21.40 ,$32.80 
8,$23.30 ,$34.80 
9,$25.20 ,$36.60 
10,$27.10 ,$38.60 
11,$29.00 ,$40.40 
12,$30.70 ,$42.10 
13,$32.20 ,$43.60 
14,$33.80 ,$45.00 
15,$35.30 ,$46.40 
16,$36.60 ,$47.70 
17,$37.80 ,$49.00 
18,$39.00 ,$50.10 
19,$40.00 ,$51.20 
20,$41.10 ,$52.30 
21,$42.20 ,$53.40 
22,$43.40 ,$54.60 
23,$44.60 ,$55.80 
24,$45.80 ,$57.00 
25,$47.10 ,$58.30 
26,$48.40 ,$59.60 
27,$49.80 ,$60.90 
28,$51.20 ,$62.30 
29,$52.70 ,$63.80 
30,$54.10 ,$65.20 
31,$55.40 ,$66.60 
32,$56.80 ,$68.00 
33,$58.10 ,$69.40 
34,$59.50 ,$70.80 
35,$60.90 ,$72.10 
36,$62.30 ,$73.40 
37,$63.70 ,$74.70 
38,$65.10 ,$76.00 
39,$66.50 ,$77.30 
40,$67.90 ,$78.70 
41,$69.20 ,$80.10 
42,$70.30 ,$81.30 
43,$71.40 ,$82.50 
44,$72.50 ,$83.60 
45,$73.70 ,$84.90 
46,$75.10 ,$86.20 
47,$76.50 ,$87.50 
48,$77.90 ,$88.90 
49,$79.30 ,$90.20 
50,$80.50 ,$91.40 
51,$81.80 ,$92.70 
52,$82.90 ,$93.90 
53,$84.00 ,$94.90 
54,$85.10 ,$96.00 
55,$86.20 ,$97.10 
56,$87.40 ,$98.20 
57,$88.60 ,$99.40 
58,$89.80 ,$100.40 
59,$90.80 ,$101.60 
60,$92.10 ,$102.90 
61,$93.50 ,$104.30 
62,$94.70 ,$105.60 
63,$96.10 ,$107.00 
64,$97.30 ,$108.30 
65,$98.30 ,$109.40 
66,$99.40 ,$110.50 
67,$100.70 ,$111.70 
68,$102.00 ,$113.00 
69,$103.40 ,$114.40 
70,$104.80 ,$115.70 
71,$106.10 ,$117.00 
72,$107.50 ,$118.40 
73,$108.80 ,$119.70 
74,$110.00 ,$120.90 
75,$111.20 ,$122.10 
76,$112.50 ,$123.40 
77,$113.80 ,$124.70 
78,$115.10 ,$126.00 
79,$116.40 ,$127.40 
80,$117.80 ,$128.90 
81,$119.20 ,$130.30 
82,$120.50 ,$131.70 
83,$121.90 ,$133.10 
84,$123.20 ,$134.40 
85,$124.60 ,$135.80 
86,$126.00 ,$137.10 
87,$127.40 ,$138.40 
88,$128.90 ,$139.90 
89,$130.30 ,$141.20 
90,$131.90 ,$142.80 
91,$133.50 ,$144.50 
92,$134.90 ,$146.20 
93,$136.20 ,$147.70 
94,$137.50 ,$149.10 
95,$138.80 ,$150.40 
96,$140.10 ,$151.70 
97,$141.30 ,$152.80 
98,$142.60 ,$154.00 
99,$143.90 ,$155.30 
100,$145.10 ,$156.40 
101,$146.50 ,$157.80 
102,$147.80 ,$159.10 
103,$149.20 ,$160.50 
104,$150.50 ,$161.70 
105,$151.90 ,$163.00 
106,$153.30 ,$164.30 
107,$154.70 ,$165.60 
108,$156.10 ,$166.90 
109,$157.70 ,$168.50 
110,$159.30 ,$170.10 
111,$160.80 ,$171.70 
112,$162.10 ,$173.20 
113,$163.40 ,$174.60 
114,$164.80 ,$176.00 
115,$166.20 ,$177.30 
116,$167.80 ,$178.90 
117,$169.30 ,$180.40 
118,$170.70 ,$181.70 
119,$172.10 ,$183.00 
120,$173.50 ,$184.30 
121,$174.80 ,$185.70 
122,$176.30 ,$187.20 
123,$177.80 ,$188.70 
124,$179.40 ,$190.30 
125,$180.80 ,$191.70 
126,$182.10 ,$193.00 
127,$183.60 ,$194.40 
128,$185.10 ,$195.90 
129,$186.50 ,$197.30 
130,$187.80 ,$198.70 
131,$189.10 ,$200.20 
132,$190.60 ,$201.70 
133,$191.90 ,$203.20 
134,$193.50 ,$204.80 
135,$195.10 ,$206.50 
136,$196.60 ,$208.10 
137,$198.00 ,$209.60 
138,$199.30 ,$210.90 
139,$200.70 ,$212.30 
140,$202.20 ,$213.80 
141,$203.80 ,$215.40 
142,$205.30 ,$216.80 
143,$206.70 ,$218.20 
144,$208.10 ,$219.60 
145,$209.40 ,$220.90 
146,$211.00 ,$222.50 
147,$212.60 ,$223.90 
148,$214.20 ,$225.50 
149,$215.80 ,$227.00 
150,$217.40 ,$228.50 
Multiplier,$1.46 ,$1.54 
