Next Day Air -- Origin Hawaii,,,,,
Daily Rates,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,
Rates do not include a fuel surcharge.,,,,,

A $1.75 surcharge will be added to each Letter and package going to a residential destination.,,,,,

Weight Not To Exceed,Zone 12,Zone 22,Zone 142,Zone 144,Zone 146

Letter,$7.25 ,$7.25 ,$16.00 ,$16.00 ,$22.00 
1,$7.75 ,$7.75 ,$25.75 ,$25.75 ,$36.25 
2,$8.50 ,$8.50 ,$28.25 ,$28.25 ,$39.00 
3,$9.25 ,$9.25 ,$31.00 ,$31.00 ,$41.75 
4,$9.75 ,$9.75 ,$33.50 ,$33.50 ,$44.00 
5,$10.50 ,$10.50 ,$36.00 ,$36.00 ,$46.25 
6,$10.75 ,$10.75 ,$38.25 ,$38.25 ,$48.75 
7,$11.00 ,$11.00 ,$40.75 ,$40.75 ,$51.50 
8,$11.25 ,$11.25 ,$43.25 ,$43.25 ,$53.75 
9,$11.50 ,$11.50 ,$45.50 ,$45.50 ,$56.00 
10,$12.00 ,$12.00 ,$48.00 ,$48.00 ,$58.50 
11,$12.25 ,$12.25 ,$50.25 ,$50.25 ,$60.75 
12,$12.50 ,$12.50 ,$52.25 ,$52.25 ,$62.75 
13,$13.00 ,$13.00 ,$54.25 ,$54.25 ,$65.00 
14,$13.25 ,$13.25 ,$56.25 ,$56.25 ,$67.00 
15,$13.50 ,$13.50 ,$58.50 ,$58.50 ,$69.25 
16,$14.00 ,$14.00 ,$60.75 ,$60.75 ,$71.25 
17,$14.25 ,$14.25 ,$62.50 ,$62.50 ,$73.00 
18,$14.50 ,$14.50 ,$64.25 ,$64.25 ,$75.00 
19,$14.75 ,$14.75 ,$66.00 ,$66.00 ,$76.50 
20,$15.00 ,$15.00 ,$68.00 ,$68.00 ,$78.50 
21,$15.50 ,$15.50 ,$69.75 ,$69.75 ,$80.00 
22,$15.75 ,$15.75 ,$71.50 ,$71.50 ,$81.75 
23,$16.00 ,$16.00 ,$73.00 ,$73.00 ,$83.25 
24,$16.50 ,$16.50 ,$74.50 ,$74.50 ,$85.00 
25,$16.75 ,$16.75 ,$76.00 ,$76.00 ,$86.75 
26,$17.00 ,$17.00 ,$78.00 ,$78.00 ,$88.50 
27,$17.25 ,$17.25 ,$79.75 ,$79.75 ,$90.25 
28,$17.50 ,$17.50 ,$81.50 ,$81.50 ,$92.00 
29,$17.75 ,$17.75 ,$83.25 ,$83.25 ,$94.00 
30,$18.00 ,$18.00 ,$85.25 ,$85.25 ,$96.25 
31,$18.50 ,$18.50 ,$87.50 ,$87.50 ,$98.25 
32,$18.75 ,$18.75 ,$89.50 ,$89.50 ,$100.25 
33,$19.00 ,$19.00 ,$91.50 ,$91.50 ,$102.00 
34,$19.25 ,$19.25 ,$93.50 ,$93.50 ,$104.25 
35,$19.75 ,$19.75 ,$95.75 ,$95.75 ,$106.25 
36,$20.50 ,$20.50 ,$97.75 ,$97.75 ,$108.25 
37,$21.00 ,$21.00 ,$99.75 ,$99.75 ,$110.25 
38,$21.25 ,$21.25 ,$102.00 ,$102.00 ,$112.50 
39,$21.50 ,$21.50 ,$104.25 ,$104.25 ,$114.75 
40,$21.75 ,$21.75 ,$106.25 ,$106.25 ,$116.75 
41,$22.25 ,$22.25 ,$108.25 ,$108.25 ,$119.00 
42,$22.50 ,$22.50 ,$110.50 ,$110.50 ,$121.00 
43,$22.75 ,$22.75 ,$112.25 ,$112.25 ,$123.00 
44,$23.00 ,$23.00 ,$114.25 ,$114.25 ,$124.75 
45,$23.25 ,$23.25 ,$116.25 ,$116.25 ,$127.00 
46,$23.50 ,$23.50 ,$118.25 ,$118.25 ,$129.00 
47,$23.75 ,$23.75 ,$120.00 ,$120.00 ,$131.00 
48,$24.00 ,$24.00 ,$122.00 ,$122.00 ,$132.75 
49,$24.50 ,$24.50 ,$124.00 ,$124.00 ,$134.50 
50,$25.00 ,$25.00 ,$126.00 ,$126.00 ,$136.50 
51,$25.50 ,$25.50 ,$128.25 ,$128.25 ,$138.75 
52,$26.00 ,$26.00 ,$130.50 ,$130.50 ,$141.00 
53,$26.25 ,$26.25 ,$132.75 ,$132.75 ,$143.00 
54,$26.75 ,$26.75 ,$135.00 ,$135.00 ,$145.50 
55,$27.25 ,$27.25 ,$137.00 ,$137.00 ,$147.75 
56,$27.50 ,$27.50 ,$139.25 ,$139.25 ,$150.25 
57,$27.75 ,$27.75 ,$142.00 ,$142.00 ,$152.75 
58,$28.00 ,$28.00 ,$144.50 ,$144.50 ,$155.00 
59,$28.25 ,$28.25 ,$147.00 ,$147.00 ,$157.50 
60,$28.50 ,$28.50 ,$149.75 ,$149.75 ,$160.25 
61,$28.75 ,$28.75 ,$152.25 ,$152.25 ,$162.75 
62,$29.00 ,$29.00 ,$155.00 ,$155.00 ,$165.50 
63,$29.25 ,$29.25 ,$158.00 ,$158.00 ,$168.50 
64,$29.75 ,$29.75 ,$160.75 ,$160.75 ,$171.25 
65,$30.25 ,$30.25 ,$163.50 ,$163.50 ,$174.00 
66,$30.75 ,$30.75 ,$166.25 ,$166.25 ,$177.00 
67,$31.25 ,$31.25 ,$169.00 ,$169.00 ,$179.75 
68,$32.25 ,$32.25 ,$171.75 ,$171.75 ,$182.25 
69,$33.00 ,$33.00 ,$174.50 ,$174.50 ,$185.25 
70,$33.75 ,$33.75 ,$177.25 ,$177.25 ,$188.00 
71,$35.00 ,$35.00 ,$179.75 ,$179.75 ,$190.75 
72,$35.75 ,$35.75 ,$182.25 ,$182.25 ,$193.25 
73,$36.25 ,$36.25 ,$185.00 ,$185.00 ,$196.00 
74,$36.75 ,$36.75 ,$188.00 ,$188.00 ,$198.75 
75,$37.00 ,$37.00 ,$191.00 ,$191.00 ,$201.25 
76,$37.25 ,$37.25 ,$193.50 ,$193.50 ,$204.00 
77,$37.50 ,$37.50 ,$196.25 ,$196.25 ,$206.50 
78,$37.75 ,$37.75 ,$198.75 ,$198.75 ,$209.00 
