Next Day Air Early A.M. -- Origin Hawaii,,
Daily Rates,,
"EFFECTIVE JANUARY 3, 2005",,
Rates do not include a fuel surcharge.,,

A $1.75 surcharge will be added to each Letter and package going to a residential destination.,,

Weight Not To Exceed,Zone 142,Zone 144

Letter,$44.50 ,$44.50 
1,$54.25 ,$54.25 
2,$56.75 ,$56.75 
3,$59.50 ,$59.50 
4,$62.00 ,$62.00 
5,$64.50 ,$64.50 
6,$66.75 ,$66.75 
7,$69.25 ,$69.25 
8,$71.75 ,$71.75 
9,$74.00 ,$74.00 
10,$76.50 ,$76.50 
11,$78.75 ,$78.75 
12,$80.75 ,$80.75 
13,$82.75 ,$82.75 
14,$84.75 ,$84.75 
15,$87.00 ,$87.00 
16,$89.25 ,$89.25 
17,$91.00 ,$91.00 
18,$92.75 ,$92.75 
19,$94.50 ,$94.50 
20,$96.50 ,$96.50 
21,$98.25 ,$98.25 
22,$100.00 ,$100.00 
23,$101.50 ,$101.50 
24,$103.00 ,$103.00 
25,$104.50 ,$104.50 
26,$106.50 ,$106.50 
27,$108.25 ,$108.25 
28,$110.00 ,$110.00 
29,$111.75 ,$111.75 
30,$113.75 ,$113.75 
31,$116.00 ,$116.00 
32,$118.00 ,$118.00 
33,$120.00 ,$120.00 
34,$122.00 ,$122.00 
35,$124.25 ,$124.25 
36,$126.25 ,$126.25 
37,$128.25 ,$128.25 
38,$130.50 ,$130.50 
39,$132.75 ,$132.75 
40,$134.75 ,$134.75 
41,$136.75 ,$136.75 
42,$139.00 ,$139.00 
43,$140.75 ,$140.75 
44,$142.75 ,$142.75 
45,$144.75 ,$144.75 
46,$146.75 ,$146.75 
47,$148.50 ,$148.50 
48,$150.50 ,$150.50 
49,$152.50 ,$152.50 
50,$154.50 ,$154.50 
51,$156.75 ,$156.75 
52,$159.00 ,$159.00 
53,$161.25 ,$161.25 
54,$163.50 ,$163.50 
55,$165.50 ,$165.50 
56,$167.75 ,$167.75 
57,$170.50 ,$170.50 
58,$173.00 ,$173.00 
59,$175.50 ,$175.50 
60,$178.25 ,$178.25 
61,$180.75 ,$180.75 
62,$183.50 ,$183.50 
63,$186.50 ,$186.50 
64,$189.25 ,$189.25 
65,$192.00 ,$192.00 
66,$194.75 ,$194.75 
67,$197.50 ,$197.50 
68,$200.25 ,$200.25 
69,$203.00 ,$203.00 
70,$205.75 ,$205.75 
71,$208.25 ,$208.25 
72,$210.75 ,$210.75 
73,$213.50 ,$213.50 
74,$216.50 ,$216.50 
75,$219.50 ,$219.50 
76,$222.00 ,$222.00 
77,$224.75 ,$224.75 
78,$227.25 ,$227.25 
79,$229.75 ,$229.75 
80,$232.75 ,$232.75 
81,$235.25 ,$235.25 
82,$238.00 ,$238.00 
83,$240.75 ,$240.75 
84,$243.25 ,$243.25 
85,$246.00 ,$246.00 
86,$248.50 ,$248.50 
87,$251.25 ,$251.25 
88,$253.50 ,$253.50 
89,$256.25 ,$256.25 
90,$259.25 ,$259.25 
91,$262.00 ,$262.00 
92,$264.75 ,$264.75 
93,$267.25 ,$267.25 
94,$270.00 ,$270.00 
95,$272.75 ,$272.75 
96,$275.50 ,$275.50 
97,$278.25 ,$278.25 
98,$280.75 ,$280.75 
99,$283.00 ,$283.00 
100,$285.25 ,$285.25 
101,$287.75 ,$287.75 
102,$290.00 ,$290.00 
103,$292.25 ,$292.25 
104,$294.75 ,$294.75 
105,$297.25 ,$297.25 
106,$299.75 ,$299.75 
107,$302.00 ,$302.00 
108,$304.75 ,$304.75 
109,$307.25 ,$307.25 
110,$310.00 ,$310.00 
111,$312.75 ,$312.75 
112,$315.50 ,$315.50 
113,$318.00 ,$318.00 
114,$320.25 ,$320.25 
115,$323.00 ,$323.00 
116,$325.50 ,$325.50 
117,$328.00 ,$328.00 
118,$330.75 ,$330.75 
119,$333.25 ,$333.25 
120,$335.75 ,$335.75 
121,$338.25 ,$338.25 
122,$340.75 ,$340.75 
123,$343.00 ,$343.00 
124,$345.75 ,$345.75 
125,$348.75 ,$348.75 
126,$351.50 ,$351.50 
127,$354.00 ,$354.00 
128,$356.25 ,$356.25 
129,$359.00 ,$359.00 
130,$361.50 ,$361.50 
131,$363.75 ,$363.75 
132,$366.50 ,$366.50 
133,$369.00 ,$369.00 
134,$371.50 ,$371.50 
135,$374.00 ,$374.00 
136,$376.50 ,$376.50 
137,$379.00 ,$379.00 
138,$381.50 ,$381.50 
139,$384.25 ,$384.25 
140,$387.00 ,$387.00 
141,$389.50 ,$389.50 
142,$391.75 ,$391.75 
143,$394.50 ,$394.50 
144,$397.00 ,$397.00 
145,$399.75 ,$399.75 
146,$402.50 ,$402.50 
147,$405.25 ,$405.25 
148,$407.75 ,$407.75 
149,$410.25 ,$410.25 
150,$413.25 ,$413.25 
Multiplier,$2.58 ,$2.58 
