Domestic Services,,,

DOMESTIC ZONE CHARTS,,,
"Using the first three digits of the destination ZIP Code, determine the zone for the appropriate service level by referring to the zone charts below.",,,

Zones for Service to the 48 States and Puerto Rico,,,

,,Zones,
Destination,2nd Day,,Hawaii-48 State
ZIP Codes,Air A.M.,2nd Day Air,Ground
004-005,18,14,8
006-007,-,14,-
008-,*,*,-
009-,-,14,-
010-089,18,14,8
090-099,-,-,-
100-339,18,14,8
340,-,-,-
341,18,14,8
342-349,18,14,8
350-358,18,14,7
359-364,18,14,8
365-367,18,14,7
368,18,14,8
369-372,18,14,7
373-374,18,14,8
375,18,14,7
376-379,18,14,8
380-384,18,14,7
385,18,14,8
386-397,18,14,7
398-418,18,14,8
420-424,18,14,7
425-459,18,14,8
460-466,18,14,7
467-468,18,14,8
469,18,14,7
470-473,18,14,8
474-479,18,14,7
480-497,18,14,8
498-504,18,14,7
505,18,14,6
506-507,18,14,7
508,18,14,6
509,18,14,7
510-516,18,14,6
520-560,18,14,7
561,18,14,6
562-567,18,14,7
570-581,18,14,6
582,18,14,7
583-588,18,14,6
590-591,18,14,5
592-593,18,14,6
594,18,14,5
595,18,14,6
596-599,18,14,5
600-639,18,14,7
640-649,18,14,6
650-655,18,14,7
656-676,18,14,6
677,18,14,5
678,18,14,6
679,18,14,5
680-692,18,14,6
693,18,14,5
700-709,18,14,7
710-711,18,14,6
712-717,18,14,7
718,18,14,6
719-725,18,14,7
726-727,18,14,6
728,18,14,7
729-738,18,14,6
739,18,14,5
740-775,18,14,6
776-777,18,14,7
778-789,18,14,6
790-791,18,14,5
792,18,14,6
793-794,18,14,5
795-796,18,14,6
797-838,18,14,5
840-853,18,14,4
854,18,14,3
855-863,18,14,4
864,18,14,3
865,18,14,4
870-872,18,14,5
873-874,18,14,4
875-885,18,14,5
889-892,18,14,3
893-898,18,14,4
900-935,18,14,2
936-939,18,14,3
940-942,18,14,4
943,18,14,3
944-949,18,14,4
950-953,18,14,3
954-961,18,14,4
962-966,-,-,-
967-968,**,**,***
969,*,*,-
970-974,18,14,5
975-976,18,14,4
977-986,18,14,5
987,-,-,-
988-994,18,14,5


A dash (-) means service is not available.,,,
*See your Worldwide Zone Chart.,,,
**Customers should consult the chart from the Service within Hawaii section to determine the zone for Inter-Island Air.
***Customers on Oahu should consult the chart from the Service within Hawaii section to determine the zone for UPS Ground Service on Oahu.
