Domestic Services,
Zones for Service to Alaska,

,Zones
Destination,Alaska
ZIP Codes,2nd Day Air
99501-99540,14
99547-55,16
99556,14
99557-99566,16
99567-68,14
99569-99571,16
99572,14
99573-76,16
99577,14
99578-99586,16
99587,14
99588-99602,16
99603,14
99604,16
99605,14
99606-09,16
99610-11,14
99612-99630,16
99631,14
99632-34,16
99635,14
99636-38,16
99639,14
99640-99644,16
99645,14
99647-53,16
99654,14
99655-63,16
99664,14
99665-68,16
99669,14
99670-71,16
99672,14
99674-86,16
99687,14
99688-99697,16
99701-03,14
99704,16
99705-12,14
99714-99774,16
99775,14
99776-99950,16
