UPS Worldwide Expedited,,,,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,,,,

Weight Not To Exceed,Zone 71,Zone 72,Zone 74,Zone 601,Zone 602,Zone 603,Zone 604,Zone 605,Zone 606,Zone 607,Zone 608,Zone 609,Zone 610

1,$37.75,$39.25,$39.25,$43.75,$44.25,$51.00,$52.00,$44.25,$43.25,$52.25,$52.25,$55.25,$55.75
2,$40.75,$43.50,$44.50,$52.75,$53.50,$58.00,$59.50,$53.50,$52.25,$60.25,$60.25,$70.75,$71.25
3,$44.50,$48.25,$52.75,$61.00,$61.50,$66.50,$67.50,$62.00,$60.25,$68.25,$68.25,$86.25,$86.75
4,$47.75,$53.00,$58.25,$69.00,$70.00,$75.00,$76.00,$70.25,$68.50,$75.75,$76.00,$101.75,$102.25
5,$50.75,$57.75,$65.00,$77.25,$78.25,$83.00,$84.00,$78.25,$76.25,$83.75,$83.75,$117.25,$117.25
6,$52.75,$60.75,$71.00,$84.00,$85.00,$90.75,$91.75,$85.50,$83.00,$91.50,$91.50,$132.00,$132.25
7,$54.75,$63.25,$76.75,$89.00,$90.00,$98.50,$99.75,$91.25,$88.25,$98.00,$99.50,$146.00,$147.00
8,$57.50,$66.25,$82.25,$93.75,$95.00,$105.50,$107.75,$95.50,$93.25,$104.75,$106.75,$158.50,$159.50
9,$60.25,$68.75,$87.00,$98.50,$99.50,$112.25,$115.75,$100.25,$97.75,$113.00,$115.00,$170.25,$171.25
10,$63.00,$71.25,$92.00,$102.75,$104.00,$117.75,$123.75,$104.75,$102.25,$119.00,$122.25,$181.00,$183.00
11,$65.75,$73.75,$96.75,$107.25,$108.25,$123.50,$131.25,$109.50,$106.75,$124.75,$128.75,$192.50,$194.75
12,$68.50,$76.25,$101.50,$111.75,$113.00,$128.75,$139.00,$114.00,$110.75,$130.25,$136.00,$203.75,$205.75
13,$71.50,$78.50,$104.00,$116.50,$117.50,$134.25,$146.75,$118.75,$115.00,$135.50,$143.25,$214.75,$216.00
14,$74.50,$81.00,$107.50,$121.25,$122.25,$139.50,$153.75,$123.50,$119.25,$140.50,$150.00,$225.00,$226.50
15,$77.75,$83.75,$111.00,$126.00,$126.75,$144.50,$161.00,$128.25,$123.75,$145.25,$156.75,$235.75,$236.75
16,$80.75,$85.75,$114.50,$130.00,$131.00,$150.25,$167.75,$132.50,$128.25,$150.25,$163.50,$246.25,$247.00
17,$83.25,$87.75,$118.00,$134.00,$135.50,$155.50,$174.00,$136.50,$132.75,$155.50,$170.25,$256.50,$257.25
18,$85.75,$90.00,$121.50,$137.75,$139.75,$160.50,$180.25,$140.50,$137.50,$160.50,$176.50,$267.00,$267.75
19,$88.50,$92.25,$124.75,$142.25,$144.50,$165.25,$186.50,$144.50,$142.25,$165.25,$183.00,$277.75,$278.00
20,$91.00,$94.50,$127.00,$146.50,$148.75,$169.50,$192.50,$148.75,$147.25,$169.75,$189.50,$288.50,$288.50
21,$93.00,$96.75,$128.75,$150.50,$153.25,$173.75,$198.75,$152.25,$152.00,$174.00,$195.50,$297.75,$299.25
22,$95.00,$98.75,$130.50,$154.50,$157.25,$178.00,$204.00,$156.75,$156.00,$178.50,$201.00,$307.25,$309.75
23,$97.25,$100.75,$132.25,$158.25,$161.50,$182.25,$209.00,$160.75,$160.25,$183.25,$206.50,$316.00,$320.25
24,$99.25,$102.75,$136.75,$162.50,$165.75,$186.25,$214.25,$165.50,$163.50,$187.50,$211.75,$324.75,$329.00
25,$101.25,$105.25,$138.50,$166.25,$169.75,$190.75,$219.50,$169.75,$168.50,$192.00,$216.75,$333.50,$337.75
26,$103.50,$109.00,$141.50,$170.00,$173.25,$194.75,$224.50,$173.25,$172.00,$196.00,$222.00,$342.25,$346.50
27,$105.75,$112.25,$143.50,$173.50,$176.75,$198.75,$229.75,$176.75,$175.50,$200.00,$227.50,$351.00,$355.50
28,$108.00,$112.75,$145.25,$177.00,$180.50,$202.50,$235.00,$180.50,$178.75,$203.75,$232.75,$358.75,$363.75
29,$110.00,$115.50,$147.75,$180.50,$184.00,$206.50,$240.00,$184.00,$182.75,$207.75,$238.25,$366.00,$371.50
30,$112.00,$117.75,$149.75,$184.00,$187.75,$210.25,$245.25,$187.50,$186.00,$212.00,$243.25,$373.25,$379.25
31,$114.25,$120.25,$151.50,$187.75,$191.25,$214.00,$250.50,$191.00,$189.75,$216.00,$248.00,$380.00,$386.25
32,$116.50,$122.75,$153.25,$192.25,$194.75,$218.00,$255.50,$194.75,$193.25,$219.75,$253.00,$386.50,$393.50
33,$118.25,$125.25,$155.00,$195.50,$198.25,$221.75,$260.75,$198.25,$197.00,$223.75,$257.75,$393.50,$401.00
