UPS Next Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 102 , Zone 103 , Zone 104 , Zone 105 , Zone 106 , Zone 107 , Zone 108 , Zone 124 , Zone 125 , Zone 126

Letter,$13.40 ,$15.50 ,$16.80 ,$17.60 ,$18.40 ,$19.30 ,$19.80 ,$20.20 ,$20.20 ,$27.00 
1,$15.30 ,$19.60 ,$23.10 ,$25.60 ,$28.00 ,$29.60 ,$30.30 ,$31.80 ,$31.80 ,$45.00 
2,$16.60 ,$21.00 ,$26.00 ,$28.70 ,$31.40 ,$32.70 ,$33.60 ,$35.50 ,$35.50 ,$48.50 
3,$17.90 ,$22.10 ,$28.80 ,$31.70 ,$34.80 ,$35.90 ,$36.80 ,$38.60 ,$38.60 ,$52.00 
4,$19.10 ,$23.20 ,$31.50 ,$34.80 ,$38.10 ,$39.00 ,$40.10 ,$41.70 ,$41.70 ,$55.40 
5,$20.10 ,$24.40 ,$34.20 ,$37.80 ,$41.40 ,$42.00 ,$43.40 ,$44.80 ,$44.80 ,$58.80 
6,$21.00 ,$25.70 ,$36.80 ,$40.80 ,$44.60 ,$45.10 ,$46.80 ,$47.90 ,$47.90 ,$62.10 
7,$21.80 ,$27.10 ,$39.30 ,$43.60 ,$47.80 ,$48.40 ,$50.20 ,$51.00 ,$51.00 ,$65.20 
8,$22.50 ,$28.60 ,$41.80 ,$46.30 ,$51.00 ,$51.90 ,$53.60 ,$54.20 ,$54.20 ,$68.00 
9,$23.30 ,$30.10 ,$44.20 ,$49.10 ,$54.20 ,$55.40 ,$57.00 ,$57.60 ,$57.60 ,$70.80 
10,$24.10 ,$31.50 ,$46.70 ,$51.80 ,$57.40 ,$58.90 ,$60.40 ,$61.10 ,$61.10 ,$73.60 
11,$24.90 ,$32.80 ,$49.10 ,$54.60 ,$60.40 ,$62.40 ,$63.80 ,$64.50 ,$64.50 ,$76.40 
12,$25.70 ,$34.00 ,$51.60 ,$57.30 ,$63.20 ,$65.70 ,$67.00 ,$67.70 ,$67.70 ,$79.20 
13,$26.40 ,$35.20 ,$54.00 ,$60.10 ,$65.90 ,$68.80 ,$70.00 ,$70.70 ,$70.70 ,$82.00 
14,$27.20 ,$36.40 ,$56.50 ,$62.80 ,$68.50 ,$71.80 ,$72.80 ,$73.60 ,$73.60 ,$84.70 
15,$28.10 ,$37.60 ,$58.80 ,$65.30 ,$70.80 ,$74.70 ,$75.50 ,$76.50 ,$76.50 ,$87.40 
16,$28.90 ,$38.70 ,$60.90 ,$67.50 ,$72.80 ,$77.20 ,$78.20 ,$79.40 ,$79.40 ,$90.00 
17,$29.80 ,$39.80 ,$62.80 ,$69.50 ,$74.60 ,$79.20 ,$80.70 ,$82.30 ,$82.30 ,$92.40 
18,$30.70 ,$40.90 ,$64.50 ,$71.30 ,$76.20 ,$80.80 ,$83.20 ,$85.00 ,$85.00 ,$94.70 
19,$31.50 ,$42.00 ,$66.00 ,$72.90 ,$77.80 ,$82.20 ,$85.70 ,$87.50 ,$87.50 ,$97.00 
20,$32.40 ,$43.00 ,$67.60 ,$74.50 ,$79.60 ,$83.60 ,$88.10 ,$89.70 ,$89.70 ,$99.30 
21,$33.10 ,$43.90 ,$69.30 ,$76.10 ,$81.60 ,$85.20 ,$90.30 ,$91.60 ,$91.60 ,$101.60 
22,$33.90 ,$44.90 ,$71.10 ,$77.70 ,$83.70 ,$86.80 ,$92.20 ,$93.50 ,$93.50 ,$103.90 
23,$34.70 ,$45.80 ,$73.00 ,$79.30 ,$85.80 ,$88.40 ,$93.90 ,$95.40 ,$95.40 ,$106.20 
24,$35.50 ,$46.80 ,$75.00 ,$81.00 ,$87.90 ,$90.00 ,$95.60 ,$97.30 ,$97.30 ,$108.50 
25,$36.30 ,$47.80 ,$77.00 ,$82.90 ,$90.00 ,$91.80 ,$97.30 ,$99.10 ,$99.10 ,$110.80 
26,$37.20 ,$48.80 ,$79.00 ,$85.00 ,$92.10 ,$93.80 ,$99.00 ,$100.90 ,$100.90 ,$113.10 
27,$38.00 ,$49.80 ,$81.00 ,$87.30 ,$94.20 ,$96.00 ,$100.70 ,$102.70 ,$102.70 ,$115.40 
28,$38.80 ,$50.80 ,$83.00 ,$89.60 ,$96.30 ,$98.20 ,$102.40 ,$104.50 ,$104.50 ,$117.70 
29,$39.60 ,$51.80 ,$84.90 ,$91.80 ,$98.40 ,$100.40 ,$104.20 ,$106.30 ,$106.30 ,$119.80 
30,$40.40 ,$52.80 ,$86.80 ,$94.00 ,$100.50 ,$102.60 ,$106.10 ,$108.10 ,$108.10 ,$121.70 
31,$41.30 ,$53.90 ,$88.70 ,$96.20 ,$102.80 ,$104.80 ,$108.20 ,$110.10 ,$110.10 ,$123.60 
32,$42.30 ,$55.00 ,$90.50 ,$98.40 ,$105.20 ,$107.00 ,$110.40 ,$112.30 ,$112.30 ,$125.50 
33,$43.30 ,$56.10 ,$92.40 ,$100.60 ,$107.60 ,$109.30 ,$112.70 ,$114.70 ,$114.70 ,$127.40 
34,$44.30 ,$57.20 ,$94.30 ,$102.80 ,$109.90 ,$111.80 ,$115.10 ,$117.10 ,$117.10 ,$129.30 
35,$45.40 ,$58.30 ,$96.20 ,$105.00 ,$112.10 ,$114.40 ,$117.60 ,$119.50 ,$119.50 ,$131.30 
36,$46.40 ,$59.30 ,$98.20 ,$107.20 ,$114.40 ,$117.10 ,$120.20 ,$121.90 ,$121.90 ,$133.40 
37,$47.30 ,$60.50 ,$100.10 ,$109.40 ,$116.60 ,$119.70 ,$122.80 ,$124.30 ,$124.30 ,$135.60 
38,$48.00 ,$61.60 ,$102.10 ,$111.60 ,$118.90 ,$122.30 ,$125.40 ,$126.80 ,$126.80 ,$137.90 
39,$48.80 ,$62.70 ,$104.10 ,$113.80 ,$121.20 ,$124.80 ,$128.00 ,$129.30 ,$129.30 ,$140.40 
40,$49.60 ,$63.80 ,$106.10 ,$116.00 ,$123.50 ,$127.10 ,$130.60 ,$131.80 ,$131.80 ,$142.90 
41,$50.50 ,$64.90 ,$108.10 ,$118.20 ,$125.90 ,$129.40 ,$133.20 ,$134.40 ,$134.40 ,$145.50 
42,$51.30 ,$66.10 ,$110.10 ,$120.40 ,$128.30 ,$131.60 ,$135.80 ,$137.00 ,$137.00 ,$148.20 
43,$52.50 ,$67.50 ,$112.10 ,$122.50 ,$130.70 ,$133.90 ,$138.40 ,$139.60 ,$139.60 ,$151.00 
