UPS Next Day Air Early AM®,,,,,,,,
Daily Rates,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,

Weight Not To Exceed,Zone 102,Zone 103,Zone 104,Zone 105,Zone 106,Zone 107,Zone 108,Zone 124

Letter,$41.90 ,$44.00 ,$45.30 ,$46.10 ,$46.90 ,$47.80 ,$48.30 ,$48.70 
1,$43.80 ,$48.10 ,$51.60 ,$54.10 ,$56.50 ,$58.10 ,$58.80 ,$60.30 
2,$45.10 ,$49.50 ,$54.50 ,$57.20 ,$59.90 ,$61.20 ,$62.10 ,$64.00 
3,$46.40 ,$50.60 ,$57.30 ,$60.20 ,$63.30 ,$64.40 ,$65.30 ,$67.10 
4,$47.60 ,$51.70 ,$60.00 ,$63.30 ,$66.60 ,$67.50 ,$68.60 ,$70.20 
5,$48.60 ,$52.90 ,$62.70 ,$66.30 ,$69.90 ,$70.50 ,$71.90 ,$73.30 
6,$49.50 ,$54.20 ,$65.30 ,$69.30 ,$73.10 ,$73.60 ,$75.30 ,$76.40 
7,$50.30 ,$55.60 ,$67.80 ,$72.10 ,$76.30 ,$76.90 ,$78.70 ,$79.50 
8,$51.00 ,$57.10 ,$70.30 ,$74.80 ,$79.50 ,$80.40 ,$82.10 ,$82.70 
9,$51.80 ,$58.60 ,$72.70 ,$77.60 ,$82.70 ,$83.90 ,$85.50 ,$86.10 
10,$52.60 ,$60.00 ,$75.20 ,$80.30 ,$85.90 ,$87.40 ,$88.90 ,$89.60 
11,$53.40 ,$61.30 ,$77.60 ,$83.10 ,$88.90 ,$90.90 ,$92.30 ,$93.00 
12,$54.20 ,$62.50 ,$80.10 ,$85.80 ,$91.70 ,$94.20 ,$95.50 ,$96.20 
13,$54.90 ,$63.70 ,$82.50 ,$88.60 ,$94.40 ,$97.30 ,$98.50 ,$99.20 
14,$55.70 ,$64.90 ,$85.00 ,$91.30 ,$97.00 ,$100.30 ,$101.30 ,$102.10 
15,$56.60 ,$66.10 ,$87.30 ,$93.80 ,$99.30 ,$103.20 ,$104.00 ,$105.00 
16,$57.40 ,$67.20 ,$89.40 ,$96.00 ,$101.30 ,$105.70 ,$106.70 ,$107.90 
