UPS 2nd Day Air A.M.®,,,,,,,
Daily Rates,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

Weight Not To Exceed, Zone 242 , Zone 243 , Zone 244 , Zone 245 , Zone 246 , Zone 247 , Zone 248

Letter,$8.60 ,$8.80 ,$9.40 ,$10.20 ,$10.80 ,$11.30 ,$12.10 
1,$8.80 ,$9.10 ,$9.90 ,$11.10 ,$12.60 ,$13.20 ,$13.70 
2,$9.10 ,$9.80 ,$11.00 ,$12.40 ,$14.40 ,$15.20 ,$15.80 
3,$9.80 ,$10.40 ,$12.10 ,$13.90 ,$16.40 ,$17.20 ,$18.00 
4,$10.50 ,$11.20 ,$13.20 ,$15.60 ,$18.50 ,$19.40 ,$20.20 
5,$11.20 ,$12.00 ,$14.30 ,$17.50 ,$20.50 ,$21.80 ,$22.70 
6,$11.80 ,$12.80 ,$15.20 ,$19.20 ,$22.90 ,$24.30 ,$26.00 
7,$12.20 ,$13.60 ,$16.30 ,$21.00 ,$25.60 ,$26.80 ,$28.90 
8,$12.50 ,$14.40 ,$17.50 ,$22.70 ,$28.30 ,$29.40 ,$31.70 
9,$12.80 ,$15.40 ,$18.80 ,$24.50 ,$30.90 ,$32.10 ,$34.50 
10,$13.30 ,$16.40 ,$20.00 ,$26.20 ,$33.50 ,$34.80 ,$37.10 
11,$14.10 ,$17.30 ,$21.30 ,$27.90 ,$36.00 ,$37.40 ,$39.70 
12,$14.90 ,$18.10 ,$22.40 ,$29.60 ,$38.40 ,$39.90 ,$42.10 
13,$15.90 ,$18.80 ,$23.40 ,$31.10 ,$40.70 ,$42.30 ,$44.40 
14,$16.70 ,$19.60 ,$24.50 ,$32.70 ,$43.00 ,$44.50 ,$46.80 
15,$17.40 ,$20.50 ,$25.60 ,$34.30 ,$45.20 ,$46.50 ,$49.00 
16,$18.10 ,$21.20 ,$26.80 ,$35.70 ,$47.50 ,$48.70 ,$51.20 
17,$18.80 ,$21.80 ,$27.70 ,$36.90 ,$49.70 ,$50.90 ,$53.40 
18,$19.40 ,$22.30 ,$28.70 ,$38.10 ,$52.00 ,$53.10 ,$55.80 
19,$19.90 ,$23.00 ,$29.50 ,$39.40 ,$54.20 ,$55.40 ,$58.20 
20,$20.60 ,$23.70 ,$30.30 ,$40.80 ,$56.40 ,$57.70 ,$60.90 
21,$21.10 ,$24.60 ,$31.30 ,$42.40 ,$58.60 ,$60.00 ,$63.50 
22,$21.60 ,$25.50 ,$32.30 ,$43.90 ,$60.70 ,$62.50 ,$66.20 
23,$22.30 ,$26.30 ,$33.30 ,$45.20 ,$62.70 ,$65.10 ,$68.70 
24,$22.90 ,$27.20 ,$34.30 ,$46.60 ,$64.70 ,$67.60 ,$71.00 
25,$23.50 ,$28.00 ,$35.30 ,$48.10 ,$66.60 ,$69.90 ,$73.10 
26,$24.10 ,$28.70 ,$36.30 ,$49.80 ,$68.40 ,$72.00 ,$75.10 
27,$24.70 ,$29.60 ,$37.30 ,$51.40 ,$70.10 ,$74.00 ,$77.00 
28,$25.50 ,$30.40 ,$38.30 ,$52.80 ,$71.70 ,$75.80 ,$78.90 
29,$26.30 ,$31.10 ,$39.30 ,$54.10 ,$73.30 ,$77.50 ,$80.80 
30,$27.00 ,$31.90 ,$40.30 ,$55.50 ,$75.00 ,$79.00 ,$82.70 
31,$27.70 ,$32.60 ,$41.30 ,$56.90 ,$76.90 ,$80.60 ,$84.60 
32,$28.30 ,$33.40 ,$42.30 ,$58.40 ,$78.90 ,$82.40 ,$86.50 
33,$28.90 ,$34.20 ,$43.30 ,$59.90 ,$81.00 ,$84.00 ,$88.30 
34,$29.50 ,$34.90 ,$44.30 ,$61.30 ,$83.00 ,$85.80 ,$90.10 
35,$30.10 ,$35.70 ,$45.30 ,$62.60 ,$85.00 ,$87.70 ,$91.90 
36,$30.80 ,$36.60 ,$46.30 ,$63.90 ,$87.00 ,$89.50 ,$93.70 
37,$31.40 ,$37.50 ,$47.30 ,$65.30 ,$89.20 ,$91.40 ,$95.60 
38,$32.10 ,$38.30 ,$48.30 ,$66.60 ,$91.20 ,$93.50 ,$97.60 
39,$33.00 ,$39.00 ,$49.30 ,$67.90 ,$93.00 ,$95.70 ,$99.70 
40,$33.90 ,$39.90 ,$50.30 ,$69.30 ,$94.80 ,$97.90 ,$101.80 
41,$34.60 ,$40.90 ,$51.30 ,$70.80 ,$96.70 ,$100.10 ,$103.90 
42,$35.30 ,$41.70 ,$52.30 ,$72.20 ,$98.50 ,$102.40 ,$105.90 
43,$35.90 ,$42.50 ,$53.30 ,$73.60 ,$100.40 ,$104.50 ,$108.00 
44,$36.60 ,$43.20 ,$54.30 ,$74.80 ,$102.10 ,$106.60 ,$110.00 
45,$37.10 ,$43.90 ,$55.30 ,$76.00 ,$103.80 ,$108.70 ,$112.10 
46,$37.80 ,$44.70 ,$56.30 ,$77.30 ,$105.30 ,$110.80 ,$114.20 
47,$38.50 ,$45.40 ,$57.30 ,$78.60 ,$106.90 ,$112.90 ,$116.30 
48,$39.40 ,$46.20 ,$58.30 ,$80.00 ,$108.50 ,$115.00 ,$118.40 
49,$40.20 ,$47.20 ,$59.30 ,$81.30 ,$110.10 ,$117.10 ,$120.50 
50,$40.80 ,$48.20 ,$60.30 ,$82.60 ,$111.80 ,$119.20 ,$122.60 
51,$41.50 ,$49.00 ,$61.30 ,$84.10 ,$113.50 ,$121.20 ,$124.70 
52,$42.30 ,$49.90 ,$62.30 ,$85.40 ,$115.30 ,$123.20 ,$126.80 
53,$43.00 ,$50.70 ,$63.30 ,$86.80 ,$117.20 ,$125.20 ,$128.90 
54,$43.80 ,$51.50 ,$64.30 ,$88.30 ,$119.00 ,$127.20 ,$131.00 
55,$44.40 ,$52.30 ,$65.30 ,$89.70 ,$120.90 ,$129.20 ,$133.10 
56,$44.90 ,$53.20 ,$66.30 ,$91.10 ,$122.80 ,$131.20 ,$135.20 
57,$45.50 ,$53.90 ,$67.30 ,$92.50 ,$124.70 ,$133.20 ,$137.30 
58,$46.20 ,$54.70 ,$68.30 ,$94.00 ,$126.60 ,$135.20 ,$139.40 
59,$47.00 ,$55.30 ,$69.40 ,$95.40 ,$128.50 ,$137.30 ,$141.60 
60,$47.80 ,$56.00 ,$70.50 ,$96.90 ,$130.50 ,$139.50 ,$144.00 
61,$48.60 ,$56.70 ,$71.60 ,$98.40 ,$132.70 ,$141.80 ,$146.40 
62,$49.40 ,$57.50 ,$72.70 ,$99.80 ,$134.90 ,$144.10 ,$148.80 
63,$50.20 ,$58.50 ,$73.80 ,$101.20 ,$136.90 ,$146.40 ,$151.20 
64,$50.90 ,$59.50 ,$74.90 ,$102.80 ,$138.90 ,$148.70 ,$153.70 
65,$51.60 ,$60.40 ,$76.00 ,$104.40 ,$141.10 ,$150.90 ,$156.20 
66,$52.30 ,$61.40 ,$77.10 ,$106.10 ,$143.30 ,$153.10 ,$158.70 
67,$53.00 ,$62.40 ,$78.20 ,$107.70 ,$145.60 ,$155.50 ,$161.30 
68,$53.70 ,$63.30 ,$79.30 ,$109.30 ,$148.00 ,$157.80 ,$163.90 
69,$54.40 ,$64.20 ,$80.40 ,$111.00 ,$150.50 ,$160.10 ,$166.30 
70,$55.10 ,$65.10 ,$81.60 ,$112.70 ,$153.10 ,$162.40 ,$168.80 
71,$55.80 ,$66.10 ,$83.10 ,$114.30 ,$155.80 ,$164.70 ,$171.20 
72,$56.50 ,$67.00 ,$84.30 ,$115.90 ,$158.50 ,$167.10 ,$173.70 
73,$57.20 ,$67.90 ,$85.40 ,$117.60 ,$161.20 ,$169.40 ,$176.20 
74,$57.90 ,$68.90 ,$86.60 ,$119.20 ,$163.90 ,$171.70 ,$178.60 
75,$58.60 ,$69.90 ,$87.80 ,$120.80 ,$166.50 ,$174.00 ,$181.10 
76,$59.30 ,$70.90 ,$88.90 ,$122.40 ,$169.20 ,$176.20 ,$183.70 
77,$60.10 ,$71.90 ,$90.10 ,$124.00 ,$172.00 ,$178.50 ,$186.40 
78,$60.90 ,$72.90 ,$91.30 ,$125.60 ,$174.80 ,$180.90 ,$189.10 
79,$61.60 ,$74.00 ,$92.50 ,$127.20 ,$177.60 ,$183.40 ,$191.80 
80,$62.40 ,$75.20 ,$93.60 ,$128.80 ,$180.40 ,$186.00 ,$194.50 
81,$63.20 ,$76.40 ,$94.80 ,$130.40 ,$183.20 ,$188.60 ,$197.20 
82,$64.00 ,$77.60 ,$96.00 ,$132.00 ,$186.00 ,$191.30 ,$199.90 
83,$64.80 ,$78.80 ,$97.10 ,$133.70 ,$188.80 ,$194.00 ,$202.60 
84,$65.50 ,$80.00 ,$98.30 ,$135.30 ,$191.60 ,$196.70 ,$205.30 
85,$66.30 ,$81.20 ,$99.50 ,$136.90 ,$194.30 ,$199.40 ,$208.00 
86,$67.10 ,$82.40 ,$100.60 ,$138.50 ,$196.80 ,$202.10 ,$210.70 
87,$67.90 ,$83.50 ,$101.80 ,$140.10 ,$199.10 ,$204.80 ,$213.40 
88,$68.70 ,$84.50 ,$103.00 ,$141.70 ,$201.20 ,$207.40 ,$216.10 
89,$69.40 ,$85.50 ,$104.20 ,$143.30 ,$203.50 ,$209.90 ,$218.80 
90,$70.20 ,$86.40 ,$105.30 ,$144.90 ,$205.80 ,$212.40 ,$221.40 
91,$71.00 ,$87.40 ,$106.50 ,$146.50 ,$208.10 ,$214.80 ,$223.90 
92,$71.80 ,$88.30 ,$107.70 ,$148.10 ,$210.40 ,$217.10 ,$226.30 
93,$72.60 ,$89.30 ,$108.80 ,$149.80 ,$212.70 ,$219.50 ,$228.80 
94,$73.30 ,$90.30 ,$110.00 ,$151.40 ,$215.00 ,$221.90 ,$231.30 
95,$74.10 ,$91.20 ,$111.20 ,$153.00 ,$217.20 ,$224.20 ,$233.70 
96,$74.90 ,$92.20 ,$112.30 ,$154.60 ,$219.50 ,$226.60 ,$236.20 
97,$75.70 ,$93.10 ,$113.50 ,$156.20 ,$221.80 ,$228.90 ,$238.60 
98,$76.50 ,$94.10 ,$114.70 ,$157.80 ,$224.10 ,$231.30 ,$241.10 
99,$77.20 ,$95.10 ,$115.90 ,$159.40 ,$226.40 ,$233.70 ,$243.60 
100,$78.00 ,$96.00 ,$117.00 ,$161.00 ,$228.70 ,$236.00 ,$246.00 
101,$78.80 ,$97.00 ,$118.20 ,$162.60 ,$231.00 ,$238.40 ,$248.50 
102,$79.60 ,$97.90 ,$119.40 ,$164.20 ,$233.30 ,$240.70 ,$250.90 
103,$80.40 ,$98.90 ,$120.50 ,$165.90 ,$235.50 ,$243.10 ,$253.40 
104,$81.10 ,$99.90 ,$121.70 ,$167.50 ,$237.80 ,$245.50 ,$255.90 
105,$81.90 ,$100.80 ,$122.90 ,$169.10 ,$240.10 ,$247.80 ,$258.30 
106,$82.70 ,$101.80 ,$124.00 ,$170.70 ,$242.40 ,$250.20 ,$260.80 
107,$83.50 ,$102.70 ,$125.20 ,$172.30 ,$244.70 ,$252.50 ,$263.20 
108,$84.30 ,$103.70 ,$126.40 ,$173.90 ,$247.00 ,$254.90 ,$265.70 
109,$85.00 ,$104.70 ,$127.60 ,$175.50 ,$249.30 ,$257.30 ,$268.20 
110,$85.80 ,$105.60 ,$128.70 ,$177.10 ,$251.50 ,$259.60 ,$270.60 
111,$86.60 ,$106.60 ,$129.90 ,$178.70 ,$253.80 ,$262.00 ,$273.10 
112,$87.40 ,$107.50 ,$131.10 ,$180.30 ,$256.10 ,$264.30 ,$275.50 
113,$88.20 ,$108.50 ,$132.20 ,$182.00 ,$258.40 ,$266.70 ,$278.00 
114,$88.90 ,$109.50 ,$133.40 ,$183.60 ,$260.70 ,$269.10 ,$280.50 
115,$89.70 ,$110.40 ,$134.60 ,$185.20 ,$263.00 ,$271.40 ,$282.90 
116,$90.50 ,$111.40 ,$135.70 ,$186.80 ,$265.30 ,$273.80 ,$285.40 
117,$91.30 ,$112.30 ,$136.90 ,$188.40 ,$267.60 ,$276.10 ,$287.80 
118,$92.10 ,$113.30 ,$138.10 ,$190.00 ,$269.80 ,$278.50 ,$290.30 
119,$92.80 ,$114.30 ,$139.30 ,$191.60 ,$272.10 ,$280.90 ,$292.80 
120,$93.60 ,$115.20 ,$140.40 ,$193.20 ,$274.40 ,$283.20 ,$295.20 
121,$94.40 ,$116.20 ,$141.60 ,$194.80 ,$276.70 ,$285.60 ,$297.70 
122,$95.20 ,$117.10 ,$142.80 ,$196.40 ,$279.00 ,$287.90 ,$300.10 
123,$96.00 ,$118.10 ,$143.90 ,$198.10 ,$281.30 ,$290.30 ,$302.60 
124,$96.70 ,$119.10 ,$145.10 ,$199.70 ,$283.60 ,$292.70 ,$305.10 
125,$97.50 ,$120.00 ,$146.30 ,$201.30 ,$285.80 ,$295.00 ,$307.50 
126,$98.30 ,$121.00 ,$147.40 ,$202.90 ,$288.10 ,$297.40 ,$310.00 
127,$99.10 ,$121.90 ,$148.60 ,$204.50 ,$290.40 ,$299.70 ,$312.40 
128,$99.90 ,$122.90 ,$149.80 ,$206.10 ,$292.70 ,$302.10 ,$314.90 
129,$100.60 ,$123.90 ,$151.00 ,$207.70 ,$295.00 ,$304.50 ,$317.40 
130,$101.40 ,$124.80 ,$152.10 ,$209.30 ,$297.30 ,$306.80 ,$319.80 
131,$102.20 ,$125.80 ,$153.30 ,$210.90 ,$299.60 ,$309.20 ,$322.30 
132,$103.00 ,$126.70 ,$154.50 ,$212.50 ,$301.80 ,$311.50 ,$324.70 
133,$103.80 ,$127.70 ,$155.60 ,$214.20 ,$304.10 ,$313.90 ,$327.20 
134,$104.50 ,$128.70 ,$156.80 ,$215.80 ,$306.40 ,$316.30 ,$329.70 
135,$105.30 ,$129.60 ,$158.00 ,$217.40 ,$308.70 ,$318.60 ,$332.10 
136,$106.10 ,$130.60 ,$159.10 ,$219.00 ,$311.00 ,$321.00 ,$334.60 
137,$106.90 ,$131.50 ,$160.30 ,$220.60 ,$313.30 ,$323.30 ,$337.00 
138,$107.70 ,$132.50 ,$161.50 ,$222.20 ,$315.60 ,$325.70 ,$339.50 
139,$108.40 ,$133.50 ,$162.70 ,$223.80 ,$317.90 ,$328.10 ,$342.00 
140,$109.20 ,$134.40 ,$163.80 ,$225.40 ,$320.10 ,$330.40 ,$344.40 
141,$110.00 ,$135.40 ,$165.00 ,$227.00 ,$322.40 ,$332.80 ,$346.90 
142,$110.80 ,$136.30 ,$166.20 ,$228.60 ,$324.70 ,$335.10 ,$349.30 
143,$111.60 ,$137.30 ,$167.30 ,$230.30 ,$327.00 ,$337.50 ,$351.80 
144,$112.30 ,$138.30 ,$168.50 ,$231.90 ,$329.30 ,$339.90 ,$354.30 
145,$113.10 ,$139.20 ,$169.70 ,$233.50 ,$331.60 ,$342.20 ,$356.70 
146,$113.90 ,$140.20 ,$170.80 ,$235.10 ,$333.90 ,$344.60 ,$359.20 
147,$114.70 ,$141.10 ,$172.00 ,$236.70 ,$336.10 ,$346.90 ,$361.60 
148,$115.50 ,$142.10 ,$173.20 ,$238.30 ,$338.40 ,$349.30 ,$364.10 
149,$116.20 ,$143.10 ,$174.40 ,$239.90 ,$340.70 ,$351.70 ,$366.60 
150,$117.00 ,$144.00 ,$175.50 ,$241.50 ,$343.00 ,$354.00 ,$369.00 
Multiplier,$0.79 ,$0.97 ,$1.18 ,$1.62 ,$2.30 ,$2.37 ,$2.47 
