UPS 3 Day Select® ,,,,,,,
Daily Rates,,,,,,,
"Effective January 2, 2006",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

A $2.10 surcharge will be added to each package going to a residential destination.,,,,,,,

Weight Not To Exceed, Zone 302 , Zone 303 , Zone 304 , Zone 305 , Zone 306 , Zone 307 , Zone 308


1,$4.80 ,$5.50 ,$5.80 ,$6.40 ,$7.80 ,$8.50 ,$8.80 
2,$5.00 ,$5.70 ,$6.30 ,$7.10 ,$9.20 ,$9.60 ,$10.30 
3,$5.40 ,$6.10 ,$6.90 ,$8.00 ,$10.40 ,$11.00 ,$11.70 
4,$5.90 ,$6.70 ,$7.50 ,$8.90 ,$11.60 ,$12.50 ,$13.10 
5,$6.30 ,$7.30 ,$8.20 ,$9.80 ,$12.80 ,$14.00 ,$14.50 
6,$6.70 ,$8.00 ,$9.00 ,$10.70 ,$14.00 ,$15.20 ,$16.00 
7,$7.00 ,$8.70 ,$9.80 ,$11.40 ,$15.10 ,$16.40 ,$17.50 
8,$7.50 ,$9.30 ,$10.50 ,$12.30 ,$16.30 ,$17.70 ,$19.00 
9,$7.90 ,$9.90 ,$11.20 ,$13.10 ,$17.40 ,$18.90 ,$20.50 
10,$8.40 ,$10.40 ,$11.90 ,$14.00 ,$18.50 ,$20.20 ,$22.00 
11,$8.80 ,$11.00 ,$12.60 ,$14.60 ,$19.70 ,$21.60 ,$23.50 
12,$9.30 ,$11.60 ,$13.30 ,$15.40 ,$21.00 ,$22.90 ,$24.90 
13,$9.80 ,$12.20 ,$14.00 ,$16.40 ,$22.20 ,$24.30 ,$26.40 
14,$10.20 ,$12.70 ,$14.70 ,$17.20 ,$23.40 ,$25.60 ,$27.80 
15,$10.60 ,$13.20 ,$15.40 ,$18.10 ,$24.60 ,$26.90 ,$29.30 
16,$11.00 ,$13.70 ,$15.90 ,$18.90 ,$25.70 ,$28.10 ,$30.70 
17,$11.40 ,$14.20 ,$16.50 ,$19.60 ,$26.60 ,$29.20 ,$32.00 
18,$11.80 ,$14.70 ,$17.20 ,$20.50 ,$27.50 ,$30.30 ,$33.10 
19,$12.20 ,$15.20 ,$17.80 ,$21.40 ,$28.60 ,$31.60 ,$34.30 
20,$12.60 ,$15.70 ,$18.60 ,$22.10 ,$29.60 ,$32.80 ,$35.70 
21,$13.00 ,$16.20 ,$19.40 ,$22.90 ,$30.70 ,$34.00 ,$36.90 
22,$13.40 ,$16.70 ,$20.10 ,$23.80 ,$31.90 ,$35.20 ,$38.20 
23,$13.90 ,$17.20 ,$20.80 ,$24.60 ,$32.90 ,$36.30 ,$39.40 
24,$14.30 ,$17.80 ,$21.40 ,$25.30 ,$34.10 ,$37.60 ,$40.90 
25,$14.80 ,$18.60 ,$22.10 ,$26.20 ,$35.20 ,$38.90 ,$42.20 
26,$15.30 ,$19.30 ,$22.80 ,$27.20 ,$36.30 ,$40.10 ,$43.50 
27,$15.80 ,$19.80 ,$23.60 ,$28.20 ,$37.60 ,$41.60 ,$44.90 
28,$16.30 ,$20.30 ,$24.30 ,$29.00 ,$38.90 ,$42.90 ,$46.30 
