ZONE CHART,,,,,,

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 534-01 to 534-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
,,,,,,
004-005,5,305,205,245,135,105
006-007,45,-,225,-,-,125
8,[1],-,[1],-,-,[1]
9,45,-,225,-,-,125
010-089,5,305,205,245,135,105
090-099,-,-,-,-,-,-
100-129,5,305,205,245,135,105
130-132,4,304,204,244,134,104
133-135,5,305,205,245,135,105
136-174,4,304,204,244,134,104
175-176,5,305,205,245,135,105
177-179,4,304,204,244,134,104
180-199,5,305,205,245,135,105
200-205,4,304,204,244,134,104
206-208,5,305,205,245,135,105
209,4,304,204,244,134,104
210-214,5,305,205,245,135,105
215,4,304,204,244,134,104
216,5,305,205,245,135,105
217,4,304,204,244,134,104
218-219,5,305,205,245,135,105
220-223,4,304,204,244,134,104
224-225,5,305,205,245,135,105
226-229,4,304,204,244,134,104
230-239,5,305,205,245,135,105
240-274,4,304,204,244,134,104
275-285,5,305,205,245,135,105
286-289,4,304,204,244,134,104
290-299,5,305,205,245,135,105
300-306,5,305,205,245,135,105
307,4,304,204,244,134,104
308-326,5,305,205,245,135,105
327-339,6,306,206,246,136,106
340,-,-,-,-,-,-
341-342,6,306,206,246,136,106
344,5,305,205,245,135,105
346-349,6,306,206,246,136,106
350-355,5,305,205,245,135,105
356-359,4,304,204,244,134,104
360-369,5,305,205,245,135,105
370-386,4,304,204,244,134,104
387,5,305,205,245,135,105
388,4,304,204,244,134,104
389-399,5,305,205,245,135,105
400-409,4,304,204,244,134,104
410,3,303,203,243,133,103
411-427,4,304,204,244,134,104
430-436,3,303,203,243,133,103
437-447,4,304,204,244,134,104
448-455,3,303,203,243,133,103
456-457,4,304,204,244,134,104
458-462,3,303,203,243,133,103
463-468,2,302,202,242,132,102
469-470,3,303,203,243,133,103
471,4,304,204,244,134,104
472-475,3,303,203,243,133,103
476-477,4,304,204,244,134,104
478-487,3,303,203,243,133,103
488-491,2,302,202,242,132,102
492,3,303,203,243,133,103
493-496,2,302,202,242,132,102
497-499,3,303,203,243,133,103
500-504,3,303,203,243,133,103
505,4,304,204,244,134,104
506-507,3,303,203,243,133,103
508,4,304,204,244,134,104
509,3,303,203,243,133,103
510-516,4,304,204,244,134,104
520,2,302,202,242,132,102
521-527,3,303,203,243,133,103
528-539,2,302,202,242,132,102
540,3,303,203,243,133,103
541-544,2,302,202,242,132,102
545-548,3,303,203,243,133,103
549,2,302,202,242,132,102
550-555,3,303,203,243,133,103
556-558,4,304,204,244,134,104
559,3,303,203,243,133,103
560-574,4,304,204,244,134,104
575-577,5,305,205,245,135,105
580-582,4,304,204,244,134,104
583,5,305,205,-,135,105
584,4,304,204,244,134,104
585-588,5,305,205,245,135,105
590-591,6,306,206,246,136,106
592-593,5,305,205,-,-,105
594-599,6,306,206,246,136,106
600-611,2,302,202,242,132,102
612,3,303,203,243,133,103
613,2,302,202,242,132,102
614-628,3,303,203,243,133,103
629,4,304,204,244,134,104
630-635,3,303,203,243,133,103
636-675,4,304,204,244,134,104
676-679,5,305,205,245,135,105
680-689,4,304,204,244,134,104
690-693,5,305,205,245,135,105
700-719,5,305,205,245,135,105
720-728,4,304,204,244,134,104
729-732,5,305,205,245,135,105
733,6,306,206,-,-,106
734-739,5,305,205,245,135,105
740-743,4,304,204,244,134,104
744-768,5,305,205,245,135,105
769,6,306,206,246,136,106
770-778,5,305,205,245,135,105
779-789,6,306,206,246,136,106
790-796,5,305,205,245,135,105
797-799,6,306,206,246,136,106
800-810,5,305,205,245,135,105
811,6,306,206,-,-,106
812,5,305,205,245,135,105
813-816,6,306,206,246,136,106
820,5,305,205,245,135,105
821,6,306,206,-,-,106
822-824,5,305,205,-,135,105
825,6,306,206,246,136,106
826-828,5,305,205,245,135,105
829-834,6,306,206,246,136,106
