ZONE CHART

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air

For shipments originating in ZIP Codes 798-01 to 799-99.  To determine zone
take the first three digits of the receiver's ZIP Code and refer to the chart below:

ZONES
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,8,308,208,248,138,108
006-007,45,-,225,-,-,125
008,[1],-,[1],-,-,[1]
009,45,-,225,-,-,125
010-079,8,308,208,248,138,108
080-083,7,307,207,247,137,107
084-089,8,308,208,248,138,108
090-099,-,-,-,-,-,-
100-129,8,308,208,248,138,108
130-132,7,307,207,247,137,107
133-139,8,308,208,248,138,108
140-179,7,307,207,247,137,107
180-181,8,308,208,248,138,108
182,7,307,207,247,137,107
183,8,308,208,248,138,108
184-188,7,307,207,247,137,107
189,8,308,208,248,138,108
190-192,7,307,207,247,137,107
193-194,8,308,208,248,138,108
195-199,7,307,207,247,137,107
200-241,7,307,207,247,137,107
242,6,306,206,246,136,106
243-286,7,307,207,247,137,107
287-289,6,306,206,246,136,106
290-295,7,307,207,247,137,107
296,6,306,206,246,136,106
297-299,7,307,207,247,137,107
300-307,6,306,206,246,136,106
308-309,7,307,207,247,137,107
310-312,6,306,206,246,136,106
313-314,7,307,207,247,137,107
315-319,6,306,206,246,136,106
320-322,7,307,207,247,137,107
323-325,6,306,206,246,136,106
326-339,7,307,207,247,137,107
340,-,-,-,-,-,-
341-349,7,307,207,247,137,107
350-374,6,306,206,246,136,106
375,5,305,205,-,-,105
376-379,6,306,206,246,136,106
380-381,5,305,205,245,135,105
382-385,6,306,206,246,136,106
386-387,5,305,205,245,135,105
388,6,306,206,246,136,106
389-392,5,305,205,245,135,105
393,6,306,206,246,136,106
394-396,5,305,205,245,135,105
397-399,6,306,206,246,136,106
400-436,6,306,206,246,136,106
437-449,7,307,207,247,137,107
450-456,6,306,206,246,136,106
457,7,307,207,247,137,107
458-479,6,306,206,246,136,106
480-487,7,307,207,247,137,107
488-495,6,306,206,246,136,106
496-497,7,307,207,247,137,107
498-499,6,306,206,246,136,106
500-503,5,305,205,245,135,105
504,6,306,206,246,136,106
505,5,305,205,245,135,105
506-507,6,306,206,246,136,106
508-516,5,305,205,245,135,105
520-524,6,306,206,246,136,106
525,5,305,205,245,135,105
526-560,6,306,206,246,136,106
561,5,305,205,245,135,105
562-567,6,306,206,246,136,106
570-573,5,305,205,245,135,105
574,6,306,206,246,136,106
575-577,5,305,205,245,135,105
580-588,6,306,206,246,136,106
590-591,5,305,205,245,135,105
592,6,306,206,-,-,106
593,5,305,205,-,-,105
594-599,6,306,206,246,136,106
600-622,6,306,206,246,136,106
623,5,305,205,245,135,105
624-633,6,306,206,246,136,106
634-676,5,305,205,245,135,105
677-679,4,304,204,244,134,104
680-693,5,305,205,245,135,105
700-729,5,305,205,245,135,105
730-739,4,304,204,244,134,104
740-745,5,305,205,245,135,105
746-748,4,304,204,244,134,104
749,5,305,205,-,135,105
750-754,4,304,204,244,134,104
755-759,5,305,205,245,135,105
760-769,4,304,204,244,134,104
770-777,5,305,205,245,135,105
778-792,4,304,204,244,134,104
793-794,3,303,203,243,133,103
795-796,4,304,204,244,134,104
797,3,303,203,243,133,103
798-799,2,302,202,242,132,102
800-816,4,304,204,244,134,104
820-834,5,305,205,245,135,105
835,6,306,206,-,136,106
836-837,5,305,205,245,135,105
838,6,306,206,-,136,106
840-844,5,305,205,245,135,105
