UPS 2006 U.S. Domestic Accessorials,
"EFFECTIVE JANUARY 2, 2006",
Rates do not include a fuel surcharge.,

ACCESSORIAL,RATE
Additional Handling ,$6.00 
Address Corrections- Ground ,$5.00 
Address Corrections- Air ,$10.00 
Chargeback for Consignee Billing Shipments ,$10.00 
C.O.D.s ,$8.50 
Delivery Area Surcharge - Commercial ,$1.30 
Delivery Area Surcharge  - Residential,$2.10 
Delivery Area Surcharge  - Hundredweight, $7.50 per shipment 
Delivery Confirmation Response ,$1.25 
Delivery Confirmation Response - Signature Required ,$2.25 
Delivery Confirmation Response - Adult Signature Required ,$3.25 
Dimensional Weight Factor ,$194.00 
Early AM Out of Territory ,$10.00 
Early AM Premium,$28.50 
"Excessive Tracking, Tracing, & Refund Requests ",$3.00 
"Hazardous Materials Surcharge, Air ",$30.00 
"Hazardous Materials Surcharge, Ground ",$20.00 
Declared Value , $0.50 per $100  ($1.50 Min. for pkgs $100-$300 value) 
Large Package Surcharge ,$40.00 
Missing/Invalid Account # Charge ,$10.00 
On Call Pickup -- Same Day Ground - via ups.com,$4.00 
On Call Pickup -- Same Day Ground - via 1-800-Pick-UPS,$5.00 
On Call Pickup -- Future Day Ground - via ups.com,$2.00 
On Call Pickup -- Future Day Ground - via 1-800-Pick-UPS,$4.00 
Oversize 1 , 30 Pounds  
Oversize 2 , 70 Pounds  
Oversize 3 , 90 Pounds  
Pickup  Charge - Ground ARS,$10.00 
Proof of Delivery- (Fax or Mail) ,$3.00 
Ground Residential Differential,$1.75 
Air Residential Differential,$2.10 
Hundredweight Residential Differential, $20.00 per shipment 
Saturday Pickup,$12.50 
Saturday Delivery,$12.50 
UPS Returns: Print Return Label,$0.50 
UPS Returns: Electronic Return Label,$1.00 
UPS Returns: Print & Mail Return Label,$2.25 
UPS Returns Plus: 1 UPS Pickup Attempt,$4.00 
UPS Returns Plus: 3 UPS Pickup Attempts,$5.25 
UPS Returns Plus: Call Tag ,$7.00 
Verbal Confirmation of Delivery ,$3.00 
Weekly Service Charge ($0 - $14.99 Billed) ,$16.00 
Weekly Service Charge ($15.00-$59.99 Billed) ,$11.00 
Weekly Service Charge ( $60+ Billed) ,$7.00 



Undeliverable Package Return Charge,

From the 48 Contiguous States,
UPS Air Services & 3 Day Select,Applicable 3 Day Select commercial rate
UPS Ground,Applicable UPS Ground commercial rate

From Alaska,
UPS Air Services to the 48 Contiguous States,Applicable UPS Ground commercial rate
UPS Next Day Air within Alaska,Applicable UPS Next Day Air commercial rate
UPS Ground,Applicable UPS Ground commercial rate

From Hawaii,
UPS Air Services to the 48 Contiguous States,Applicable UPS Ground commercial rate
UPS Next Day Air within Hawaii,Applicable UPS Next Day Air commercial rate
UPS Ground,Applicable UPS Ground commercial rate
