Alaska -- Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11

1,$7.37 ,$7.41 ,$7.46 ,$7.52 ,$7.58 ,$7.63 ,$7.68 ,$10.99 ,$18.48 ,$11.27 
2,$7.81 ,$7.86 ,$7.92 ,$7.97 ,$8.03 ,$8.08 ,$8.14 ,$12.45 ,$21.12 ,$12.73 
3,$8.76 ,$8.88 ,$9.05 ,$9.10 ,$9.17 ,$9.21 ,$9.32 ,$14.01 ,$23.94 ,$14.20 
4,$9.56 ,$9.89 ,$10.13 ,$10.25 ,$10.29 ,$10.35 ,$10.53 ,$15.47 ,$26.59 ,$15.65 
5,$10.75 ,$10.97 ,$11.20 ,$11.43 ,$11.48 ,$11.53 ,$11.71 ,$17.12 ,$29.57 ,$17.30 
6,$11.78 ,$12.06 ,$12.30 ,$12.51 ,$12.62 ,$12.73 ,$12.91 ,$18.80 ,$32.59 ,$18.97 
7,$12.91 ,$13.24 ,$13.42 ,$13.64 ,$13.81 ,$13.92 ,$14.15 ,$20.53 ,$35.73 ,$20.70 
8,$14.09 ,$14.43 ,$14.55 ,$14.82 ,$14.98 ,$15.16 ,$15.39 ,$22.07 ,$38.53 ,$22.35 
9,$15.28 ,$15.56 ,$15.72 ,$16.00 ,$16.18 ,$16.40 ,$16.62 ,$23.81 ,$41.67 ,$24.08 
10,$16.40 ,$16.68 ,$16.86 ,$17.18 ,$17.41 ,$17.59 ,$17.87 ,$25.45 ,$44.64 ,$25.81 
11,$17.47 ,$17.74 ,$17.98 ,$18.32 ,$18.60 ,$18.71 ,$19.06 ,$27.09 ,$47.61 ,$27.46 
12,$18.54 ,$18.77 ,$19.11 ,$19.39 ,$19.72 ,$19.79 ,$20.24 ,$28.63 ,$50.41 ,$29.00 
13,$19.56 ,$19.72 ,$20.24 ,$20.52 ,$20.80 ,$20.86 ,$21.36 ,$30.19 ,$53.21 ,$30.36 
14,$20.52 ,$20.68 ,$21.36 ,$21.64 ,$21.86 ,$21.92 ,$22.49 ,$31.46 ,$55.53 ,$31.64 
15,$21.46 ,$21.64 ,$22.49 ,$22.72 ,$22.99 ,$23.06 ,$23.61 ,$32.65 ,$57.67 ,$32.92 
16,$22.24 ,$22.52 ,$23.41 ,$23.64 ,$24.03 ,$24.09 ,$24.63 ,$33.35 ,$58.93 ,$33.89 
17,$23.12 ,$23.52 ,$24.43 ,$24.70 ,$25.25 ,$25.31 ,$25.82 ,$34.25 ,$60.57 ,$34.97 
18,$24.09 ,$24.53 ,$25.36 ,$25.75 ,$26.49 ,$26.60 ,$26.99 ,$35.43 ,$62.70 ,$36.06 
19,$25.03 ,$25.54 ,$26.27 ,$26.82 ,$27.67 ,$27.95 ,$28.16 ,$36.69 ,$65.00 ,$36.96 
20,$25.93 ,$26.55 ,$27.15 ,$27.88 ,$28.78 ,$29.23 ,$29.33 ,$37.78 ,$66.97 ,$37.87 
21,$26.77 ,$27.54 ,$28.11 ,$28.95 ,$29.90 ,$30.46 ,$30.51 ,$38.77 ,$68.77 ,$38.87 
22,$27.54 ,$28.50 ,$29.06 ,$29.95 ,$31.02 ,$31.63 ,$31.70 ,$39.68 ,$70.40 ,$39.95 
23,$28.34 ,$29.39 ,$30.01 ,$30.97 ,$32.14 ,$32.75 ,$32.87 ,$40.58 ,$72.05 ,$40.95 
24,$29.13 ,$30.24 ,$30.91 ,$31.92 ,$33.26 ,$33.81 ,$34.04 ,$41.31 ,$73.35 ,$42.03 
