Intra-Alaska Ground Residential,,
Daily Rates,,
"EFFECTIVE JANUARY 2, 2006",,
Rates do not include a fuel surcharge.,,

Weight Not To Exceed,Zone 2,Zone 3

1,$5.09 ,$5.29 
2,$5.20 ,$5.43 
3,$5.30 ,$5.58 
4,$5.42 ,$5.72 
5,$5.56 ,$5.88 
6,$5.68 ,$6.03 
7,$5.82 ,$6.18 
8,$5.96 ,$6.34 
9,$6.10 ,$6.48 
10,$6.27 ,$6.65 
11,$6.41 ,$6.80 
12,$6.59 ,$6.96 
13,$6.74 ,$7.12 
14,$6.91 ,$7.30 
15,$7.07 ,$7.46 
16,$7.21 ,$7.65 
17,$7.38 ,$7.81 
18,$7.53 ,$8.01 
19,$7.71 ,$8.20 
20,$7.87 ,$8.42 
21,$8.04 ,$8.62 
22,$8.20 ,$8.83 
23,$8.38 ,$9.03 
24,$8.54 ,$9.25 
25,$8.73 ,$9.47 
26,$8.90 ,$9.68 
27,$9.08 ,$9.89 
28,$9.25 ,$10.09 
29,$9.44 ,$10.31 
30,$9.59 ,$10.53 
31,$9.78 ,$10.73 
32,$9.95 ,$10.94 
33,$10.11 ,$11.14 
34,$10.30 ,$11.36 
35,$10.47 ,$11.57 
36,$10.65 ,$11.77 
37,$10.82 ,$11.99 
38,$11.01 ,$12.19 
39,$11.17 ,$12.42 
40,$11.36 ,$12.63 
41,$11.51 ,$12.84 
42,$11.70 ,$13.05 
43,$11.87 ,$13.25 
44,$12.06 ,$13.47 
45,$12.22 ,$13.67 
46,$12.41 ,$13.88 
47,$12.58 ,$14.09 
48,$12.76 ,$14.31 
49,$12.93 ,$14.53 
50,$13.11 ,$14.73 
51,$13.27 ,$14.94 
52,$13.46 ,$15.15 
53,$13.62 ,$15.36 
54,$13.81 ,$15.57 
55,$13.98 ,$15.78 
56,$14.17 ,$15.99 
57,$14.33 ,$16.20 
58,$14.52 ,$16.41 
59,$14.69 ,$16.62 
60,$14.87 ,$16.83 
61,$15.03 ,$17.03 
62,$15.20 ,$17.26 
63,$15.38 ,$17.47 
64,$15.56 ,$17.68 
65,$15.73 ,$17.89 
66,$15.91 ,$18.09 
67,$16.09 ,$18.31 
68,$16.27 ,$18.52 
69,$16.44 ,$18.74 
70,$16.62 ,$18.96 
71,$18.82 ,$21.17 
72,$21.03 ,$23.37 
73,$23.24 ,$25.58 
74,$25.45 ,$27.78 
75,$27.66 ,$29.99 
76,$28.76 ,$31.09 
77,$29.58 ,$31.92 
78,$30.13 ,$32.47 
79,$30.68 ,$33.02 
80,$31.23 ,$33.57 
81,$31.73 ,$34.07 
82,$32.23 ,$34.57 
83,$32.67 ,$35.07 
84,$33.11 ,$35.56 
85,$33.55 ,$36.06 
86,$33.99 ,$36.50 
87,$34.40 ,$36.94 
88,$34.81 ,$37.36 
89,$35.20 ,$37.80 
90,$35.59 ,$38.22 
91,$35.96 ,$38.64 
92,$36.33 ,$39.06 
93,$36.68 ,$39.47 
94,$37.03 ,$39.88 
95,$37.39 ,$40.30 
96,$37.74 ,$40.71 
97,$38.09 ,$41.13 
98,$38.45 ,$41.53 
99,$38.80 ,$41.94 
100,$39.15 ,$42.35 
101,$39.51 ,$42.76 
102,$39.86 ,$43.16 
103,$40.21 ,$43.58 
104,$40.57 ,$44.00 
105,$40.92 ,$44.40 
106,$41.27 ,$44.82 
107,$41.63 ,$45.22 
108,$41.98 ,$45.63 
109,$42.33 ,$46.03 
110,$42.69 ,$46.45 
111,$43.04 ,$46.86 
112,$43.39 ,$47.28 
113,$43.75 ,$47.69 
114,$44.10 ,$48.09 
115,$44.45 ,$48.50 
116,$44.81 ,$48.92 
117,$45.16 ,$49.33 
118,$45.51 ,$49.73 
119,$45.87 ,$50.14 
120,$46.22 ,$50.55 
121,$46.57 ,$50.96 
122,$46.93 ,$51.38 
123,$47.28 ,$51.79 
124,$47.63 ,$52.20 
125,$47.99 ,$52.60 
126,$48.33 ,$53.01 
127,$48.68 ,$53.42 
128,$49.04 ,$53.84 
129,$49.39 ,$54.24 
130,$49.74 ,$54.66 
131,$50.10 ,$55.07 
132,$50.45 ,$55.48 
133,$50.80 ,$55.90 
134,$51.16 ,$56.31 
135,$51.51 ,$56.75 
136,$51.86 ,$57.17 
137,$52.22 ,$57.58 
138,$52.57 ,$58.00 
139,$52.94 ,$58.41 
140,$53.30 ,$58.83 
141,$53.66 ,$59.25 
142,$54.03 ,$59.68 
143,$54.39 ,$60.10 
144,$54.75 ,$60.51 
145,$55.12 ,$60.93 
146,$55.48 ,$61.34 
147,$55.85 ,$61.77 
148,$56.21 ,$62.20 
149,$56.57 ,$62.61 
150,$56.94 ,$63.03 
