UPS Standard to Canada,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,
Rates do not include a fuel surcharge.,,,,,,

Weight Not To Exceed,Zone 51,Zone 52,Zone 53,Zone 54,Zone 55,Zone 56

1,$9.15 ,$9.25 ,$9.45 ,$14.85 ,$15.00 ,$15.10 
2,$9.95 ,$10.00 ,$10.35 ,$15.75 ,$15.90 ,$16.05 
3,$10.60 ,$10.75 ,$11.20 ,$16.70 ,$16.85 ,$16.95 
4,$11.40 ,$11.50 ,$12.00 ,$17.55 ,$17.75 ,$17.85 
5,$12.15 ,$12.30 ,$12.75 ,$18.40 ,$18.60 ,$18.75 
6,$12.90 ,$13.00 ,$13.60 ,$19.20 ,$19.40 ,$19.70 
7,$13.60 ,$13.70 ,$14.50 ,$19.90 ,$20.20 ,$20.60 
8,$14.25 ,$14.35 ,$15.30 ,$20.70 ,$21.00 ,$21.55 
9,$14.90 ,$15.10 ,$16.20 ,$21.50 ,$21.80 ,$22.60 
10,$15.60 ,$15.80 ,$17.00 ,$22.30 ,$22.55 ,$23.60 
11,$16.20 ,$16.55 ,$17.85 ,$23.15 ,$23.45 ,$24.65 
12,$16.85 ,$17.25 ,$18.65 ,$23.95 ,$24.35 ,$25.70 
13,$17.45 ,$18.00 ,$19.55 ,$24.80 ,$25.30 ,$26.80 
14,$18.05 ,$18.70 ,$20.35 ,$25.70 ,$26.30 ,$27.95 
15,$18.80 ,$19.50 ,$21.20 ,$26.65 ,$27.25 ,$29.10 
16,$19.45 ,$20.20 ,$22.00 ,$27.55 ,$28.30 ,$30.20 
17,$20.20 ,$20.90 ,$22.85 ,$28.55 ,$29.25 ,$31.25 
18,$21.00 ,$21.70 ,$23.70 ,$29.50 ,$30.30 ,$32.30 
19,$21.70 ,$22.40 ,$24.45 ,$30.55 ,$31.30 ,$33.35 
20,$22.35 ,$23.15 ,$25.30 ,$31.55 ,$32.35 ,$34.45 
21,$23.05 ,$23.90 ,$26.10 ,$32.60 ,$33.30 ,$35.45 
22,$23.75 ,$24.60 ,$26.95 ,$33.65 ,$34.30 ,$36.60 
23,$24.50 ,$25.35 ,$27.75 ,$34.65 ,$35.30 ,$37.70 
24,$25.15 ,$26.05 ,$28.60 ,$35.60 ,$36.35 ,$38.70 
25,$25.90 ,$26.80 ,$29.50 ,$36.65 ,$37.35 ,$39.80 
26,$26.65 ,$27.50 ,$30.30 ,$37.70 ,$38.35 ,$40.80 
27,$27.30 ,$28.15 ,$31.15 ,$38.65 ,$39.30 ,$41.85 
28,$27.95 ,$28.80 ,$31.95 ,$39.60 ,$40.40 ,$42.90 
29,$28.65 ,$29.50 ,$32.70 ,$40.55 ,$41.45 ,$44.00 
30,$29.25 ,$30.15 ,$33.50 ,$41.55 ,$42.45 ,$45.15 
31,$29.90 ,$30.85 ,$34.25 ,$42.45 ,$43.50 ,$46.20 
32,$30.55 ,$31.60 ,$35.10 ,$43.45 ,$44.45 ,$47.30 
33,$31.15 ,$32.35 ,$35.90 ,$44.40 ,$45.50 ,$48.40 
34,$31.80 ,$33.05 ,$36.70 ,$45.30 ,$46.50 ,$49.55 
35,$32.55 ,$33.80 ,$37.60 ,$46.20 ,$47.55 ,$50.70 
36,$33.15 ,$34.50 ,$38.45 ,$47.15 ,$48.45 ,$51.90 
37,$33.85 ,$35.30 ,$39.30 ,$48.05 ,$49.45 ,$53.10 
38,$34.50 ,$36.00 ,$40.10 ,$48.90 ,$50.40 ,$54.20 
39,$35.10 ,$36.70 ,$40.90 ,$49.70 ,$51.40 ,$55.35 
40,$35.85 ,$37.50 ,$41.70 ,$50.55 ,$52.40 ,$56.55 
41,$36.45 ,$38.25 ,$42.40 ,$51.45 ,$53.40 ,$57.75 
42,$37.05 ,$38.95 ,$43.10 ,$52.25 ,$54.40 ,$58.95 
43,$37.70 ,$39.60 ,$43.85 ,$53.15 ,$55.40 ,$60.15 
44,$38.30 ,$40.25 ,$44.55 ,$53.95 ,$56.45 ,$61.30 
45,$38.90 ,$40.95 ,$45.35 ,$54.85 ,$57.45 ,$62.50 
46,$39.55 ,$41.60 ,$46.10 ,$55.60 ,$58.50 ,$63.35 
47,$40.15 ,$42.25 ,$46.80 ,$56.50 ,$59.55 ,$64.55 
48,$40.75 ,$43.00 ,$47.55 ,$57.35 ,$60.55 ,$65.75 
49,$41.45 ,$43.65 ,$48.25 ,$58.20 ,$61.25 ,$66.55 
50,$42.10 ,$44.35 ,$49.05 ,$59.05 ,$62.30 ,$67.75 
52,$43.40 ,$45.45 ,$50.25 ,$60.30 ,$63.85 ,$69.65 
54,$44.60 ,$46.40 ,$51.50 ,$61.50 ,$65.70 ,$71.35 
56,$45.75 ,$47.40 ,$52.70 ,$62.75 ,$67.50 ,$73.25 
58,$46.70 ,$48.25 ,$53.90 ,$64.00 ,$69.25 ,$75.20 
60,$47.65 ,$49.05 ,$55.10 ,$65.20 ,$71.05 ,$77.10 
62,$48.50 ,$49.75 ,$56.15 ,$66.50 ,$72.80 ,$79.05 
64,$49.40 ,$50.50 ,$57.30 ,$67.75 ,$74.60 ,$80.95 
66,$50.15 ,$51.25 ,$58.40 ,$68.95 ,$76.30 ,$82.90 
68,$50.95 ,$51.95 ,$59.45 ,$70.25 ,$78.05 ,$84.80 
70,$51.70 ,$52.60 ,$60.65 ,$71.50 ,$79.70 ,$86.75 
72,$52.50 ,$53.90 ,$61.90 ,$72.70 ,$81.45 ,$89.45 
74,$53.25 ,$55.20 ,$63.20 ,$74.25 ,$83.20 ,$92.05 
76,$54.00 ,$56.45 ,$64.55 ,$75.75 ,$85.10 ,$94.65 
78,$54.80 ,$57.75 ,$65.80 ,$77.40 ,$86.95 ,$97.10 
80,$55.45 ,$58.95 ,$67.05 ,$79.15 ,$88.90 ,$99.55 
82,$56.10 ,$60.20 ,$67.70 ,$81.00 ,$90.95 ,$102.05 
84,$56.80 ,$61.35 ,$68.90 ,$82.95 ,$92.95 ,$104.50 
86,$57.40 ,$62.60 ,$70.20 ,$84.85 ,$94.95 ,$106.90 
