UPS Ground Commercial,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed, Zone 2 , Zone 3 , Zone 4 , Zone 5 , Zone 6 , Zone 7 , Zone 8,Zone 44,Zone 45,Zone 46


1,$3.80 ,$3.88 ,$4.00 ,$4.16 ,$4.38 ,$4.45 ,$4.56 ,$14.04 ,$14.04 ,$25.44 
2,$3.84 ,$4.07 ,$4.47 ,$4.54 ,$4.88 ,$5.00 ,$5.30 ,$15.68 ,$15.68 ,$26.97 
3,$3.87 ,$4.26 ,$4.70 ,$4.85 ,$5.22 ,$5.39 ,$5.88 ,$17.13 ,$17.13 ,$28.42 
4,$3.98 ,$4.41 ,$4.96 ,$5.17 ,$5.52 ,$5.70 ,$6.26 ,$18.66 ,$18.66 ,$30.06 
5,$4.25 ,$4.49 ,$5.20 ,$5.41 ,$5.77 ,$6.01 ,$6.64 ,$20.47 ,$20.47 ,$31.87 
6,$4.32 ,$4.68 ,$5.29 ,$5.58 ,$5.96 ,$6.25 ,$6.87 ,$22.46 ,$22.46 ,$33.85 
7,$4.57 ,$4.82 ,$5.42 ,$5.77 ,$6.18 ,$6.50 ,$7.18 ,$24.09 ,$24.09 ,$35.48 
8,$4.74 ,$4.98 ,$5.56 ,$5.91 ,$6.39 ,$6.81 ,$7.68 ,$25.84 ,$25.84 ,$37.13 
9,$4.89 ,$5.13 ,$5.68 ,$6.06 ,$6.56 ,$7.18 ,$8.18 ,$27.74 ,$27.74 ,$38.96 
10,$5.06 ,$5.16 ,$5.82 ,$6.23 ,$6.83 ,$7.69 ,$8.74 ,$29.49 ,$29.49 ,$40.69 
11,$5.23 ,$5.41 ,$5.93 ,$6.40 ,$7.12 ,$8.24 ,$9.36 ,$31.31 ,$31.31 ,$42.42 
12,$5.38 ,$5.59 ,$6.06 ,$6.57 ,$7.45 ,$8.79 ,$10.05 ,$32.85 ,$32.85 ,$44.24 
13,$5.56 ,$5.77 ,$6.17 ,$6.72 ,$7.81 ,$9.35 ,$10.72 ,$34.31 ,$34.31 ,$45.70 
14,$5.67 ,$5.95 ,$6.29 ,$6.87 ,$8.24 ,$9.90 ,$11.40 ,$35.87 ,$35.87 ,$47.16 
15,$5.82 ,$6.14 ,$6.40 ,$7.03 ,$8.68 ,$10.46 ,$12.07 ,$37.33 ,$37.33 ,$48.62 
16,$5.85 ,$6.25 ,$6.50 ,$7.18 ,$9.01 ,$10.90 ,$12.61 ,$39.17 ,$39.17 ,$50.32 
17,$5.94 ,$6.46 ,$6.70 ,$7.47 ,$9.47 ,$11.43 ,$13.27 ,$40.81 ,$40.81 ,$51.97 
18,$6.04 ,$6.67 ,$6.92 ,$7.85 ,$9.92 ,$11.95 ,$13.94 ,$42.65 ,$42.65 ,$53.80 
19,$6.19 ,$6.89 ,$7.18 ,$8.21 ,$10.37 ,$12.48 ,$14.62 ,$44.39 ,$44.39 ,$55.53 
20,$6.32 ,$7.12 ,$7.43 ,$8.59 ,$10.83 ,$13.01 ,$15.30 ,$46.03 ,$46.03 ,$57.18 
