Next Day Air -- Origin Hawaii,,,,,
Daily Rates,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,
Rates do not include a fuel surcharge.,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,

Weight Not To Exceed,Zone 12,Zone 22,Zone 142,Zone 144,Zone 146

Letter,$7.25 ,$7.25 ,$17.00 ,$17.00 ,$23.25 
1,$7.75 ,$7.75 ,$27.25 ,$27.25 ,$36.75 
2,$8.50 ,$8.50 ,$29.75 ,$29.75 ,$39.50 
3,$9.25 ,$9.25 ,$32.75 ,$32.75 ,$44.00 
4,$9.75 ,$9.75 ,$35.25 ,$35.25 ,$46.50 
5,$10.50 ,$10.50 ,$38.00 ,$38.00 ,$48.75 
6,$10.75 ,$10.75 ,$40.25 ,$40.25 ,$51.50 
7,$11.00 ,$11.00 ,$43.00 ,$43.00 ,$54.25 
8,$11.25 ,$11.25 ,$45.75 ,$45.75 ,$56.75 
9,$11.50 ,$11.50 ,$48.00 ,$48.00 ,$59.00 
10,$12.00 ,$12.00 ,$50.75 ,$50.75 ,$61.75 
11,$12.25 ,$12.25 ,$53.00 ,$53.00 ,$64.00 
12,$12.50 ,$12.50 ,$55.25 ,$55.25 ,$66.25 
13,$13.00 ,$13.00 ,$57.25 ,$57.25 ,$68.50 
14,$13.25 ,$13.25 ,$59.25 ,$59.25 ,$70.75 
15,$13.50 ,$13.50 ,$61.75 ,$61.75 ,$73.00 
16,$14.00 ,$14.00 ,$64.00 ,$64.00 ,$75.25 
17,$14.25 ,$14.25 ,$66.00 ,$66.00 ,$77.00 
18,$14.50 ,$14.50 ,$67.75 ,$67.75 ,$79.25 
19,$14.75 ,$14.75 ,$69.75 ,$69.75 ,$80.75 
20,$15.00 ,$15.00 ,$71.75 ,$71.75 ,$82.75 
21,$15.50 ,$15.50 ,$73.50 ,$73.50 ,$84.50 
22,$15.75 ,$15.75 ,$75.50 ,$75.50 ,$86.25 
23,$16.00 ,$16.00 ,$77.00 ,$77.00 ,$87.75 
24,$16.50 ,$16.50 ,$78.75 ,$78.75 ,$89.75 
25,$16.75 ,$16.75 ,$80.25 ,$80.25 ,$91.50 
26,$17.00 ,$17.00 ,$82.25 ,$82.25 ,$93.50 
27,$17.25 ,$17.25 ,$84.25 ,$84.25 ,$95.25 
28,$17.50 ,$17.50 ,$86.00 ,$86.00 ,$97.00 
29,$17.75 ,$17.75 ,$87.75 ,$87.75 ,$99.25 
30,$18.00 ,$18.00 ,$90.00 ,$90.00 ,$101.50 
31,$18.50 ,$18.50 ,$92.25 ,$92.25 ,$103.75 
32,$18.75 ,$18.75 ,$94.50 ,$94.50 ,$105.75 
33,$19.00 ,$19.00 ,$96.50 ,$96.50 ,$107.75 
34,$19.25 ,$19.25 ,$98.75 ,$98.75 ,$110.00 
35,$19.75 ,$19.75 ,$101.00 ,$101.00 ,$112.25 
36,$20.50 ,$20.50 ,$103.25 ,$103.25 ,$114.25 
37,$21.00 ,$21.00 ,$105.25 ,$105.25 ,$116.25 
38,$21.25 ,$21.25 ,$107.75 ,$107.75 ,$118.75 
39,$21.50 ,$21.50 ,$110.00 ,$110.00 ,$121.00 
40,$21.75 ,$21.75 ,$112.25 ,$112.25 ,$123.25 
41,$22.25 ,$22.25 ,$114.25 ,$114.25 ,$125.50 
42,$22.50 ,$22.50 ,$116.25 ,$116.25 ,$127.75 
43,$22.75 ,$22.75 ,$117.75 ,$117.75 ,$129.75 
44,$23.00 ,$23.00 ,$119.50 ,$119.50 ,$131.75 
45,$23.25 ,$23.25 ,$121.50 ,$121.50 ,$134.00 
46,$23.50 ,$23.50 ,$124.25 ,$124.25 ,$136.25 
47,$23.75 ,$23.75 ,$126.50 ,$126.50 ,$138.25 
48,$24.00 ,$24.00 ,$128.75 ,$128.75 ,$140.00 
49,$24.50 ,$24.50 ,$130.75 ,$130.75 ,$142.00 
50,$25.00 ,$25.00 ,$133.00 ,$133.00 ,$144.00 
51,$25.50 ,$25.50 ,$135.25 ,$135.25 ,$146.50 
52,$26.00 ,$26.00 ,$137.75 ,$137.75 ,$148.75 
53,$26.25 ,$26.25 ,$140.00 ,$140.00 ,$151.00 
54,$26.75 ,$26.75 ,$142.50 ,$142.50 ,$153.50 
55,$27.25 ,$27.25 ,$144.50 ,$144.50 ,$156.00 
56,$27.50 ,$27.50 ,$147.00 ,$147.00 ,$158.50 
57,$27.75 ,$27.75 ,$149.75 ,$149.75 ,$161.25 
58,$28.00 ,$28.00 ,$152.50 ,$152.50 ,$163.50 
59,$28.25 ,$28.25 ,$155.25 ,$155.25 ,$166.25 
60,$28.50 ,$28.50 ,$158.00 ,$158.00 ,$169.25 
61,$28.75 ,$28.75 ,$160.75 ,$160.75 ,$171.75 
62,$29.00 ,$29.00 ,$163.50 ,$163.50 ,$174.75 
63,$29.25 ,$29.25 ,$166.75 ,$166.75 ,$177.75 
64,$29.75 ,$29.75 ,$169.75 ,$169.75 ,$180.75 
65,$30.25 ,$30.25 ,$172.50 ,$172.50 ,$183.75 
66,$30.75 ,$30.75 ,$175.50 ,$175.50 ,$186.75 
67,$31.25 ,$31.25 ,$178.25 ,$178.25 ,$189.75 
68,$32.25 ,$32.25 ,$181.25 ,$181.25 ,$192.25 
69,$33.00 ,$33.00 ,$184.25 ,$184.25 ,$195.50 
70,$33.75 ,$33.75 ,$187.00 ,$187.00 ,$198.50 
71,$35.00 ,$35.00 ,$189.75 ,$189.75 ,$201.25 
72,$35.75 ,$35.75 ,$192.25 ,$192.25 ,$204.00 
73,$36.25 ,$36.25 ,$195.25 ,$195.25 ,$206.75 
74,$36.75 ,$36.75 ,$198.50 ,$198.50 ,$209.75 
75,$37.00 ,$37.00 ,$201.50 ,$201.50 ,$212.50 
76,$37.25 ,$37.25 ,$204.25 ,$204.25 ,$215.25 
77,$37.50 ,$37.50 ,$207.00 ,$207.00 ,$218.00 
78,$37.75 ,$37.75 ,$209.75 ,$209.75 ,$220.50 
