Intra-Oahu Ground Commercial,,
Daily Rates,,
"EFFECTIVE JANUARY 2, 2006",,
Rates do not include a fuel surcharge.,,

Weight Not To Exceed,Zone 1,Zone 2

1,$3.38 ,$4.88 
2,$3.48 ,$4.99 
3,$3.56 ,$5.12 
4,$3.63 ,$5.24 
5,$3.72 ,$5.35 
6,$3.80 ,$5.44 
7,$3.86 ,$5.55 
8,$3.92 ,$5.62 
9,$3.98 ,$5.68 
10,$4.04 ,$5.73 
11,$4.09 ,$5.78 
12,$4.15 ,$5.83 
13,$4.20 ,$5.88 
14,$4.25 ,$5.93 
15,$4.29 ,$5.97 
16,$4.33 ,$6.01 
17,$4.37 ,$6.05 
18,$4.42 ,$6.10 
19,$4.47 ,$6.14 
20,$4.52 ,$6.18 
21,$4.56 ,$6.23 
22,$4.60 ,$6.28 
23,$4.64 ,$6.32 
24,$4.69 ,$6.37 
25,$4.73 ,$6.41 
26,$4.79 ,$6.45 
27,$4.84 ,$6.49 
28,$4.88 ,$6.53 
29,$4.92 ,$6.58 
30,$4.96 ,$6.64 
31,$5.01 ,$6.68 
32,$5.06 ,$6.72 
33,$5.10 ,$6.76 
34,$5.15 ,$6.80 
35,$5.21 ,$6.84 
36,$5.25 ,$6.89 
37,$5.30 ,$6.94 
38,$5.35 ,$6.99 
39,$5.39 ,$7.03 
40,$5.43 ,$7.08 
41,$5.49 ,$7.15 
42,$5.56 ,$7.22 
43,$5.62 ,$7.32 
44,$5.69 ,$7.42 
45,$5.76 ,$7.52 
46,$5.86 ,$7.63 
47,$5.95 ,$7.77 
48,$6.04 ,$7.89 
49,$6.15 ,$8.05 
50,$6.27 ,$8.19 
51,$6.38 ,$8.32 
52,$6.48 ,$8.49 
53,$6.62 ,$8.63 
54,$6.73 ,$8.79 
55,$6.84 ,$8.92 
56,$6.98 ,$9.06 
57,$7.08 ,$9.22 
58,$7.20 ,$9.37 
59,$7.33 ,$9.54 
60,$7.44 ,$9.69 
61,$7.55 ,$9.86 
62,$7.69 ,$10.00 
63,$7.79 ,$10.17 
64,$7.90 ,$10.33 
65,$8.03 ,$10.47 
66,$8.14 ,$10.65 
67,$8.26 ,$10.79 
68,$8.36 ,$10.97 
69,$8.50 ,$11.13 
70,$8.61 ,$11.30 
71,$13.68 ,$16.26 
72,$17.00 ,$20.23 
73,$20.30 ,$23.54 
74,$23.61 ,$26.84 
75,$24.71 ,$28.51 
76,$25.55 ,$29.33 
77,$26.32 ,$29.89 
78,$27.04 ,$30.43 
79,$27.71 ,$30.99 
80,$28.31 ,$31.54 
81,$28.86 ,$32.09 
82,$29.41 ,$32.59 
83,$29.96 ,$33.08 
84,$30.51 ,$33.53 
85,$31.06 ,$33.96 
86,$31.56 ,$34.36 
87,$32.00 ,$34.74 
88,$32.38 ,$35.13 
89,$32.78 ,$35.51 
90,$33.16 ,$35.90 
91,$33.55 ,$36.28 
92,$33.93 ,$36.66 
93,$34.32 ,$37.05 
94,$34.70 ,$37.43 
95,$35.10 ,$37.82 
96,$35.48 ,$38.20 
97,$35.81 ,$38.60 
98,$36.14 ,$38.99 
99,$36.47 ,$39.38 
100,$36.80 ,$39.76 
101,$37.12 ,$40.15 
102,$37.45 ,$40.53 
103,$37.79 ,$40.92 
104,$38.12 ,$41.30 
105,$38.45 ,$41.68 
106,$38.79 ,$42.07 
107,$39.12 ,$42.45 
108,$39.45 ,$42.84 
109,$39.78 ,$43.22 
110,$40.12 ,$43.62 
111,$40.45 ,$44.00 
112,$40.78 ,$44.39 
113,$41.09 ,$44.78 
114,$41.43 ,$45.17 
115,$41.76 ,$45.55 
116,$42.09 ,$45.94 
117,$42.42 ,$46.32 
118,$42.76 ,$46.71 
119,$43.09 ,$47.09 
120,$43.42 ,$47.47 
121,$43.81 ,$47.86 
122,$44.19 ,$48.25 
123,$44.57 ,$48.64 
124,$44.96 ,$49.02 
125,$45.34 ,$49.41 
126,$45.73 ,$49.79 
127,$46.12 ,$50.18 
128,$46.51 ,$50.56 
129,$46.89 ,$50.95 
130,$47.28 ,$51.34 
131,$47.66 ,$51.73 
132,$48.06 ,$52.11 
133,$48.44 ,$52.49 
134,$48.83 ,$52.89 
135,$49.21 ,$53.27 
136,$49.59 ,$53.66 
137,$49.98 ,$54.04 
138,$50.37 ,$54.43 
139,$50.76 ,$54.81 
140,$51.14 ,$55.20 
141,$51.53 ,$55.58 
142,$51.91 ,$55.97 
143,$52.30 ,$56.35 
144,$52.68 ,$56.74 
145,$53.07 ,$57.13 
146,$53.45 ,$57.53 
147,$53.84 ,$57.91 
148,$54.22 ,$58.29 
149,$54.62 ,$58.68 
150,$55.01 ,$59.06 
