UPS International Export Accessorials,,
"EFFECTIVE JANUARY 2, 2006",,
Rates do not include a fuel surcharge.,,

ACCESSORIAL,RATE,
Bill Duty/Tax & Shipping Charges to Shipper ,, $15.00 
Certificate of Origin ,, $10.00 
Currency Conversion Rate ,, $0.01 
"Delivered Duty Paid, V.A.T. Unpaid ",, $15.00 
Dimensional Weight Factor ,, $166.00 
Extended Area Surcharge ,, Greater of $20 or $0.20 per pound 
Freight Collect Refusal - International ,, $10.00 
Oversize 1 (Standard to Canada Only),, 30 Pounds  
Oversize 2  (Standard to Canada Only),, 70 Pounds  
Oversize 3  (Standard to Canada Only),, 150 Pounds  
Saturday Delivery,, $12.50 
Worldwide Express Plus Surcharge ,, $40.00 

,,
,,
,,

,,
,,
,,
,,

The dimensional weight factor for international shipments is 166.  ,,
