Extended Area Surcharge Listing
"EFFECTIVE JANUARY 2, 2006"

"An Extended Area Surcharge applies to UPS Worldwide Express Plus, "
"UPS Worldwide Express, and UPS Worldwide Expedited shipments to all"
the destinations and from certain origins listed in the following chart.

Locate the destination or origin country.  Locate the Postal Code or City.
"If the Postal Code or City is not listed, ""All Other Points"" applies."

"If ""YES"" is indicated in the ""Extended Area Surcharge"" column next to the"
"destination, a surcharge applies to your export shipment."

"If ""YES"" is indicated in the ""Extended Area Surcharge"" column AND "
"an asterisk is shown next to the origin, a surcharge applies to your import shipment."

"If a surcharge applies, add $20 or $.20 per pound (whichever is greater) to the ",,,
charges for your shipment.,,,

"Note: In the Extended Area Surcharge postal code listings for France*, Guatemala, ",,,
"and Spain*, some programs may drop the leading zeros.  For example, 6260 ",,,
should actually read as 06260.,,,

Destination,,,Extended Area
Country,Postal Codes,Cities,Surcharge

Argentina,1917,,Yes
Argentina,1919,,Yes
Argentina,1921,,Yes
Argentina,1986-1987,,Yes
Argentina,2101-2111,,Yes
Argentina,2113,,Yes
Argentina,2115,,Yes
Argentina,2117,,Yes
Argentina,2119-2120,,Yes
Argentina,2122-2123,,Yes
Argentina,2128-2129,,Yes
Argentina,2134,,Yes
Argentina,2136,,Yes
Argentina,2138-2139,,Yes
Argentina,2142-2144,,Yes
Argentina,2146-2150,,Yes
Argentina,2172-2175,,Yes
Argentina,2177,,Yes
Argentina,2179,,Yes
Argentina,2181,,Yes
Argentina,2183-2185,,Yes
Argentina,2187,,Yes
Argentina,2189,,Yes
Argentina,2201-2202,,Yes
Argentina,2204,,Yes
Argentina,2206,,Yes
Argentina,2208,,Yes
Argentina,2212,,Yes
Argentina,2214,,Yes
Argentina,2216,,Yes
Argentina,2218,,Yes
Argentina,2240,,Yes
Argentina,2242-2243,,Yes
Argentina,2246,,Yes
Argentina,2248,,Yes
Argentina,2252-2253,,Yes
Argentina,2258,,Yes
Argentina,2301-2303,,Yes
Argentina,2307,,Yes
Argentina,2309,,Yes
Argentina,2313,,Yes
Argentina,2317,,Yes
Argentina,2322,,Yes
Argentina,2326,,Yes
Argentina,2340,,Yes
Argentina,2344-2345,,Yes
Argentina,2347,,Yes
Argentina,2349,,Yes
Argentina,2352,,Yes
Argentina,2356,,Yes
Argentina,2405-2409,,Yes
Argentina,2413-2417,,Yes
Argentina,2419-2421,,Yes
Argentina,2424-2426,,Yes
Argentina,2428,,Yes
Argentina,2432-2438,,Yes
Argentina,2440,,Yes
Argentina,2445,,Yes
Argentina,2447,,Yes
Argentina,2449,,Yes
Argentina,2451-2454,,Yes
Argentina,2500-2501,,Yes
Argentina,2503,,Yes
Argentina,2505-2506,,Yes
Argentina,2508,,Yes
Argentina,2512,,Yes
Argentina,2520-2521,,Yes
Argentina,2525,,Yes
Argentina,2527,,Yes
Argentina,2529,,Yes
Argentina,2531,,Yes
Argentina,2533,,Yes
Argentina,2535,,Yes
Argentina,2550,,Yes
Argentina,2553,,Yes
Argentina,2555,,Yes
Argentina,2557,,Yes
Argentina,2559-2560,,Yes
Argentina,2563,,Yes
Argentina,2566,,Yes
Argentina,2568,,Yes
Argentina,2572,,Yes
Argentina,2580-2581,,Yes
Argentina,2583,,Yes
Argentina,2585,,Yes
Argentina,2587,,Yes
Argentina,2589,,Yes
Argentina,2592,,Yes
Argentina,2594,,Yes
Argentina,2601,,Yes
Argentina,2603,,Yes
Argentina,2605,,Yes
Argentina,2607,,Yes
Argentina,2609,,Yes
Argentina,2613,,Yes
Argentina,2615,,Yes
Argentina,2617-2618,,Yes
Argentina,2622,,Yes
Argentina,2624-2625,,Yes
Argentina,2627,,Yes
Argentina,2630,,Yes
Argentina,2633,,Yes
Argentina,2635,,Yes
Argentina,2637-2639,,Yes
Argentina,2643-2647,,Yes
Argentina,2650,,Yes
Argentina,2655,,Yes
Argentina,2657,,Yes
Argentina,2659,,Yes
Argentina,2661-2662,,Yes
Argentina,2670-2673,,Yes
Argentina,2675,,Yes
Argentina,2677,,Yes
Argentina,2679,,Yes
Argentina,2681,,Yes
Argentina,2686,,Yes
Argentina,2700,,Yes
Argentina,2703,,Yes
Argentina,2715-2718,,Yes
Argentina,2720,,Yes
Argentina,2722-2723,,Yes
Argentina,2725-2726,,Yes
Argentina,2728-2729,,Yes
Argentina,2732,,Yes
Argentina,2740-2741,,Yes
Argentina,2745,,Yes
Argentina,2752,,Yes
Argentina,2760,,Yes
Argentina,2801,,Yes
Argentina,2803,,Yes
Argentina,2823,,Yes
Argentina,2826,,Yes
Argentina,2840,,Yes
Argentina,2845,,Yes
Argentina,2854,,Yes
Argentina,2900-2901,,Yes
Argentina,2903,,Yes
Argentina,2905,,Yes
Argentina,2907,,Yes
Argentina,2909,,Yes
Argentina,2912,,Yes
Argentina,2914-2919,,Yes
Argentina,2930-2931,,Yes
Argentina,2933,,Yes
Argentina,2935,,Yes
Argentina,2938,,Yes
Argentina,2943-2944,,Yes
Argentina,2946,,Yes
Argentina,3001-3005,,Yes
Argentina,3008-3014,,Yes
Argentina,3016-3020,,Yes
Argentina,3023-3025,,Yes
Argentina,3027,,Yes
Argentina,3032,,Yes
Argentina,3036-3038,,Yes
Argentina,3040,,Yes
Argentina,3042-3044,,Yes
Argentina,3048,,Yes
Argentina,3050,,Yes
Argentina,3054,,Yes
Argentina,3056,,Yes
Argentina,3060,,Yes
Argentina,3064,,Yes
Argentina,3070,,Yes
Argentina,3080-3082,,Yes
Argentina,3085,,Yes
Argentina,3087-3088,,Yes
Argentina,3101-3105,,Yes
Argentina,3107,,Yes
Argentina,3109,,Yes
Argentina,3114,,Yes
Argentina,3116-3118,,Yes
Argentina,3122,,Yes
Argentina,3127,,Yes
Argentina,3133-3134,,Yes
Argentina,3142,,Yes
Argentina,3150,,Yes
Argentina,3153,,Yes
Argentina,3158,,Yes
Argentina,3162,,Yes
Argentina,3164,,Yes
Argentina,3170,,Yes
Argentina,3172,,Yes
Argentina,3174,,Yes
Argentina,3176-3177,,Yes
Argentina,3180,,Yes
Argentina,3185,,Yes
Argentina,3187,,Yes
Argentina,3190,,Yes
Argentina,3192,,Yes
Argentina,3196-3197,,Yes
Argentina,3201,,Yes
Argentina,3206,,Yes
Argentina,3212-3213,,Yes
Argentina,3216,,Yes
Argentina,3218,,Yes
Argentina,3220,,Yes
Argentina,3224,,Yes
Argentina,3226,,Yes
Argentina,3228-3232,,Yes
Argentina,3234,,Yes
Argentina,3240,,Yes
Argentina,3244,,Yes
Argentina,3260,,Yes
Argentina,3262,,Yes
Argentina,3265,,Yes
Argentina,3272-3273,,Yes
Argentina,3280,,Yes
Argentina,3283-3284,,Yes
Argentina,3287,,Yes
Argentina,3302-3304,,Yes
Argentina,3306,,Yes
Argentina,3308,,Yes
Argentina,3313-3318,,Yes
Argentina,3322,,Yes
Argentina,3324-3329,,Yes
Argentina,3331-3335,,Yes
Argentina,3340,,Yes
Argentina,3342,,Yes
Argentina,3344,,Yes
Argentina,3346,,Yes
Argentina,3350,,Yes
Argentina,3355,,Yes
Argentina,3357-3358,,Yes
Argentina,3360-3362,,Yes
Argentina,3364-3366,,Yes
Argentina,3370,,Yes
Argentina,3374-3376,,Yes
Argentina,3378,,Yes
Argentina,3380-3381,,Yes
Argentina,3384-3385,,Yes
Argentina,3403,,Yes
Argentina,3414,,Yes
Argentina,3416,,Yes
Argentina,3418,,Yes
Argentina,3420,,Yes
Argentina,3423,,Yes
Argentina,3432,,Yes
Argentina,3440,,Yes
Argentina,3443,,Yes
Argentina,3450,,Yes
Argentina,3460,,Yes
Argentina,3470,,Yes
Argentina,3476-3477,,Yes
Argentina,3503-3504,,Yes
Argentina,3507,,Yes
Argentina,3509,,Yes
Argentina,3514,,Yes
Argentina,3516,,Yes
Argentina,3518-3519,,Yes
Argentina,3526,,Yes
Argentina,3530,,Yes
Argentina,3534-3536,,Yes
Argentina,3540,,Yes
Argentina,3545,,Yes
Argentina,3550,,Yes
Argentina,3555,,Yes
Argentina,3560-3561,,Yes
Argentina,3572,,Yes
Argentina,3574-3575,,Yes
Argentina,3580-3581,,Yes
Argentina,3586,,Yes
Argentina,3603-3604,,Yes
Argentina,3606,,Yes
Argentina,3608,,Yes
Argentina,3610,,Yes
Argentina,3620,,Yes
Argentina,3624,,Yes
Argentina,3626,,Yes
Argentina,3630,,Yes
Argentina,3700-3701,,Yes
Argentina,3703,,Yes
Argentina,3705,,Yes
Argentina,3711-3712,,Yes
Argentina,3716,,Yes
Argentina,3718,,Yes
Argentina,3722,,Yes
Argentina,3730,,Yes
Argentina,3732-3733,,Yes
Argentina,3740,,Yes
Argentina,3760-3761,,Yes
Argentina,3763,,Yes
Argentina,4103,,Yes
Argentina,4105,,Yes
