UPS Next Day Air Early AM®,,,,,,,,
Daily Rates,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,

A $1.75 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,

Weight Not To Exceed,Zone 102,Zone 103,Zone 104,Zone 105,Zone 106,Zone 107,Zone 108,Zone 124

Letter,$41.25 ,$43.25 ,$44.50 ,$45.00 ,$45.75 ,$46.50 ,$47.00 ,$47.25 
1,$43.25 ,$47.25 ,$50.50 ,$52.50 ,$54.75 ,$56.25 ,$56.75 ,$58.25 
2,$44.25 ,$48.50 ,$53.25 ,$55.50 ,$58.00 ,$59.00 ,$59.75 ,$61.50 
3,$45.75 ,$49.50 ,$56.00 ,$58.25 ,$61.25 ,$62.25 ,$63.00 ,$64.50 
4,$46.75 ,$50.50 ,$58.75 ,$61.00 ,$64.25 ,$65.00 ,$66.00 ,$67.50 
5,$47.75 ,$51.75 ,$61.50 ,$63.75 ,$67.25 ,$67.50 ,$69.00 ,$70.50 
6,$48.50 ,$53.00 ,$63.50 ,$66.50 ,$70.25 ,$70.75 ,$72.50 ,$73.25 
7,$49.25 ,$54.50 ,$65.75 ,$69.25 ,$73.25 ,$74.00 ,$75.50 ,$76.25 
8,$50.00 ,$56.00 ,$68.00 ,$71.75 ,$76.50 ,$77.25 ,$78.25 ,$78.75 
9,$50.75 ,$57.50 ,$70.50 ,$74.50 ,$79.50 ,$80.50 ,$81.25 ,$82.00 
10,$51.50 ,$58.75 ,$73.25 ,$77.25 ,$82.50 ,$83.50 ,$84.50 ,$84.75 
11,$52.25 ,$59.75 ,$75.50 ,$79.75 ,$85.25 ,$86.50 ,$87.50 ,$87.75 
12,$53.00 ,$60.75 ,$77.75 ,$82.25 ,$87.75 ,$89.75 ,$90.75 ,$91.00 
13,$53.75 ,$62.00 ,$80.00 ,$84.75 ,$90.25 ,$93.25 ,$93.75 ,$94.25 
14,$54.50 ,$63.00 ,$82.25 ,$87.50 ,$92.75 ,$96.50 ,$96.75 ,$97.25 
15,$55.25 ,$64.50 ,$84.75 ,$90.00 ,$95.00 ,$99.00 ,$99.50 ,$100.00 
16,$56.25 ,$65.75 ,$86.00 ,$91.75 ,$96.75 ,$99.75 ,$101.25 ,$102.75 
17,$57.00 ,$66.75 ,$87.50 ,$93.25 ,$98.50 ,$100.25 ,$102.75 ,$104.75 
18,$57.75 ,$67.50 ,$89.00 ,$94.75 ,$100.00 ,$101.75 ,$104.75 ,$106.50 
19,$58.50 ,$68.25 ,$90.50 ,$96.25 ,$101.50 ,$103.25 ,$106.75 ,$108.25 
20,$59.25 ,$69.25 ,$92.25 ,$98.00 ,$103.50 ,$105.25 ,$109.00 ,$110.00 
21,$60.00 ,$70.00 ,$94.00 ,$99.75 ,$105.50 ,$107.00 ,$111.00 ,$111.75 
22,$60.75 ,$70.75 ,$95.75 ,$101.50 ,$107.25 ,$108.75 ,$112.75 ,$113.50 
23,$61.50 ,$71.75 ,$97.50 ,$103.25 ,$109.00 ,$110.50 ,$114.50 ,$115.25 
24,$62.25 ,$72.75 ,$99.25 ,$105.25 ,$110.75 ,$112.50 ,$116.50 ,$117.00 
25,$63.00 ,$73.75 ,$101.00 ,$107.25 ,$112.75 ,$114.50 ,$118.25 ,$118.75 
26,$64.00 ,$75.00 ,$103.00 ,$109.25 ,$114.75 ,$116.50 ,$120.00 ,$120.50 
27,$64.75 ,$75.75 ,$105.00 ,$111.25 ,$116.50 ,$118.75 ,$121.75 ,$122.00 
28,$65.50 ,$76.50 ,$106.75 ,$113.00 ,$118.25 ,$120.75 ,$123.75 ,$124.00 
29,$66.25 ,$77.50 ,$108.50 ,$115.00 ,$120.50 ,$122.75 ,$125.50 ,$126.25 
30,$67.25 ,$78.25 ,$110.25 ,$117.00 ,$122.75 ,$124.75 ,$127.50 ,$128.50 
31,$68.25 ,$79.25 ,$112.25 ,$119.25 ,$124.75 ,$126.75 ,$129.75 ,$130.50 
32,$69.00 ,$80.50 ,$114.00 ,$121.25 ,$127.00 ,$128.75 ,$132.25 ,$132.50 
33,$70.00 ,$81.75 ,$115.75 ,$123.50 ,$129.25 ,$130.75 ,$134.50 ,$134.75 
34,$71.00 ,$83.25 ,$117.50 ,$125.50 ,$131.50 ,$133.00 ,$136.75 ,$137.00 
35,$71.75 ,$84.25 ,$119.50 ,$127.75 ,$133.50 ,$135.50 ,$139.00 ,$139.25 
36,$72.50 ,$85.25 ,$121.50 ,$130.00 ,$135.75 ,$138.00 ,$141.50 ,$142.00 
37,$73.25 ,$86.00 ,$123.25 ,$132.00 ,$137.75 ,$140.50 ,$143.75 ,$144.50 
38,$74.00 ,$86.75 ,$125.00 ,$134.00 ,$140.00 ,$143.00 ,$146.25 ,$146.75 
39,$74.75 ,$87.75 ,$126.75 ,$136.00 ,$142.00 ,$145.25 ,$148.50 ,$149.00 
40,$75.50 ,$88.75 ,$128.75 ,$138.25 ,$144.00 ,$147.50 ,$151.00 ,$151.25 
41,$76.25 ,$89.75 ,$130.75 ,$140.25 ,$146.50 ,$149.50 ,$153.25 ,$153.75 
42,$77.00 ,$90.75 ,$132.50 ,$142.00 ,$148.75 ,$151.50 ,$155.50 ,$156.00 
43,$77.75 ,$92.00 ,$134.50 ,$143.75 ,$151.00 ,$153.75 ,$158.00 ,$158.25 
44,$78.75 ,$93.00 ,$136.75 ,$145.75 ,$153.00 ,$156.00 ,$160.50 ,$160.75 
45,$79.75 ,$94.00 ,$138.75 ,$147.50 ,$155.00 ,$158.00 ,$163.00 ,$163.25 
46,$80.75 ,$95.25 ,$140.50 ,$149.25 ,$157.25 ,$160.25 ,$165.25 ,$165.75 
47,$81.75 ,$96.75 ,$142.25 ,$151.50 ,$159.50 ,$162.25 ,$167.50 ,$167.75 
48,$82.50 ,$98.00 ,$144.00 ,$153.25 ,$161.75 ,$164.75 ,$169.75 ,$170.00 
49,$83.25 ,$99.25 ,$145.75 ,$155.00 ,$164.25 ,$167.00 ,$171.75 ,$172.50 
50,$84.25 ,$100.75 ,$147.50 ,$157.00 ,$166.50 ,$169.50 ,$174.00 ,$175.00 
51,$85.25 ,$102.25 ,$149.50 ,$158.75 ,$168.75 ,$172.25 ,$176.75 ,$177.50 
52,$86.25 ,$104.00 ,$151.25 ,$161.00 ,$171.00 ,$174.75 ,$179.50 ,$180.00 
53,$87.25 ,$105.50 ,$153.00 ,$162.75 ,$173.00 ,$177.00 ,$182.00 ,$182.75 
54,$88.25 ,$107.00 ,$155.00 ,$164.50 ,$175.25 ,$179.25 ,$184.75 ,$185.50 
55,$89.25 ,$108.50 ,$156.75 ,$166.25 ,$177.50 ,$181.75 ,$187.50 ,$188.25 
56,$90.25 ,$110.25 ,$158.75 ,$168.00 ,$180.00 ,$184.25 ,$190.25 ,$190.75 
57,$91.50 ,$112.00 ,$161.00 ,$170.25 ,$182.50 ,$186.75 ,$193.00 ,$193.75 
58,$92.75 ,$113.50 ,$163.00 ,$172.25 ,$185.00 ,$189.25 ,$195.75 ,$196.75 
59,$93.75 ,$115.00 ,$165.25 ,$174.25 ,$187.50 ,$191.75 ,$198.75 ,$199.75 
60,$95.00 ,$116.50 ,$167.25 ,$176.50 ,$190.00 ,$194.50 ,$201.75 ,$202.50 
61,$96.25 ,$118.00 ,$169.25 ,$179.25 ,$192.50 ,$197.50 ,$204.75 ,$205.25 
62,$97.75 ,$119.50 ,$171.25 ,$182.00 ,$195.00 ,$200.50 ,$207.75 ,$208.75 
63,$99.00 ,$121.25 ,$173.50 ,$184.50 ,$197.50 ,$203.25 ,$211.00 ,$212.00 
64,$100.25 ,$123.00 ,$175.50 ,$187.25 ,$200.50 ,$206.25 ,$214.25 ,$215.00 
65,$101.50 ,$124.75 ,$177.50 ,$190.00 ,$203.50 ,$209.25 ,$217.50 ,$218.00 
66,$102.75 ,$126.50 ,$180.00 ,$192.75 ,$206.25 ,$212.50 ,$220.75 ,$221.25 
67,$104.00 ,$128.25 ,$182.50 ,$195.50 ,$208.75 ,$215.75 ,$224.00 ,$224.25 
68,$105.50 ,$130.25 ,$185.00 ,$198.25 ,$211.25 ,$218.75 ,$227.25 ,$227.50 
69,$107.00 ,$132.25 ,$187.25 ,$201.00 ,$214.00 ,$222.25 ,$230.50 ,$230.75 
70,$108.50 ,$134.25 ,$189.75 ,$203.50 ,$217.00 ,$225.75 ,$234.00 ,$234.25 
71,$109.75 ,$136.75 ,$192.25 ,$205.75 ,$219.75 ,$228.75 ,$237.00 ,$237.75 
72,$111.00 ,$138.75 ,$194.75 ,$208.50 ,$222.50 ,$231.75 ,$240.00 ,$241.25 
73,$112.50 ,$140.50 ,$197.00 ,$211.25 ,$225.50 ,$234.75 ,$243.00 ,$244.75 
74,$114.00 ,$142.25 ,$199.50 ,$214.00 ,$228.50 ,$237.75 ,$245.75 ,$248.25 
75,$115.25 ,$144.00 ,$202.00 ,$216.50 ,$231.50 ,$240.75 ,$248.75 ,$251.75 
76,$116.75 ,$146.25 ,$204.50 ,$219.50 ,$234.25 ,$243.75 ,$252.00 ,$255.00 
77,$118.25 ,$148.25 ,$207.00 ,$222.00 ,$237.00 ,$246.75 ,$255.25 ,$258.25 
78,$119.75 ,$150.25 ,$209.75 ,$224.50 ,$239.75 ,$249.75 ,$258.50 ,$261.25 
79,$121.25 ,$152.25 ,$212.50 ,$227.25 ,$242.50 ,$252.75 ,$261.75 ,$264.25 
80,$122.75 ,$154.50 ,$215.25 ,$230.00 ,$245.50 ,$255.75 ,$265.00 ,$267.25 
81,$124.25 ,$156.50 ,$217.75 ,$232.75 ,$248.75 ,$258.50 ,$268.25 ,$270.25 
82,$125.75 ,$158.50 ,$220.25 ,$235.50 ,$252.00 ,$261.25 ,$271.50 ,$273.25 
83,$127.25 ,$160.50 ,$223.00 ,$238.00 ,$255.00 ,$264.00 ,$274.75 ,$276.25 
84,$128.75 ,$162.50 ,$225.75 ,$240.50 ,$258.00 ,$266.50 ,$278.00 ,$279.25 
85,$130.00 ,$164.75 ,$228.50 ,$243.25 ,$261.00 ,$269.50 ,$281.25 ,$282.00 
86,$131.25 ,$166.75 ,$231.25 ,$246.00 ,$264.00 ,$272.50 ,$284.50 ,$284.75 
87,$132.50 ,$169.00 ,$234.00 ,$248.75 ,$266.75 ,$275.50 ,$287.75 ,$288.00 
88,$133.75 ,$171.00 ,$236.75 ,$251.50 ,$269.50 ,$278.50 ,$291.00 ,$291.25 
89,$135.00 ,$173.00 ,$239.25 ,$254.00 ,$272.25 ,$281.50 ,$294.25 ,$294.50 
90,$136.25 ,$175.00 ,$242.00 ,$256.50 ,$275.00 ,$284.75 ,$297.25 ,$297.75 
91,$137.75 ,$177.00 ,$244.75 ,$259.25 ,$277.75 ,$287.75 ,$300.25 ,$300.75 
92,$139.25 ,$178.75 ,$247.25 ,$262.00 ,$280.50 ,$290.75 ,$303.25 ,$303.75 
93,$140.50 ,$180.25 ,$249.75 ,$264.75 ,$283.25 ,$293.75 ,$306.25 ,$306.75 
94,$141.75 ,$182.25 ,$252.25 ,$267.25 ,$286.00 ,$296.75 ,$309.25 ,$309.75 
95,$143.25 ,$184.25 ,$254.75 ,$269.75 ,$288.75 ,$299.75 ,$312.00 ,$313.00 
96,$144.50 ,$186.25 ,$257.00 ,$272.00 ,$291.75 ,$302.75 ,$315.00 ,$315.75 
97,$145.75 ,$188.00 ,$259.25 ,$274.50 ,$294.75 ,$305.75 ,$318.00 ,$318.75 
98,$147.00 ,$190.00 ,$261.25 ,$277.00 ,$297.50 ,$308.50 ,$321.00 ,$321.75 
99,$148.25 ,$191.75 ,$263.25 ,$279.25 ,$300.25 ,$311.25 ,$323.75 ,$324.75 
100,$149.50 ,$193.50 ,$265.25 ,$281.50 ,$303.00 ,$313.75 ,$326.50 ,$328.00 
101,$150.75 ,$195.25 ,$267.25 ,$284.00 ,$305.50 ,$316.50 ,$329.25 ,$331.00 
102,$152.00 ,$196.75 ,$269.50 ,$286.50 ,$308.00 ,$319.50 ,$332.00 ,$333.75 
103,$153.25 ,$198.50 ,$272.00 ,$288.75 ,$310.75 ,$322.50 ,$334.75 ,$336.50 
104,$154.50 ,$200.00 ,$274.25 ,$291.25 ,$313.75 ,$325.25 ,$337.50 ,$339.25 
105,$155.75 ,$201.50 ,$276.50 ,$293.75 ,$316.50 ,$328.00 ,$340.25 ,$342.25 
106,$157.25 ,$203.25 ,$278.75 ,$296.25 ,$319.00 ,$331.00 ,$343.00 ,$345.50 
107,$158.75 ,$205.00 ,$281.25 ,$298.75 ,$321.50 ,$333.75 ,$345.75 ,$348.50 
108,$160.00 ,$206.75 ,$283.75 ,$301.25 ,$324.25 ,$336.50 ,$348.50 ,$351.25 
109,$161.25 ,$208.50 ,$286.00 ,$303.75 ,$327.00 ,$339.50 ,$351.25 ,$354.00 
110,$162.50 ,$210.25 ,$288.25 ,$306.25 ,$329.75 ,$342.50 ,$354.00 ,$356.75 
111,$163.75 ,$212.25 ,$290.50 ,$309.00 ,$332.50 ,$345.50 ,$357.00 ,$359.50 
112,$165.00 ,$214.25 ,$292.75 ,$311.50 ,$335.25 ,$348.50 ,$359.75 ,$362.25 
113,$166.25 ,$216.25 ,$295.00 ,$314.00 ,$338.00 ,$351.50 ,$362.50 ,$365.00 
114,$167.50 ,$218.00 ,$297.25 ,$316.75 ,$340.75 ,$354.25 ,$365.25 ,$367.75 
115,$168.75 ,$219.50 ,$299.50 ,$319.25 ,$343.75 ,$357.00 ,$368.25 ,$370.50 
116,$170.00 ,$221.00 ,$301.75 ,$321.75 ,$346.50 ,$359.50 ,$371.00 ,$373.25 
117,$171.25 ,$222.75 ,$304.00 ,$324.00 ,$349.25 ,$362.00 ,$373.75 ,$376.00 
