UPS 2nd Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 202 , Zone 203 , Zone 204 , Zone 205 , Zone 206 , Zone 207 , Zone 208 , Zone 224 , Zone 225 , Zone 226

Letter,$7.50 ,$8.00 ,$8.40 ,$9.10 ,$9.80 ,$10.20 ,$10.60 ,$14.60 ,$14.60 ,$20.20 
1,$7.80 ,$8.30 ,$8.70 ,$9.60 ,$10.70 ,$11.20 ,$11.70 ,$17.00 ,$17.00 ,$30.70 
2,$8.20 ,$8.80 ,$9.10 ,$10.40 ,$12.20 ,$13.10 ,$13.60 ,$19.20 ,$19.20 ,$32.90 
3,$8.60 ,$9.20 ,$9.70 ,$11.70 ,$14.00 ,$15.10 ,$15.70 ,$21.20 ,$21.20 ,$35.10 
4,$9.00 ,$9.70 ,$10.60 ,$13.00 ,$15.90 ,$17.10 ,$17.80 ,$23.10 ,$23.10 ,$37.30 
5,$9.40 ,$10.10 ,$11.60 ,$14.40 ,$17.80 ,$19.10 ,$20.00 ,$25.10 ,$25.10 ,$39.30 
6,$9.80 ,$10.60 ,$12.60 ,$15.90 ,$19.90 ,$21.30 ,$22.30 ,$27.00 ,$27.00 ,$41.10 
7,$10.20 ,$11.30 ,$13.60 ,$17.40 ,$22.20 ,$23.60 ,$24.60 ,$28.90 ,$28.90 ,$42.80 
8,$10.60 ,$12.10 ,$14.70 ,$18.90 ,$24.40 ,$26.00 ,$27.00 ,$30.80 ,$30.80 ,$44.60 
9,$11.00 ,$13.00 ,$15.70 ,$20.40 ,$26.60 ,$28.40 ,$29.50 ,$32.90 ,$32.90 ,$46.50 
10,$11.50 ,$13.90 ,$16.80 ,$21.90 ,$28.80 ,$30.80 ,$31.90 ,$35.10 ,$35.10 ,$48.50 
11,$12.00 ,$14.70 ,$17.80 ,$23.40 ,$31.00 ,$33.10 ,$34.20 ,$37.20 ,$37.20 ,$50.50 
12,$12.70 ,$15.40 ,$18.70 ,$24.90 ,$33.10 ,$35.30 ,$36.50 ,$39.20 ,$39.20 ,$52.50 
13,$13.40 ,$16.00 ,$19.60 ,$26.30 ,$35.10 ,$37.40 ,$38.70 ,$41.20 ,$41.20 ,$54.50 
14,$14.10 ,$16.60 ,$20.50 ,$27.70 ,$37.10 ,$39.50 ,$40.90 ,$43.20 ,$43.20 ,$56.50 
15,$14.70 ,$17.20 ,$21.40 ,$29.10 ,$39.00 ,$41.60 ,$43.00 ,$45.20 ,$45.20 ,$58.50 
16,$15.20 ,$17.80 ,$22.30 ,$30.30 ,$40.90 ,$43.60 ,$45.00 ,$47.10 ,$47.10 ,$60.50 
17,$15.70 ,$18.40 ,$23.20 ,$31.30 ,$42.70 ,$45.50 ,$47.00 ,$49.00 ,$49.00 ,$62.50 
18,$16.20 ,$19.00 ,$24.10 ,$32.30 ,$44.50 ,$47.40 ,$49.00 ,$50.90 ,$50.90 ,$64.50 
19,$16.80 ,$19.60 ,$25.00 ,$33.40 ,$46.30 ,$49.30 ,$51.00 ,$52.80 ,$52.80 ,$66.40 
20,$17.40 ,$20.30 ,$25.90 ,$34.60 ,$48.10 ,$51.20 ,$53.00 ,$54.70 ,$54.70 ,$68.30 
21,$18.00 ,$21.00 ,$26.80 ,$35.80 ,$49.90 ,$53.10 ,$54.90 ,$56.60 ,$56.60 ,$70.20 
22,$18.60 ,$21.70 ,$27.70 ,$37.00 ,$51.70 ,$55.10 ,$56.90 ,$58.60 ,$58.60 ,$72.10 
