UPS 2nd Day Air A.M.®,,,,,,,
Daily Rates,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

Weight Not To Exceed, Zone 242 , Zone 243 , Zone 244 , Zone 245 , Zone 246 , Zone 247 , Zone 248

Letter,$8.10 ,$8.20 ,$8.70 ,$9.50 ,$10.00 ,$10.50 ,$11.20 
1,$8.30 ,$8.60 ,$9.20 ,$10.40 ,$11.70 ,$12.40 ,$12.70 
2,$8.60 ,$9.30 ,$10.30 ,$11.60 ,$13.30 ,$14.40 ,$14.80 
3,$9.30 ,$9.80 ,$11.30 ,$13.00 ,$15.20 ,$16.20 ,$16.70 
4,$9.90 ,$10.50 ,$12.40 ,$14.70 ,$17.20 ,$18.40 ,$18.70 
5,$10.80 ,$11.20 ,$13.70 ,$16.50 ,$19.00 ,$20.60 ,$21.00 
6,$11.00 ,$11.80 ,$14.20 ,$17.90 ,$21.70 ,$23.20 ,$24.20 
7,$11.20 ,$12.70 ,$15.20 ,$19.60 ,$24.00 ,$25.40 ,$26.90 
8,$11.60 ,$13.60 ,$16.30 ,$21.20 ,$26.30 ,$27.90 ,$29.50 
9,$12.10 ,$14.60 ,$17.60 ,$22.90 ,$28.70 ,$30.60 ,$32.10 
10,$12.60 ,$15.50 ,$18.70 ,$24.50 ,$31.20 ,$33.10 ,$34.50 
11,$13.40 ,$16.30 ,$19.90 ,$26.10 ,$33.60 ,$35.50 ,$36.80 
12,$14.10 ,$17.30 ,$20.90 ,$27.80 ,$35.80 ,$37.60 ,$39.00 
13,$15.00 ,$17.90 ,$21.90 ,$29.10 ,$37.80 ,$39.50 ,$41.10 
14,$15.80 ,$18.70 ,$22.90 ,$30.60 ,$39.80 ,$41.50 ,$43.30 
15,$16.50 ,$19.50 ,$23.90 ,$32.10 ,$41.80 ,$43.50 ,$45.40 
16,$17.20 ,$20.20 ,$25.00 ,$33.40 ,$43.90 ,$45.90 ,$47.40 
17,$17.90 ,$20.70 ,$25.90 ,$34.50 ,$46.00 ,$48.00 ,$49.50 
18,$18.30 ,$21.20 ,$26.80 ,$35.60 ,$48.10 ,$50.20 ,$51.70 
19,$18.90 ,$21.90 ,$27.80 ,$36.80 ,$50.20 ,$52.50 ,$53.90 
20,$19.50 ,$22.60 ,$28.80 ,$38.30 ,$52.30 ,$54.80 ,$56.40 
21,$20.00 ,$23.50 ,$29.90 ,$39.70 ,$54.40 ,$56.90 ,$58.80 
22,$20.50 ,$24.30 ,$30.90 ,$41.00 ,$56.40 ,$59.00 ,$61.30 
23,$21.10 ,$25.10 ,$31.90 ,$42.30 ,$58.30 ,$61.20 ,$63.60 
24,$21.70 ,$25.90 ,$32.90 ,$43.60 ,$60.20 ,$63.50 ,$65.80 
25,$22.30 ,$26.70 ,$33.90 ,$45.00 ,$62.10 ,$65.70 ,$67.90 
26,$22.90 ,$27.40 ,$34.90 ,$46.60 ,$63.70 ,$67.70 ,$70.00 
27,$23.50 ,$28.20 ,$35.90 ,$48.10 ,$65.30 ,$69.90 ,$72.10 
28,$24.20 ,$29.00 ,$36.90 ,$49.40 ,$67.10 ,$71.80 ,$74.30 
29,$24.90 ,$29.70 ,$37.90 ,$50.60 ,$69.00 ,$73.90 ,$76.50 
30,$25.60 ,$30.50 ,$38.90 ,$51.90 ,$71.00 ,$75.90 ,$78.60 
31,$26.30 ,$31.10 ,$39.90 ,$53.20 ,$73.00 ,$77.90 ,$80.80 
32,$26.90 ,$31.90 ,$40.90 ,$54.60 ,$75.10 ,$80.10 ,$83.00 
33,$27.50 ,$32.70 ,$41.90 ,$56.00 ,$77.10 ,$82.30 ,$85.10 
34,$28.00 ,$33.30 ,$42.80 ,$57.30 ,$79.10 ,$84.50 ,$87.20 
35,$28.60 ,$34.10 ,$43.70 ,$58.50 ,$81.00 ,$86.50 ,$89.30 
36,$29.20 ,$34.90 ,$44.60 ,$59.70 ,$82.90 ,$88.80 ,$91.70 
37,$29.80 ,$35.80 ,$45.50 ,$61.10 ,$85.00 ,$90.90 ,$94.00 
38,$30.50 ,$36.60 ,$46.60 ,$62.30 ,$87.10 ,$93.20 ,$96.20 
39,$31.30 ,$37.30 ,$47.70 ,$63.50 ,$89.10 ,$95.40 ,$98.40 
40,$32.20 ,$38.10 ,$48.70 ,$64.80 ,$91.10 ,$97.60 ,$100.60 
41,$32.90 ,$39.00 ,$49.70 ,$66.20 ,$93.10 ,$99.80 ,$102.80 
42,$33.60 ,$39.80 ,$50.70 ,$67.50 ,$95.00 ,$102.00 ,$104.90 
43,$34.10 ,$40.60 ,$51.70 ,$68.90 ,$96.80 ,$104.20 ,$107.00 
44,$34.70 ,$41.30 ,$52.60 ,$70.00 ,$98.60 ,$106.20 ,$109.10 
45,$35.20 ,$41.90 ,$53.50 ,$71.10 ,$100.40 ,$108.20 ,$111.20 
46,$35.90 ,$42.70 ,$54.30 ,$72.30 ,$102.20 ,$110.20 ,$113.30 
47,$36.80 ,$43.40 ,$55.10 ,$73.50 ,$104.20 ,$112.30 ,$115.40 
48,$37.50 ,$44.20 ,$56.00 ,$74.80 ,$106.20 ,$114.40 ,$117.50 
49,$38.20 ,$45.10 ,$57.00 ,$76.00 ,$108.20 ,$116.50 ,$119.50 
50,$38.80 ,$46.00 ,$58.00 ,$77.20 ,$110.00 ,$118.60 ,$121.40 
51,$39.40 ,$46.80 ,$58.90 ,$78.60 ,$111.70 ,$120.60 ,$123.40 
52,$40.20 ,$47.70 ,$59.80 ,$79.90 ,$113.50 ,$122.60 ,$125.40 
53,$40.90 ,$48.40 ,$60.60 ,$81.20 ,$115.30 ,$124.60 ,$127.40 
54,$41.60 ,$49.20 ,$61.40 ,$82.60 ,$117.00 ,$126.60 ,$129.40 
55,$42.20 ,$50.00 ,$62.20 ,$83.90 ,$118.70 ,$128.60 ,$131.40 
56,$42.70 ,$50.90 ,$63.30 ,$85.20 ,$120.50 ,$130.60 ,$133.50 
57,$43.30 ,$51.60 ,$64.30 ,$86.50 ,$122.60 ,$132.60 ,$135.60 
58,$43.90 ,$52.20 ,$65.40 ,$87.90 ,$124.60 ,$134.60 ,$137.70 
59,$44.50 ,$52.80 ,$66.60 ,$89.20 ,$126.60 ,$136.90 ,$139.80 
60,$45.20 ,$53.50 ,$67.70 ,$90.60 ,$128.40 ,$139.20 ,$142.00 
61,$45.90 ,$54.20 ,$68.60 ,$92.00 ,$130.50 ,$141.50 ,$144.30 
62,$46.70 ,$55.00 ,$69.50 ,$93.30 ,$132.40 ,$143.80 ,$146.60 
63,$47.50 ,$55.90 ,$70.50 ,$94.60 ,$134.40 ,$146.10 ,$148.90 
64,$48.30 ,$56.70 ,$71.40 ,$96.00 ,$136.20 ,$148.30 ,$151.20 
65,$49.10 ,$57.60 ,$72.30 ,$97.50 ,$138.20 ,$150.50 ,$153.60 
66,$49.80 ,$58.30 ,$73.20 ,$99.20 ,$140.30 ,$152.70 ,$156.10 
67,$50.40 ,$59.00 ,$74.10 ,$100.70 ,$142.40 ,$154.90 ,$158.60 
68,$51.00 ,$59.80 ,$75.00 ,$102.20 ,$144.50 ,$157.10 ,$161.10 
69,$51.60 ,$60.60 ,$75.90 ,$103.80 ,$146.60 ,$159.30 ,$163.60 
70,$52.20 ,$61.50 ,$76.90 ,$105.50 ,$148.70 ,$161.50 ,$166.10 
71,$52.70 ,$62.40 ,$78.50 ,$107.30 ,$150.80 ,$163.80 ,$168.60 
72,$53.20 ,$63.30 ,$79.90 ,$108.70 ,$152.90 ,$166.10 ,$170.70 
73,$53.90 ,$64.20 ,$81.20 ,$110.10 ,$154.90 ,$168.30 ,$172.90 
74,$54.60 ,$65.10 ,$82.40 ,$111.60 ,$156.80 ,$170.50 ,$175.10 
75,$55.30 ,$66.00 ,$83.40 ,$113.00 ,$158.70 ,$172.60 ,$177.30 
76,$56.00 ,$66.70 ,$84.20 ,$114.50 ,$160.70 ,$174.70 ,$179.50 
77,$56.70 ,$67.40 ,$84.90 ,$116.00 ,$162.80 ,$176.70 ,$181.80 
78,$57.40 ,$68.10 ,$85.90 ,$117.60 ,$164.90 ,$178.70 ,$184.00 
79,$58.00 ,$69.00 ,$87.00 ,$119.10 ,$167.00 ,$180.80 ,$186.20 
80,$58.70 ,$69.90 ,$88.10 ,$120.60 ,$169.10 ,$182.90 ,$188.40 
81,$59.30 ,$70.90 ,$89.20 ,$122.10 ,$171.20 ,$185.00 ,$190.60 
82,$60.00 ,$71.70 ,$90.30 ,$123.70 ,$173.30 ,$187.20 ,$192.80 
83,$60.70 ,$72.50 ,$91.20 ,$125.20 ,$175.30 ,$189.40 ,$195.10 
84,$61.30 ,$73.20 ,$92.30 ,$126.70 ,$177.20 ,$191.60 ,$197.30 
85,$62.00 ,$73.90 ,$93.20 ,$128.10 ,$179.00 ,$193.60 ,$199.50 
86,$62.60 ,$74.70 ,$94.30 ,$129.60 ,$180.80 ,$195.70 ,$201.70 
87,$63.30 ,$75.50 ,$95.60 ,$131.10 ,$182.60 ,$197.80 ,$203.90 
88,$64.00 ,$76.20 ,$96.90 ,$132.50 ,$184.40 ,$199.90 ,$206.20 
89,$64.70 ,$77.00 ,$98.10 ,$133.90 ,$186.20 ,$202.00 ,$208.50 
90,$65.50 ,$78.00 ,$99.00 ,$135.30 ,$188.00 ,$204.10 ,$210.60 
91,$66.30 ,$78.90 ,$99.90 ,$136.70 ,$189.80 ,$206.40 ,$212.70 
92,$67.10 ,$79.70 ,$100.80 ,$138.00 ,$191.60 ,$208.60 ,$214.80 
93,$67.90 ,$80.50 ,$101.70 ,$139.30 ,$193.50 ,$210.80 ,$217.00 
94,$68.60 ,$81.30 ,$102.60 ,$140.70 ,$195.40 ,$213.00 ,$219.30 
95,$69.20 ,$82.00 ,$103.50 ,$142.00 ,$197.60 ,$215.20 ,$221.50 
96,$69.80 ,$82.70 ,$104.40 ,$143.30 ,$199.80 ,$217.20 ,$223.70 
97,$70.40 ,$83.50 ,$105.40 ,$144.70 ,$202.00 ,$219.40 ,$225.90 
