UPS 2nd Day Air® -- Origin Alaska,
Daily Rates,
"EFFECTIVE JANUARY 2, 2006",
Rates do not include a fuel surcharge.,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,

Weight Not To Exceed,Zone 14

Letter,$9.60 
1,$10.40 
2,$12.00 
3,$13.80 
4,$15.50 
5,$17.30 
6,$19.20 
7,$21.20 
8,$23.00 
9,$24.90 
10,$26.80 
11,$28.60 
12,$30.40 
13,$32.10 
14,$33.60 
15,$34.90 
16,$35.90 
17,$37.00 
18,$38.30 
19,$39.70 
20,$41.00 
21,$42.10 
22,$43.10 
23,$44.20 
24,$45.00 
25,$46.10 
26,$47.20 
27,$48.20 
28,$49.40 
29,$50.70 
30,$51.70 
31,$52.80 
32,$53.90 
33,$55.20 
34,$56.50 
35,$57.50 
36,$58.70 
37,$60.10 
38,$61.40 
39,$62.70 
40,$63.90 
41,$65.10 
42,$66.50 
43,$68.00 
44,$69.40 
45,$70.80 
46,$71.90 
47,$73.10 
48,$74.20 
49,$75.50 
50,$76.80 
51,$78.10 
52,$79.30 
53,$80.60 
54,$81.80 
55,$83.00 
56,$84.00 
57,$85.30 
58,$86.70 
59,$88.00 
60,$89.50 
61,$90.90 
62,$92.30 
63,$93.70 
64,$95.10 
65,$96.50 
66,$97.90 
67,$99.30 
68,$100.70 
69,$102.10 
70,$103.60 
71,$105.10 
72,$106.70 
73,$108.20 
74,$109.70 
75,$111.10 
76,$112.50 
77,$113.90 
78,$115.20 
79,$116.50 
80,$118.00 
81,$119.40 
82,$120.80 
83,$122.10 
84,$123.50 
85,$124.90 
86,$126.30 
87,$127.60 
88,$129.00 
89,$130.40 
90,$132.00 
91,$133.50 
92,$134.90 
93,$136.30 
94,$137.70 
95,$139.10 
96,$140.50 
97,$141.80 
98,$143.10 
99,$144.40 
100,$145.70 
101,$147.10 
102,$148.40 
103,$149.70 
104,$151.10 
105,$152.40 
106,$153.80 
107,$155.10 
108,$156.40 
109,$158.00 
110,$159.50 
111,$160.90 
112,$162.20 
113,$163.50 
114,$164.90 
115,$166.20 
116,$167.80 
117,$169.10 
118,$170.40 
119,$171.80 
120,$173.10 
121,$174.60 
122,$176.10 
123,$177.40 
124,$179.00 
125,$180.40 
126,$181.90 
127,$183.30 
128,$184.80 
129,$186.20 
130,$187.50 
131,$189.00 
132,$190.50 
133,$191.80 
134,$193.40 
135,$195.00 
136,$196.60 
137,$198.20 
138,$199.80 
139,$201.20 
140,$202.70 
141,$204.10 
142,$205.40 
143,$206.70 
144,$208.10 
145,$209.40 
146,$211.00 
147,$212.60 
148,$214.20 
149,$215.80 
150,$217.40 
Multiplier,$1.46 
