UPS 2nd Day Air A.M.® -- Origin Alaska,
Daily Rates,
"EFFECTIVE JANUARY 3, 2005",
Rates do not include a fuel surcharge.,

Weight Not To Exceed,Zone 18

Letter,$10.60 
1,$11.30 
2,$13.20 
3,$15.00 
4,$17.00 
5,$19.00 
6,$21.10 
7,$23.20 
8,$25.30 
9,$27.50 
10,$29.60 
11,$31.50 
12,$33.20 
13,$35.00 
14,$36.60 
15,$38.10 
16,$39.60 
17,$40.80 
18,$42.10 
19,$43.50 
20,$44.80 
21,$46.20 
22,$47.20 
23,$48.30 
24,$49.40 
25,$50.30 
26,$51.40 
27,$52.70 
28,$53.90 
29,$55.20 
30,$56.50 
31,$57.80 
32,$58.90 
33,$60.30 
34,$61.60 
35,$62.70 
36,$64.00 
37,$65.40 
38,$67.00 
39,$68.60 
40,$70.00 
41,$71.60 
42,$73.10 
43,$74.50 
44,$75.80 
45,$77.20 
46,$78.50 
47,$79.90 
48,$81.20 
49,$82.30 
50,$83.70 
51,$85.10 
52,$86.40 
53,$87.90 
54,$89.20 
55,$90.70 
56,$92.10 
57,$93.60 
58,$95.00 
59,$96.30 
60,$97.80 
61,$99.30 
62,$100.80 
63,$102.40 
64,$104.00 
65,$105.50 
66,$107.00 
67,$108.40 
68,$109.70 
69,$111.20 
70,$112.70 
71,$114.40 
72,$116.10 
73,$117.90 
74,$119.60 
75,$121.20 
76,$122.80 
77,$124.60 
78,$126.10 
79,$127.80 
80,$129.30 
81,$130.80 
82,$132.40 
83,$133.70 
84,$135.00 
85,$136.60 
86,$138.00 
87,$139.60 
88,$141.00 
89,$142.60 
90,$144.10 
91,$145.70 
92,$147.30 
93,$148.90 
94,$150.30 
95,$151.50 
96,$152.80 
97,$154.30 
98,$155.60 
99,$157.10 
100,$158.30 
101,$159.80 
102,$161.40 
103,$162.90 
104,$164.50 
105,$166.00 
106,$167.70 
107,$169.20 
108,$170.50 
109,$172.10 
110,$173.80 
111,$175.60 
112,$177.20 
113,$178.80 
114,$180.10 
115,$181.70 
116,$183.30 
117,$184.90 
118,$186.50 
119,$188.00 
120,$189.50 
121,$191.00 
122,$192.60 
123,$194.20 
124,$195.80 
125,$197.40 
126,$198.70 
127,$200.30 
128,$201.80 
129,$203.30 
130,$204.80 
131,$206.30 
132,$207.90 
133,$209.40 
134,$211.10 
135,$212.70 
136,$214.50 
137,$216.00 
138,$217.30 
139,$218.90 
140,$220.40 
141,$222.10 
142,$223.60 
143,$225.20 
144,$226.70 
145,$228.00 
146,$229.80 
147,$231.50 
148,$233.20 
149,$234.90 
150,$236.80 
Multiplier,$1.59 
