UPS Next Day Air Early A.M.® -- Origin Alaska,,
Daily Rates,,
"EFFECTIVE JANUARY 2, 2006",,
Rates do not include a fuel surcharge.,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,

Weight Not To Exceed,Zone 22,Zone 24

Letter,$43.75 ,$45.75 
1,$49.50 ,$55.75 
2,$52.25 ,$58.50 
3,$54.75 ,$61.00 
4,$56.75 ,$64.00 
5,$58.75 ,$66.50 
6,$60.75 ,$69.25 
7,$63.00 ,$71.75 
8,$65.25 ,$74.25 
9,$67.00 ,$76.50 
10,$69.00 ,$79.00 
11,$71.00 ,$81.25 
12,$73.00 ,$83.50 
13,$75.00 ,$85.75 
14,$76.75 ,$88.25 
15,$79.00 ,$90.50 
16,$80.75 ,$92.75 
17,$82.50 ,$94.50 
18,$84.00 ,$96.25 
19,$85.25 ,$98.25 
20,$86.75 ,$100.25 
21,$88.50 ,$102.25 
22,$90.25 ,$104.00 
23,$92.00 ,$105.50 
24,$93.75 ,$107.25 
25,$95.00 ,$108.75 
26,$96.50 ,$110.75 
27,$98.00 ,$112.75 
28,$99.25 ,$114.50 
29,$101.00 ,$116.75 
30,$102.50 ,$118.75 
31,$104.00 ,$121.25 
32,$105.50 ,$123.00 
33,$107.00 ,$124.75 
34,$108.75 ,$127.00 
35,$110.25 ,$129.25 
36,$112.00 ,$131.75 
37,$113.50 ,$133.75 
38,$114.75 ,$136.00 
39,$116.50 ,$138.50 
40,$118.00 ,$141.00 
41,$120.00 ,$143.00 
42,$121.75 ,$145.25 
43,$123.25 ,$146.75 
44,$124.75 ,$148.25 
45,$127.00 ,$150.25 
46,$128.75 ,$152.00 
47,$130.50 ,$153.50 
48,$132.00 ,$154.75 
49,$133.50 ,$156.75 
50,$135.50 ,$158.75 
51,$137.25 ,$160.75 
52,$139.00 ,$162.75 
53,$140.75 ,$165.75 
54,$142.25 ,$168.75 
55,$144.00 ,$171.50 
56,$146.00 ,$174.75 
57,$147.75 ,$178.25 
58,$149.75 ,$180.75 
59,$151.50 ,$183.50 
60,$153.50 ,$186.25 
61,$155.50 ,$189.25 
62,$157.75 ,$192.25 
63,$160.50 ,$195.25 
64,$162.75 ,$198.00 
65,$165.00 ,$200.50 
66,$167.25 ,$203.75 
67,$169.75 ,$207.00 
68,$172.00 ,$209.75 
69,$174.50 ,$212.50 
70,$177.00 ,$215.50 
71,$179.50 ,$218.25 
72,$181.50 ,$221.25 
73,$184.00 ,$224.00 
74,$186.25 ,$227.00 
75,$188.75 ,$230.00 
76,$191.25 ,$232.75 
77,$193.75 ,$235.75 
78,$196.00 ,$238.25 
79,$198.50 ,$241.00 
80,$201.00 ,$244.25 
81,$203.00 ,$246.75 
82,$205.75 ,$249.50 
83,$208.00 ,$252.25 
84,$210.50 ,$255.00 
85,$212.75 ,$257.75 
86,$215.25 ,$260.50 
87,$217.25 ,$263.50 
88,$219.25 ,$266.00 
89,$221.50 ,$269.00 
90,$224.00 ,$272.25 
91,$226.75 ,$275.00 
92,$229.00 ,$277.75 
93,$231.50 ,$280.25 
94,$233.75 ,$283.25 
95,$236.25 ,$286.25 
96,$238.50 ,$289.00 
97,$240.75 ,$292.00 
98,$243.00 ,$294.50 
99,$245.50 ,$297.25 
100,$248.25 ,$299.50 
101,$250.50 ,$302.25 
102,$253.00 ,$304.50 
103,$255.00 ,$307.00 
104,$257.25 ,$309.75 
105,$259.75 ,$312.25 
106,$262.50 ,$315.00 
107,$264.75 ,$317.25 
108,$267.25 ,$320.25 
109,$269.50 ,$322.75 
110,$272.25 ,$325.50 
111,$274.50 ,$328.50 
112,$277.00 ,$331.25 
113,$279.00 ,$334.25 
114,$281.75 ,$336.50 
115,$284.00 ,$339.50 
116,$286.25 ,$342.25 
117,$288.25 ,$345.00 
118,$291.00 ,$348.00 
119,$293.25 ,$350.50 
120,$295.75 ,$353.25 
121,$297.75 ,$356.00 
122,$300.25 ,$358.75 
123,$302.25 ,$361.00 
124,$304.50 ,$363.75 
125,$307.00 ,$367.00 
126,$309.75 ,$369.50 
127,$312.00 ,$372.00 
128,$314.00 ,$374.25 
129,$316.00 ,$377.25 
130,$317.75 ,$379.75 
131,$320.25 ,$382.50 
132,$322.25 ,$385.50 
133,$324.50 ,$388.00 
134,$326.25 ,$391.00 
135,$328.50 ,$393.50 
136,$330.50 ,$396.25 
137,$332.50 ,$398.75 
138,$334.75 ,$401.75 
139,$336.75 ,$404.50 
140,$339.00 ,$406.75 
141,$341.00 ,$409.50 
142,$343.25 ,$412.00 
143,$345.25 ,$415.00 
144,$347.50 ,$417.50 
145,$349.50 ,$420.50 
146,$351.50 ,$423.25 
147,$353.75 ,$426.00 
148,$355.75 ,$429.00 
149,$358.00 ,$431.75 
150,$360.00 ,$434.75 
Multiplier,$2.22 ,$2.72 
