UPS Worldwide Express to Canada,,
"EFFECTIVE JANUARY 6, 2003",,
Rates do not include a fuel surcharge.,,

Weight Not To Exceed,Zone 81,Zone 82

Letter,22.75,23.5
1,37,38
2,41.25,43.5
3,45.25,48.75
4,48.75,53.25
5,52,57.25
6,55.25,61.25
7,58.25,65
8,61,68.25
9,63.75,71.5
10,66.5,75
11,69.25,78.5
12,72.25,81.75
13,75.25,85
14,78.25,88.25
15,81.25,91.5
16,84.25,95.25
17,87.25,99
18,90.25,102.75
19,93.25,106.25
20,96.25,109.5
21,99.25,112.5
22,102,115.5
23,104.75,118.5
24,107.5,121.5
25,110.25,124.25
26,113,127
27,115.75,129.5
28,118.5,132
29,121,134.5
30,123.25,137
31,125.5,139.5
32,127.75,142
33,130,144.5
34,132.25,147
35,134.5,149.5
36,137,152
37,139.5,154.5
38,142,156.75
39,144.5,158.75
40,147,160.75
41,149.25,162.75
42,151.5,164.75
43,153.75,166.75
44,156,168.75
45,158.25,170.75
46,160.5,172.5
47,162.75,174.25
48,165,176
49,167.25,177.75
50,169.5,179.5
52,173.5,183.25
54,177.5,187
56,181.5,190.75
58,185.5,194.5
60,189.5,198.25
62,193.5,202
64,197.5,205.75
66,201.5,209.25
68,205.5,212.75
70,209.5,216.25
72,213.25,219.75
74,217,223.25
76,220.75,226.75
78,224.5,230.25
80,228.25,233.75
82,232,237.25
84,235.75,241
86,239.25,244.75
88,242.75,248.5
90,246.25,252.25
92,249.5,256
94,252.75,259.75
96,256,263.5
98,259.25,267.25
100,262.5,271
105,274,284.5
110,285.5,298
115,297,311.5
120,308.5,325
125,320,338.5
130,331.5,352
135,343,365.5
140,354.5,379
145,366,392.5
150,377.5,406
Per Pd.,2.52,2.72
Min,377.5,406





UPS Worldwide ExpressSM Box to Canada,,
UPS 10 KG Box and UPS 25 KG Box,,
"EFFECTIVE JANUARY 6, 2003",,

Weight Not To Exceed,Zone 81,Zone 82


10kg (22 lbs),86.75,86.75
25Kg (55lbs),153.5,153.5
