UPS Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed, Zone 2 , Zone 3 , Zone 4 , Zone 5 , Zone 6 , Zone 7 , Zone 8,Zone 44,Zone 45,Zone 46


1,$5.12 ,$5.21 ,$5.32 ,$5.48 ,$5.69 ,$5.75 ,$5.86 ,$15.07 ,$15.07 ,$26.08 
2,$5.17 ,$5.39 ,$5.77 ,$5.84 ,$6.17 ,$6.28 ,$6.57 ,$16.65 ,$16.65 ,$27.56 
3,$5.20 ,$5.57 ,$5.99 ,$6.14 ,$6.48 ,$6.65 ,$7.12 ,$18.05 ,$18.05 ,$28.96 
4,$5.38 ,$5.72 ,$6.24 ,$6.43 ,$6.78 ,$6.95 ,$7.48 ,$19.53 ,$19.53 ,$30.54 
5,$5.56 ,$5.79 ,$6.47 ,$6.67 ,$7.02 ,$7.25 ,$7.85 ,$21.28 ,$21.28 ,$32.29 
6,$5.64 ,$5.99 ,$6.57 ,$6.85 ,$7.21 ,$7.49 ,$8.09 ,$23.03 ,$23.03 ,$33.95 
7,$5.88 ,$6.12 ,$6.70 ,$7.03 ,$7.43 ,$7.73 ,$8.38 ,$24.60 ,$24.60 ,$35.52 
8,$6.04 ,$6.27 ,$6.83 ,$7.17 ,$7.63 ,$8.03 ,$8.86 ,$26.27 ,$26.27 ,$37.10 
9,$6.19 ,$6.42 ,$6.95 ,$7.31 ,$7.79 ,$8.38 ,$9.34 ,$28.10 ,$28.10 ,$38.85 
10,$6.35 ,$6.45 ,$7.08 ,$7.47 ,$8.05 ,$8.87 ,$9.88 ,$29.77 ,$29.77 ,$40.51 
11,$6.51 ,$6.69 ,$7.19 ,$7.64 ,$8.33 ,$9.40 ,$10.47 ,$31.52 ,$31.52 ,$42.17 
12,$6.66 ,$6.86 ,$7.31 ,$7.80 ,$8.64 ,$9.93 ,$11.14 ,$33.00 ,$33.00 ,$43.92 
13,$6.83 ,$7.03 ,$7.42 ,$7.94 ,$8.99 ,$10.46 ,$11.78 ,$34.40 ,$34.40 ,$45.32 
14,$6.94 ,$7.20 ,$7.53 ,$8.09 ,$9.40 ,$10.99 ,$12.43 ,$35.89 ,$35.89 ,$46.72 
15,$7.08 ,$7.39 ,$7.64 ,$8.24 ,$9.82 ,$11.53 ,$13.07 ,$37.29 ,$37.29 ,$48.12 
16,$7.15 ,$7.54 ,$7.78 ,$8.44 ,$10.21 ,$12.03 ,$13.68 ,$38.95 ,$38.95 ,$49.61 
17,$7.24 ,$7.74 ,$7.97 ,$8.72 ,$10.65 ,$12.54 ,$14.32 ,$40.52 ,$40.52 ,$51.18 
18,$7.34 ,$7.94 ,$8.19 ,$9.08 ,$11.08 ,$13.05 ,$14.97 ,$42.27 ,$42.27 ,$52.93 
19,$7.48 ,$8.16 ,$8.44 ,$9.43 ,$11.52 ,$13.56 ,$15.63 ,$43.94 ,$43.94 ,$54.59 
20,$7.61 ,$8.38 ,$8.68 ,$9.80 ,$11.96 ,$14.07 ,$16.28 ,$45.51 ,$45.51 ,$56.17 
