UPS 2nd Day Air® -- Origin Hawaii,,
Daily Rates,,
"EFFECTIVE JANUARY 2, 2006",,
Rates do not include a fuel surcharge.,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,

Weight Not To Exceed,Zone 14,Zone 16

Letter,$10.00 ,$17.80 
1,$11.30 ,$23.50 
2,$13.00 ,$25.30 
3,$14.80 ,$27.00 
4,$16.50 ,$28.50 
5,$18.50 ,$30.50 
6,$20.50 ,$32.80 
7,$22.50 ,$34.30 
8,$24.50 ,$36.80 
9,$26.50 ,$38.80 
10,$28.50 ,$40.80 
11,$30.50 ,$42.80 
12,$32.50 ,$44.50 
13,$34.00 ,$46.00 
14,$35.80 ,$47.50 
15,$37.30 ,$49.00 
16,$38.80 ,$50.30 
17,$40.00 ,$51.80 
18,$41.30 ,$53.00 
19,$42.30 ,$54.00 
20,$43.50 ,$55.30 
21,$44.50 ,$56.30 
22,$45.80 ,$57.50 
23,$47.00 ,$59.00 
24,$48.30 ,$60.30 
25,$49.80 ,$61.50 
26,$51.00 ,$63.00 
27,$52.50 ,$64.30 
28,$54.00 ,$65.80 
29,$55.50 ,$67.30 
30,$57.00 ,$68.80 
31,$58.50 ,$70.30 
32,$60.00 ,$71.80 
33,$61.30 ,$73.30 
34,$62.80 ,$74.80 
35,$64.30 ,$76.00 
36,$65.80 ,$77.50 
37,$67.30 ,$78.80 
38,$68.80 ,$80.30 
39,$70.30 ,$81.50 
40,$71.80 ,$83.00 
41,$73.00 ,$84.50 
42,$74.30 ,$85.80 
43,$75.30 ,$87.00 
44,$76.50 ,$88.30 
45,$77.80 ,$89.50 
46,$79.30 ,$91.00 
47,$80.80 ,$92.30 
48,$82.30 ,$93.80 
49,$83.80 ,$95.30 
50,$85.00 ,$96.50 
51,$86.30 ,$97.80 
52,$87.50 ,$99.00 
53,$88.80 ,$100.30 
54,$89.80 ,$101.30 
55,$91.00 ,$102.50 
56,$92.30 ,$103.80 
57,$93.50 ,$105.00 
58,$94.80 ,$106.00 
59,$95.80 ,$107.30 
60,$97.30 ,$108.50 
61,$98.80 ,$110.00 
62,$100.00 ,$111.50 
63,$101.50 ,$113.00 
64,$102.80 ,$114.30 
65,$103.80 ,$115.50 
66,$105.00 ,$116.50 
67,$106.30 ,$118.00 
68,$107.80 ,$119.30 
69,$109.00 ,$120.80 
70,$110.50 ,$122.00 
71,$111.80 ,$123.50 
72,$113.30 ,$125.00 
73,$114.50 ,$126.30 
74,$115.50 ,$127.50 
75,$116.80 ,$128.80 
76,$118.30 ,$130.30 
77,$119.50 ,$131.50 
78,$121.30 ,$133.00 
79,$122.80 ,$134.50 
80,$124.00 ,$136.00 
81,$125.80 ,$137.50 
82,$126.80 ,$139.00 
83,$128.50 ,$140.50 
84,$130.00 ,$141.80 
85,$131.30 ,$143.30 
86,$132.50 ,$144.80 
87,$134.30 ,$146.00 
88,$136.00 ,$147.80 
89,$137.30 ,$149.00 
90,$138.80 ,$150.80 
91,$140.30 ,$152.50 
92,$141.50 ,$154.30 
93,$143.00 ,$156.00 
94,$144.80 ,$157.30 
95,$146.00 ,$158.80 
96,$147.30 ,$160.00 
97,$148.50 ,$161.30 
98,$150.30 ,$162.50 
99,$151.80 ,$164.00 
100,$153.00 ,$165.00 
101,$154.50 ,$166.50 
102,$156.00 ,$168.00 
103,$157.50 ,$169.50 
104,$158.80 ,$170.80 
105,$160.30 ,$172.00 
106,$161.80 ,$173.50 
107,$163.30 ,$174.80 
108,$164.80 ,$176.30 
109,$166.50 ,$177.80 
110,$168.30 ,$179.50 
111,$169.80 ,$181.30 
112,$171.00 ,$182.80 
113,$172.50 ,$184.30 
114,$174.00 ,$185.80 
115,$175.50 ,$187.00 
116,$177.00 ,$188.80 
117,$178.80 ,$190.50 
118,$180.30 ,$191.80 
119,$181.80 ,$193.30 
120,$183.00 ,$194.50 
121,$184.50 ,$196.00 
122,$186.00 ,$197.50 
123,$187.80 ,$199.30 
124,$189.30 ,$200.80 
125,$190.80 ,$202.30 
126,$192.30 ,$203.80 
127,$193.80 ,$205.30 
128,$195.30 ,$206.80 
129,$196.80 ,$208.30 
130,$198.30 ,$209.80 
131,$199.50 ,$211.30 
132,$201.30 ,$212.80 
133,$202.50 ,$214.50 
134,$204.30 ,$216.30 
135,$206.00 ,$218.00 
136,$207.50 ,$219.80 
137,$209.00 ,$221.30 
138,$210.30 ,$222.50 
139,$211.80 ,$224.00 
140,$213.50 ,$225.80 
141,$215.00 ,$227.30 
142,$216.80 ,$228.80 
143,$218.30 ,$230.30 
144,$219.80 ,$231.80 
145,$221.00 ,$233.30 
146,$222.80 ,$234.80 
147,$224.50 ,$236.30 
148,$226.00 ,$238.00 
149,$227.50 ,$239.50 
150,$229.00 ,$241.30 
Multiplier,$1.54 ,$1.62 
