UPS Air Hundredweight Service - Hawaii Origin,,,
Rates per pound,,,
"EFFECTIVE JANUARY 3, 2005",,,
Rates do not include a fuel surcharge.,,,
,,,
,,Zone 14,Zone 16
,100 to 499lbs.,$2.09,$2.31
,500 to 999lbs.,$2.02,$2.23
,1000lbs. or more,$2.05,$2.26
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,,,,,,




,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
