Hawaii -- 48 State Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11

1,$6.85 ,$6.91 ,$6.96 ,$7.02 ,$7.07 ,$7.12 ,$7.17 ,$10.33 ,$17.49 ,$10.60 
2,$7.29 ,$7.34 ,$7.40 ,$7.45 ,$7.50 ,$7.55 ,$7.61 ,$11.73 ,$20.02 ,$12.00 
3,$8.20 ,$8.32 ,$8.48 ,$8.53 ,$8.58 ,$8.63 ,$8.74 ,$13.22 ,$22.71 ,$13.40 
4,$9.12 ,$9.28 ,$9.51 ,$9.61 ,$9.66 ,$9.72 ,$9.89 ,$14.62 ,$24.56 ,$14.79 
5,$10.10 ,$10.31 ,$10.53 ,$10.75 ,$10.80 ,$10.85 ,$11.02 ,$16.19 ,$26.08 ,$16.37 
6,$11.13 ,$11.39 ,$11.62 ,$11.83 ,$11.93 ,$12.04 ,$12.21 ,$17.86 ,$27.78 ,$18.03 
7,$12.21 ,$12.53 ,$12.70 ,$12.91 ,$13.07 ,$13.18 ,$13.40 ,$19.52 ,$29.30 ,$19.69 
8,$13.34 ,$13.67 ,$13.78 ,$14.04 ,$14.20 ,$14.37 ,$14.59 ,$21.00 ,$31.00 ,$21.27 
9,$14.48 ,$14.75 ,$14.91 ,$15.18 ,$15.35 ,$15.56 ,$15.77 ,$22.67 ,$32.52 ,$22.93 
10,$15.56 ,$15.83 ,$16.00 ,$16.31 ,$16.53 ,$16.70 ,$16.97 ,$24.24 ,$34.22 ,$24.59 
11,$16.59 ,$16.85 ,$17.08 ,$17.40 ,$17.67 ,$17.78 ,$18.11 ,$25.82 ,$35.74 ,$26.17 
12,$17.61 ,$17.83 ,$18.16 ,$18.43 ,$18.75 ,$18.81 ,$19.24 ,$27.30 ,$37.18 ,$27.65 
