Next Day Air Early A.M. -- Origin Hawaii,,
Daily Rates,,
"EFFECTIVE JANUARY 2, 2006",,
Rates do not include a fuel surcharge.,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,

Weight Not To Exceed,Zone 142,Zone 144

Letter,$45.50 ,$45.50 
1,$55.75 ,$55.75 
2,$58.25 ,$58.25 
3,$61.25 ,$61.25 
4,$63.75 ,$63.75 
5,$66.50 ,$66.50 
6,$68.75 ,$68.75 
7,$71.50 ,$71.50 
8,$74.25 ,$74.25 
9,$76.50 ,$76.50 
10,$79.25 ,$79.25 
11,$81.50 ,$81.50 
12,$83.75 ,$83.75 
13,$85.75 ,$85.75 
14,$87.75 ,$87.75 
15,$90.25 ,$90.25 
16,$92.50 ,$92.50 
17,$94.50 ,$94.50 
18,$96.25 ,$96.25 
19,$98.25 ,$98.25 
20,$100.25 ,$100.25 
21,$102.00 ,$102.00 
22,$104.00 ,$104.00 
23,$105.50 ,$105.50 
24,$107.25 ,$107.25 
25,$108.75 ,$108.75 
26,$110.75 ,$110.75 
27,$112.75 ,$112.75 
28,$114.50 ,$114.50 
29,$116.25 ,$116.25 
30,$118.50 ,$118.50 
31,$120.75 ,$120.75 
32,$123.00 ,$123.00 
33,$125.00 ,$125.00 
34,$127.25 ,$127.25 
35,$129.50 ,$129.50 
36,$131.75 ,$131.75 
37,$133.75 ,$133.75 
38,$136.25 ,$136.25 
39,$138.50 ,$138.50 
40,$140.75 ,$140.75 
41,$142.75 ,$142.75 
42,$144.75 ,$144.75 
43,$146.25 ,$146.25 
44,$148.00 ,$148.00 
45,$150.00 ,$150.00 
46,$152.75 ,$152.75 
47,$155.00 ,$155.00 
48,$157.25 ,$157.25 
49,$159.25 ,$159.25 
50,$161.50 ,$161.50 
51,$163.75 ,$163.75 
52,$166.25 ,$166.25 
53,$168.50 ,$168.50 
54,$171.00 ,$171.00 
55,$173.00 ,$173.00 
56,$175.50 ,$175.50 
57,$178.25 ,$178.25 
58,$181.00 ,$181.00 
59,$183.75 ,$183.75 
60,$186.50 ,$186.50 
61,$189.25 ,$189.25 
62,$192.00 ,$192.00 
63,$195.25 ,$195.25 
64,$198.25 ,$198.25 
65,$201.00 ,$201.00 
66,$204.00 ,$204.00 
67,$206.75 ,$206.75 
68,$209.75 ,$209.75 
69,$212.75 ,$212.75 
70,$215.50 ,$215.50 
71,$218.25 ,$218.25 
72,$220.75 ,$220.75 
73,$223.75 ,$223.75 
74,$227.00 ,$227.00 
75,$230.00 ,$230.00 
76,$232.75 ,$232.75 
77,$235.50 ,$235.50 
78,$238.25 ,$238.25 
79,$241.00 ,$241.00 
80,$244.00 ,$244.00 
81,$246.75 ,$246.75 
82,$249.50 ,$249.50 
83,$252.50 ,$252.50 
84,$255.25 ,$255.25 
85,$258.00 ,$258.00 
86,$260.75 ,$260.75 
87,$263.50 ,$263.50 
88,$266.00 ,$266.00 
89,$268.75 ,$268.75 
90,$272.00 ,$272.00 
91,$275.00 ,$275.00 
92,$277.75 ,$277.75 
93,$280.50 ,$280.50 
94,$283.50 ,$283.50 
95,$286.25 ,$286.25 
96,$289.25 ,$289.25 
97,$292.00 ,$292.00 
98,$294.75 ,$294.75 
99,$297.00 ,$297.00 
100,$299.50 ,$299.50 
101,$302.00 ,$302.00 
102,$304.50 ,$304.50 
103,$306.75 ,$306.75 
104,$309.50 ,$309.50 
105,$312.25 ,$312.25 
106,$314.75 ,$314.75 
107,$317.25 ,$317.25 
108,$320.00 ,$320.00 
109,$322.75 ,$322.75 
110,$325.50 ,$325.50 
111,$328.50 ,$328.50 
112,$331.50 ,$331.50 
113,$334.00 ,$334.00 
114,$336.50 ,$336.50 
115,$339.25 ,$339.25 
116,$342.00 ,$342.00 
117,$344.50 ,$344.50 
118,$347.50 ,$347.50 
119,$350.25 ,$350.25 
120,$352.75 ,$352.75 
121,$355.50 ,$355.50 
122,$358.00 ,$358.00 
123,$360.50 ,$360.50 
124,$363.25 ,$363.25 
125,$366.50 ,$366.50 
126,$369.50 ,$369.50 
127,$372.00 ,$372.00 
128,$374.50 ,$374.50 
129,$377.25 ,$377.25 
130,$380.00 ,$380.00 
131,$382.25 ,$382.25 
132,$385.25 ,$385.25 
133,$387.75 ,$387.75 
134,$390.50 ,$390.50 
135,$393.25 ,$393.25 
136,$395.75 ,$395.75 
137,$398.50 ,$398.50 
138,$401.00 ,$401.00 
139,$404.00 ,$404.00 
140,$406.75 ,$406.75 
141,$409.50 ,$409.50 
142,$411.75 ,$411.75 
143,$414.75 ,$414.75 
144,$417.50 ,$417.50 
145,$420.25 ,$420.25 
146,$423.25 ,$423.25 
147,$426.00 ,$426.00 
148,$428.75 ,$428.75 
149,$431.50 ,$431.50 
150,$434.50 ,$434.50 
Multiplier,$2.72 ,$2.72 
