Intra-Oahu Ground Residential,,
Daily Rates,,
"EFFECTIVE JANUARY 2, 2006",,
Rates do not include a fuel surcharge.,,

Weight Not To Exceed,Zone 1,Zone 2

1,$5.13 ,$6.63 
2,$5.23 ,$6.74 
3,$5.31 ,$6.87 
4,$5.38 ,$6.99 
5,$5.47 ,$7.10 
6,$5.55 ,$7.19 
7,$5.61 ,$7.30 
8,$5.67 ,$7.37 
9,$5.73 ,$7.43 
10,$5.79 ,$7.48 
11,$5.84 ,$7.53 
12,$5.90 ,$7.58 
13,$5.95 ,$7.63 
14,$6.00 ,$7.68 
15,$6.04 ,$7.72 
16,$6.08 ,$7.76 
17,$6.12 ,$7.80 
18,$6.17 ,$7.85 
19,$6.22 ,$7.89 
20,$6.27 ,$7.93 
21,$6.31 ,$7.98 
22,$6.35 ,$8.03 
23,$6.39 ,$8.07 
24,$6.44 ,$8.12 
25,$6.48 ,$8.16 
26,$6.54 ,$8.20 
27,$6.59 ,$8.24 
28,$6.63 ,$8.28 
29,$6.67 ,$8.33 
30,$6.71 ,$8.39 
31,$6.76 ,$8.43 
32,$6.81 ,$8.47 
33,$6.85 ,$8.51 
34,$6.90 ,$8.55 
35,$6.96 ,$8.59 
36,$7.00 ,$8.64 
37,$7.05 ,$8.69 
38,$7.10 ,$8.74 
39,$7.14 ,$8.78 
40,$7.18 ,$8.83 
41,$7.24 ,$8.90 
42,$7.31 ,$8.97 
43,$7.37 ,$9.07 
44,$7.44 ,$9.17 
45,$7.51 ,$9.27 
46,$7.61 ,$9.38 
47,$7.70 ,$9.52 
48,$7.79 ,$9.64 
49,$7.90 ,$9.80 
50,$8.02 ,$9.94 
51,$8.13 ,$10.07 
52,$8.23 ,$10.24 
53,$8.37 ,$10.38 
54,$8.48 ,$10.54 
55,$8.59 ,$10.67 
56,$8.73 ,$10.81 
57,$8.83 ,$10.97 
58,$8.95 ,$11.12 
59,$9.08 ,$11.29 
60,$9.19 ,$11.44 
61,$9.30 ,$11.61 
62,$9.44 ,$11.75 
63,$9.54 ,$11.92 
64,$9.65 ,$12.08 
65,$9.78 ,$12.22 
66,$9.89 ,$12.40 
67,$10.01 ,$12.54 
68,$10.11 ,$12.72 
69,$10.25 ,$12.88 
70,$10.36 ,$13.05 
71,$15.43 ,$18.01 
72,$18.75 ,$21.98 
73,$22.05 ,$25.29 
74,$25.36 ,$28.59 
75,$26.46 ,$30.26 
76,$27.30 ,$31.08 
77,$28.07 ,$31.64 
78,$28.79 ,$32.18 
79,$29.46 ,$32.74 
80,$30.06 ,$33.29 
81,$30.61 ,$33.84 
82,$31.16 ,$34.34 
83,$31.71 ,$34.83 
84,$32.26 ,$35.28 
85,$32.81 ,$35.71 
86,$33.31 ,$36.11 
87,$33.75 ,$36.49 
88,$34.13 ,$36.88 
89,$34.53 ,$37.26 
90,$34.91 ,$37.65 
91,$35.30 ,$38.03 
92,$35.68 ,$38.41 
93,$36.07 ,$38.80 
94,$36.45 ,$39.18 
95,$36.85 ,$39.57 
96,$37.23 ,$39.95 
97,$37.56 ,$40.35 
98,$37.89 ,$40.74 
99,$38.22 ,$41.13 
100,$38.55 ,$41.51 
101,$38.87 ,$41.90 
102,$39.20 ,$42.28 
103,$39.54 ,$42.67 
104,$39.87 ,$43.05 
105,$40.20 ,$43.43 
106,$40.54 ,$43.82 
107,$40.87 ,$44.20 
108,$41.20 ,$44.59 
109,$41.53 ,$44.97 
110,$41.87 ,$45.37 
111,$42.20 ,$45.75 
112,$42.53 ,$46.14 
113,$42.84 ,$46.53 
114,$43.18 ,$46.92 
115,$43.51 ,$47.30 
116,$43.84 ,$47.69 
117,$44.17 ,$48.07 
118,$44.51 ,$48.46 
119,$44.84 ,$48.84 
120,$45.17 ,$49.22 
121,$45.56 ,$49.61 
122,$45.94 ,$50.00 
123,$46.32 ,$50.39 
124,$46.71 ,$50.77 
125,$47.09 ,$51.16 
126,$47.48 ,$51.54 
127,$47.87 ,$51.93 
128,$48.26 ,$52.31 
129,$48.64 ,$52.70 
130,$49.03 ,$53.09 
131,$49.41 ,$53.48 
132,$49.81 ,$53.86 
133,$50.19 ,$54.24 
134,$50.58 ,$54.64 
135,$50.96 ,$55.02 
136,$51.34 ,$55.41 
137,$51.73 ,$55.79 
138,$52.12 ,$56.18 
139,$52.51 ,$56.56 
140,$52.89 ,$56.95 
141,$53.28 ,$57.33 
142,$53.66 ,$57.72 
143,$54.05 ,$58.10 
144,$54.43 ,$58.49 
145,$54.82 ,$58.88 
146,$55.20 ,$59.28 
147,$55.59 ,$59.66 
148,$55.97 ,$60.04 
149,$56.37 ,$60.43 
150,$56.76 ,$60.81 
