UPS Worldwide Expedited,,,,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,,,,

Weight Not To Exceed,Zone 71,Zone 72,Zone 74,Zone 601,Zone 602,Zone 603,Zone 604,Zone 605,Zone 606,Zone 607,Zone 608,Zone 609,Zone 610

1,$40.50 ,$41.75 ,$42.00 ,$46.25 ,$46.75 ,$55.00 ,$55.50 ,$46.25 ,$46.25 ,$55.50 ,$55.00 ,$58.50 ,$59.25 
2,$43.75 ,$46.25 ,$48.00 ,$55.75 ,$56.50 ,$62.50 ,$63.25 ,$56.25 ,$56.00 ,$64.00 ,$63.00 ,$75.00 ,$75.50 
3,$47.75 ,$51.25 ,$56.00 ,$64.50 ,$65.00 ,$71.25 ,$72.00 ,$65.25 ,$65.00 ,$72.50 ,$71.50 ,$91.25 ,$92.00 
4,$51.25 ,$56.25 ,$61.50 ,$73.00 ,$73.75 ,$80.25 ,$81.25 ,$74.00 ,$73.25 ,$81.50 ,$79.50 ,$107.75 ,$108.50 
5,$54.50 ,$61.50 ,$68.50 ,$81.50 ,$82.50 ,$89.00 ,$89.75 ,$82.25 ,$81.50 ,$90.25 ,$87.75 ,$124.00 ,$124.25 
6,$56.50 ,$64.50 ,$74.75 ,$88.75 ,$89.50 ,$97.25 ,$98.00 ,$90.00 ,$87.75 ,$98.50 ,$95.75 ,$139.75 ,$140.25 
7,$58.75 ,$67.25 ,$80.75 ,$94.00 ,$94.75 ,$104.50 ,$106.50 ,$96.00 ,$93.75 ,$105.50 ,$105.50 ,$154.50 ,$155.75 
8,$61.25 ,$70.50 ,$86.50 ,$99.00 ,$100.00 ,$112.00 ,$115.00 ,$100.50 ,$99.25 ,$112.75 ,$113.00 ,$167.75 ,$169.00 
9,$64.00 ,$73.00 ,$91.50 ,$104.00 ,$104.75 ,$120.25 ,$122.75 ,$105.50 ,$104.00 ,$121.50 ,$121.75 ,$180.00 ,$181.50 
10,$66.25 ,$75.75 ,$96.75 ,$108.50 ,$109.50 ,$126.00 ,$130.75 ,$110.00 ,$108.75 ,$128.00 ,$129.50 ,$193.25 ,$194.00 
11,$69.25 ,$78.25 ,$101.75 ,$113.25 ,$114.00 ,$132.25 ,$138.00 ,$115.00 ,$113.50 ,$134.25 ,$136.25 ,$205.50 ,$206.25 
12,$71.50 ,$81.00 ,$106.75 ,$118.00 ,$119.00 ,$137.25 ,$146.25 ,$119.75 ,$117.75 ,$140.25 ,$144.00 ,$217.50 ,$218.00 
13,$74.50 ,$83.50 ,$109.50 ,$123.00 ,$123.75 ,$142.50 ,$153.00 ,$124.75 ,$122.25 ,$145.75 ,$150.75 ,$229.25 ,$230.25 
14,$77.75 ,$86.00 ,$113.00 ,$128.00 ,$128.75 ,$148.00 ,$160.25 ,$129.75 ,$126.75 ,$151.25 ,$157.25 ,$240.25 ,$241.25 
15,$80.00 ,$89.00 ,$116.75 ,$133.00 ,$133.50 ,$153.25 ,$167.75 ,$134.75 ,$131.50 ,$156.25 ,$164.25 ,$251.75 ,$252.25 
16,$83.00 ,$91.00 ,$120.50 ,$137.25 ,$138.25 ,$159.50 ,$174.75 ,$139.25 ,$136.25 ,$161.75 ,$170.50 ,$261.75 ,$263.25 
17,$85.50 ,$93.25 ,$124.25 ,$141.50 ,$143.00 ,$165.00 ,$181.25 ,$143.50 ,$141.00 ,$167.25 ,$176.75 ,$271.25 ,$274.00 
18,$88.00 ,$95.50 ,$127.75 ,$145.50 ,$148.25 ,$170.25 ,$187.75 ,$147.75 ,$145.50 ,$172.75 ,$182.25 ,$280.75 ,$285.25 
19,$91.00 ,$98.00 ,$131.25 ,$150.25 ,$153.00 ,$175.25 ,$194.25 ,$151.75 ,$149.75 ,$177.75 ,$189.00 ,$291.00 ,$296.25 
20,$93.50 ,$100.50 ,$133.50 ,$154.75 ,$158.75 ,$179.75 ,$200.50 ,$156.25 ,$154.25 ,$182.50 ,$195.75 ,$300.50 ,$307.50 
21,$95.50 ,$102.75 ,$135.50 ,$159.00 ,$163.75 ,$184.25 ,$207.00 ,$160.00 ,$159.25 ,$187.25 ,$202.00 ,$310.00 ,$314.25 
22,$97.50 ,$105.00 ,$137.25 ,$163.00 ,$168.00 ,$188.75 ,$212.50 ,$164.75 ,$163.50 ,$192.00 ,$207.50 ,$320.00 ,$323.75 
23,$100.00 ,$107.00 ,$139.00 ,$167.00 ,$172.50 ,$193.25 ,$217.75 ,$169.00 ,$167.00 ,$197.00 ,$213.25 ,$329.00 ,$334.75 
24,$102.00 ,$109.25 ,$143.75 ,$171.50 ,$176.00 ,$197.50 ,$223.25 ,$174.00 ,$170.50 ,$201.75 ,$218.75 ,$338.25 ,$342.50 
25,$104.00 ,$111.75 ,$145.75 ,$175.50 ,$181.50 ,$202.25 ,$228.50 ,$178.25 ,$175.75 ,$206.50 ,$223.75 ,$347.25 ,$351.75 
26,$106.25 ,$114.75 ,$148.75 ,$180.25 ,$185.25 ,$206.50 ,$233.75 ,$181.25 ,$179.25 ,$210.75 ,$229.25 ,$356.50 ,$360.75 
27,$108.50 ,$118.00 ,$152.50 ,$184.00 ,$189.00 ,$210.75 ,$239.25 ,$184.75 ,$183.00 ,$215.00 ,$235.00 ,$365.50 ,$370.25 
28,$111.00 ,$118.75 ,$155.75 ,$187.75 ,$192.50 ,$214.75 ,$244.75 ,$188.75 ,$186.50 ,$219.25 ,$240.25 ,$373.50 ,$378.75 
29,$113.00 ,$121.50 ,$158.25 ,$191.50 ,$196.75 ,$219.00 ,$250.00 ,$192.50 ,$190.50 ,$223.50 ,$246.00 ,$383.25 ,$386.75 
30,$115.00 ,$124.00 ,$160.50 ,$195.25 ,$200.25 ,$223.00 ,$255.50 ,$196.00 ,$194.75 ,$228.00 ,$251.25 ,$391.00 ,$395.00 
31,$117.25 ,$126.50 ,$162.50 ,$199.25 ,$204.00 ,$227.00 ,$261.00 ,$199.75 ,$198.75 ,$232.25 ,$256.00 ,$398.00 ,$402.25 
32,$119.75 ,$129.25 ,$164.25 ,$204.00 ,$208.25 ,$231.25 ,$266.00 ,$204.50 ,$202.50 ,$236.25 ,$261.25 ,$406.25 ,$409.75 
33,$121.50 ,$131.75 ,$166.25 ,$207.25 ,$212.25 ,$235.25 ,$271.50 ,$207.25 ,$206.50 ,$240.75 ,$266.00 ,$413.75 ,$417.50 
34,$123.25 ,$134.25 ,$168.25 ,$210.75 ,$215.75 ,$239.50 ,$276.75 ,$211.00 ,$210.00 ,$244.75 ,$271.00 ,$420.75 ,$425.00 
35,$125.00 ,$136.50 ,$170.25 ,$216.00 ,$219.75 ,$243.50 ,$282.25 ,$216.75 ,$213.75 ,$249.25 ,$277.00 ,$428.00 ,$432.75 
36,$126.75 ,$138.75 ,$172.00 ,$219.50 ,$223.25 ,$247.75 ,$287.25 ,$220.00 ,$217.50 ,$253.50 ,$281.50 ,$435.00 ,$440.25 
37,$129.00 ,$141.50 ,$174.00 ,$222.75 ,$226.75 ,$251.50 ,$291.50 ,$223.75 ,$220.75 ,$257.50 ,$285.75 ,$442.00 ,$447.75 
38,$131.00 ,$144.00 ,$176.00 ,$226.25 ,$230.25 ,$255.75 ,$298.00 ,$227.25 ,$224.50 ,$262.00 ,$291.25 ,$449.00 ,$455.25 
39,$133.00 ,$146.75 ,$178.00 ,$229.25 ,$234.25 ,$259.75 ,$303.50 ,$230.50 ,$227.75 ,$266.00 ,$297.25 ,$456.00 ,$462.75 
40,$134.75 ,$148.75 ,$179.75 ,$232.50 ,$237.75 ,$263.75 ,$308.25 ,$234.25 ,$231.25 ,$270.75 ,$301.50 ,$463.00 ,$470.25 
41,$136.75 ,$151.00 ,$181.75 ,$236.75 ,$241.00 ,$268.00 ,$312.50 ,$238.50 ,$234.75 ,$273.50 ,$305.75 ,$470.25 ,$477.75 
42,$138.75 ,$153.25 ,$183.75 ,$239.75 ,$244.50 ,$272.00 ,$317.00 ,$241.50 ,$237.75 ,$275.25 ,$310.00 ,$477.25 ,$485.25 
43,$140.50 ,$156.00 ,$185.75 ,$243.25 ,$247.50 ,$276.25 ,$321.25 ,$245.00 ,$241.00 ,$277.75 ,$314.50 ,$484.25 ,$492.75 
44,$142.25 ,$158.25 ,$187.50 ,$246.25 ,$251.00 ,$280.25 ,$325.75 ,$248.25 ,$244.25 ,$282.00 ,$318.75 ,$491.25 ,$500.25 
45,$144.25 ,$160.50 ,$189.50 ,$249.75 ,$254.50 ,$284.50 ,$330.00 ,$251.50 ,$248.00 ,$286.50 ,$323.00 ,$498.25 ,$507.75 
46,$146.00 ,$162.50 ,$191.50 ,$253.00 ,$258.50 ,$288.50 ,$334.25 ,$255.00 ,$250.25 ,$290.75 ,$327.25 ,$505.50 ,$515.50 
47,$147.75 ,$164.75 ,$193.50 ,$256.00 ,$261.50 ,$292.75 ,$338.50 ,$258.25 ,$253.25 ,$294.50 ,$331.75 ,$512.50 ,$523.00 
48,$149.75 ,$167.00 ,$195.25 ,$259.50 ,$264.75 ,$296.75 ,$342.75 ,$261.50 ,$256.50 ,$298.25 ,$336.00 ,$519.50 ,$530.50 
49,$151.50 ,$169.00 ,$197.25 ,$262.75 ,$267.00 ,$301.00 ,$346.75 ,$264.75 ,$260.00 ,$302.00 ,$340.50 ,$526.75 ,$538.00 
50,$153.50 ,$171.25 ,$200.50 ,$266.25 ,$270.00 ,$304.75 ,$351.00 ,$268.50 ,$262.75 ,$306.50 ,$346.25 ,$533.50 ,$545.25 
52,$157.50 ,$175.75 ,$203.25 ,$271.50 ,$276.00 ,$308.75 ,$358.25 ,$271.75 ,$268.75 ,$314.25 ,$354.75 ,$543.00 ,$555.25 
54,$162.00 ,$179.50 ,$206.50 ,$277.25 ,$282.00 ,$313.00 ,$365.50 ,$277.75 ,$274.50 ,$319.00 ,$361.50 ,$552.25 ,$564.75 
56,$166.00 ,$183.75 ,$209.50 ,$282.25 ,$289.25 ,$316.75 ,$372.75 ,$283.50 ,$281.50 ,$323.00 ,$368.00 ,$561.50 ,$574.25 
58,$170.50 ,$187.75 ,$212.50 ,$287.25 ,$295.25 ,$320.75 ,$380.00 ,$289.50 ,$287.25 ,$326.75 ,$374.50 ,$571.00 ,$583.50 
60,$174.50 ,$191.50 ,$215.75 ,$291.25 ,$301.25 ,$326.00 ,$387.50 ,$295.25 ,$293.25 ,$332.50 ,$381.00 ,$580.50 ,$593.00 
62,$178.75 ,$194.75 ,$218.50 ,$295.50 ,$307.00 ,$329.25 ,$394.75 ,$301.25 ,$299.00 ,$339.50 ,$387.50 ,$583.50 ,$600.50 
64,$182.50 ,$198.50 ,$221.50 ,$299.25 ,$313.25 ,$332.75 ,$402.25 ,$307.25 ,$305.00 ,$346.25 ,$394.25 ,$587.00 ,$608.00 
