UPS Worldwide Express,,,,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,,,,

Weight Not To Exceed,Zone 80,Zone 81,Zone 82,Zone 84,Zone 900,Zone 901,Zone 902,Zone 903,Zone 904,Zone 905,Zone 906,Zone 907,Zone 908

Letter,$25.50 ,$24.00 ,$25.00 ,$25.50 ,$25.75 ,$32.00 ,$32.00 ,$36.00 ,$37.00 ,$37.25 ,$47.75 ,$74.50 ,$78.50 
1,$40.50 ,$40.00 ,$41.75 ,$40.50 ,$36.50 ,$47.50 ,$47.50 ,$56.25 ,$53.00 ,$53.75 ,$61.75 ,$89.00 ,$89.75 
2,$46.25 ,$44.50 ,$47.00 ,$46.25 ,$44.75 ,$55.50 ,$54.75 ,$65.75 ,$60.00 ,$60.50 ,$77.75 ,$105.50 ,$107.00 
3,$54.75 ,$50.00 ,$52.50 ,$54.75 ,$51.00 ,$65.25 ,$62.50 ,$74.50 ,$69.75 ,$70.25 ,$93.75 ,$123.25 ,$124.25 
4,$60.50 ,$54.25 ,$57.75 ,$60.50 ,$58.75 ,$74.25 ,$70.25 ,$82.50 ,$78.00 ,$78.00 ,$110.00 ,$139.50 ,$140.75 
5,$67.50 ,$57.25 ,$62.25 ,$67.50 ,$66.25 ,$82.75 ,$78.50 ,$90.75 ,$86.25 ,$86.25 ,$126.00 ,$155.75 ,$157.50 
6,$73.50 ,$59.50 ,$66.00 ,$73.50 ,$74.50 ,$88.25 ,$85.00 ,$98.50 ,$94.75 ,$94.75 ,$142.00 ,$168.75 ,$171.75 
7,$79.50 ,$61.50 ,$69.50 ,$79.50 ,$80.75 ,$93.25 ,$91.00 ,$105.50 ,$103.00 ,$103.00 ,$158.00 ,$183.25 ,$187.75 
8,$85.50 ,$64.50 ,$73.25 ,$85.50 ,$87.25 ,$98.75 ,$96.75 ,$111.75 ,$111.25 ,$111.25 ,$172.50 ,$197.50 ,$203.00 
