ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 157-01 to 157-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,3,303,203,243,133,103
006-007,-,-,225,-,-,125
8,-,-,[1],-,-,[1]
9,-,-,225,-,-,125
010-045,4,304,204,244,134,104
046-047,5,305,205,-,135,105
048-065,4,304,204,244,134,104
66,3,303,203,243,133,103
67,4,304,204,244,134,104
068-089,3,303,203,243,133,103
090-099,-,-,-,-,-,-
100-118,3,303,203,243,133,103
119,4,304,204,244,134,104
120-127,3,303,203,243,133,103
128-129,4,304,204,244,134,104
130-139,3,303,203,243,133,103
140-142,2,302,202,242,132,102
143-146,3,303,203,243,133,103
147-179,2,302,202,242,132,102
180-199,3,303,203,243,133,103
200-209,3,303,203,243,133,103
210-212,2,302,202,242,132,102
213,2,302,202,-,-,102
214,3,303,203,243,133,103
215,2,302,202,242,132,102
216,3,303,203,243,133,103
217,2,302,202,242,132,102
218-225,3,303,203,243,133,103
226,2,302,202,242,132,102
227-253,3,303,203,243,133,103
254,2,302,202,242,132,102
255-259,3,303,203,243,133,103
260-268,2,302,202,242,132,102
270-274,3,303,203,243,133,103
275-299,4,304,204,244,134,104
300-314,4,304,204,244,134,104
315-329,5,305,205,245,135,105
330-332,6,306,206,246,136,106
333-339,5,305,205,245,135,105
340,-,-,-,-,-,-
341-355,5,305,205,245,135,105
356-359,4,304,204,244,134,104
360-361,5,305,205,245,135,105
362,4,304,204,244,134,104
363-369,5,305,205,245,135,105
370-374,4,304,204,244,134,104
375,5,305,205,-,-,105
376-379,4,304,204,244,134,104
380-381,5,305,205,245,135,105
382-385,4,304,204,244,134,104
386-398,5,305,205,245,135,105
399,4,304,204,244,134,104
400-402,4,304,204,244,134,104
403-405,3,303,203,243,133,103
406-409,4,304,204,244,134,104
410-416,3,303,203,243,133,103
417-427,4,304,204,244,134,104
430-438,3,303,203,243,133,103
439-447,2,302,202,242,132,102
448-459,3,303,203,243,133,103
460-466,4,304,204,244,134,104
467-468,3,303,203,243,133,103
469,4,304,204,244,134,104
470,3,303,203,243,133,103
471-479,4,304,204,244,134,104
480-489,3,303,203,243,133,103
490-491,4,304,204,244,134,104
492,3,303,203,243,133,103
493-499,4,304,204,244,134,104
500-516,5,305,205,245,135,105
520,4,304,204,244,134,104
521-526,5,305,205,245,135,105
527-539,4,304,204,244,134,104
540,5,305,205,245,135,105
541-545,4,304,204,244,134,104
546-548,5,305,205,245,135,105
549,4,304,204,244,134,104
550-574,5,305,205,245,135,105
575-577,6,306,206,246,136,106
580-582,5,305,205,245,135,105
583-588,6,306,206,246,136,106
590-591,7,307,207,247,137,107
592-593,6,306,206,-,-,106
594-599,7,307,207,247,137,107
600-622,4,304,204,244,134,104
623,5,305,205,245,135,105
624-633,4,304,204,244,134,104
634-636,5,305,205,245,135,105
637,4,304,204,244,134,104
638-675,5,305,205,245,135,105
676-679,6,306,206,246,136,106
680-689,5,305,205,245,135,105
690-693,6,306,206,246,136,106
700-704,5,305,205,245,135,105
705-706,6,306,206,246,136,106
707-729,5,305,205,245,135,105
730-739,6,306,206,246,136,106
740-746,5,305,205,245,135,105
747-748,6,306,206,246,136,106
749,5,305,205,-,135,105
750-754,6,306,206,246,136,106
755,5,305,205,245,135,105
756-784,6,306,206,246,136,106
785,7,307,207,247,137,107
786-797,6,306,206,246,136,106
798-799,7,307,207,247,137,107
800-810,6,306,206,246,136,106
811-816,7,307,207,247,137,107
820,6,306,206,246,136,106
821,7,307,207,-,-,107
822,6,306,206,-,136,106
823-825,7,307,207,247,137,107
826-827,6,306,206,246,136,106
828-834,7,307,207,247,137,107
835-838,8,308,208,248,138,108
840-847,7,307,207,247,137,107
