Domestic Services,,
DOMESTIC ZONE CHARTS,,
Air Services Zone Chart,,
Determine the zone for your shipment from the chart below.,,

Zones for Air Service to Hawaii,,

Destination,Zones,
ZIP Codes,Next Day Air,2nd Day Air
96701,24,14
96703-05,26,-
96706-07,24,14
96708,26,-
96709,24,14
96710,26,-
96712,24,14
96713,26,-
96717,24,14
96718-22,26,-
96725-29,26,-
96730-31,24,14
96732-33,26,-
96734,24,14
96737-43,26,-
96744,24,14
96745-57,26,-
96759,24,14
96760-61,26,-
96762,24,14
96763-81,26,-
96782,24,14
96783-85,26,-
96786,24,14
96788,26,-
96789,24,14
96790,26,-
96791-92,24,14
96793,26,-
96795,24,14
96796,26,-
96797,24,14
96801-28,24,14
96830-34,24,14
96835-50,24,14
96853-54,24,14
96857-63,24,14

Service to destinations in Zone 26 may require one or more additional days. A dash (-) means service is not available.,,
