Canada Standard Zone Charts from Mississippi,,

Locate the zone by cross-refrencing the first three ,,

characters of the destination Postal Code in the Postal,,

Range column.,,



Postal Range,,Zone

A0A,A9Z,55

B0A,B9Z,55

C0A,C9Z,55

E0A,E9Z,55

G0A,G0A,52

G0B,G0L,55

G0M,G0S,52

G0T,G0W,55

G0X,G0Z,52

G1A,G2Z,52

G3A,G3K,52

G3L,G4Z,55

G5A,G5A,52

G5B,G5T,55

G5V,G6Z,52

G7A,G8S,55

G8T,G9Z,52

H0A,H0L,52

H0M,H0M,55

H0N,H9Z,52

J0A,J0L,52

J0M,J0M,55

J0N,J0V,52

J0W,J0Z,55

J1A,J4A,52

J4B,J4Z,52

J5A,J8N,52

J8P,J9C,52

J9E,J9E,55

J9G,J9J,52

J9K,J9Z,55

K0A,K0H,52

K0J,K0J,55

K0K,K0Z,52

K1A,K2R,52

K2S,K7T,52

K7V,K8H,55

K8J,L1E,52

L1G,L1Z,52

L2A,L2C,52

L2E,L2W,52

L2X,L3N,52

L3P,L3T,52

L3V,L3W,52

L3X,L4L,52

L4M,L4S,52

L4T,L9T,52

L9V,L9Z,52

M0A,M9Z,52

N0A,N1Z,52

N2A,N2V,52

N2W,N5T,52

N5V,N6N,52

N6P,N8M,52

N8N,N9K,52

N9L,N9Z,52

P0A,P9Z,55

R0A,R2B,55

R2C,R4A,52

R4B,R9Z,55

S0A,S4M,55

S4N,S4Z,52

S5A,S7G,55

S7H,S7V,52

S7W,S9Z,55

T0A,T0B,56

T0C,T0C,53

T0E,T1X,56

T1Y,T3L,53

T3M,T4Z,53

T5A,T6V,53

T6W,T7W,56

T7X,T8N,53

T8P,T8Z,56

T9A,T9E,53

T9G,T9Z,56

V0A,V0L,56

V0M,V0M,53

V0N,V1L,56

V1M,V1M,53

V1N,V2V,56

V2W,V3E,53

V3G,V3G,56

V3H,V7Z,53

V8A,V8K,56

V8L,V9E,53

V9G,V9Z,56
