UPS 2003 International Export Accessorials,
"EFFECTIVE JANUARY 6, 2003",
Rates do not include a fuel surcharge.,

ACCESSORIAL,RATE
Address Corrections,$10.00 
Bill Duty/Tax & Shipping Charges to Shipper,$15.00 
Bill Receiver/Freight Collect Refusal - International,$10.00 
Certificate of Origin,$10.00 
Currency Conversion Rate,0.75%
"Delivered Duty Paid, V.A.T. Unpaid",$15.00 
Extended Area Surcharge,Greater of $20 or $0.20 per pound
Insured Value (Excluding first $100),$0.35 per $100.00
International Dangerous Goods,$40.00 
Over Maximum Limits,$50.00 
Saturday Charge (Delivery),$12.50 
Shipper's Export Declaration,$10.00 
Ship Notification (Email),No Charge
Ship Notification (Fax),$1.00 
UPS Express NA1,Add $2 to the appropriate WW Express rates
UPS Worldwide Express Plus Surcharge,$40.00 
Weekly Service Charge ($0 - $14.99 Billed) ,$16.00 
Weekly Service Charge ($15.00-$59.99 Billed) ,$11.00 
Weekly Service Charge ( $60+ Billed) ,$7.00 

The dimensional weight factor for international shipments is 166.  ,
