Canada Standard Zone Charts from Wyoming,,
Locate the zone by cross-refrencing the first three ,,
characters of the destination Postal Code in the Postal,,
Range column.,,

Postal Range,,Zone
A0A,A9Z,56
B0A,B9Z,56
C0A,C9Z,56
E0A,E9Z,56
G0A,G0A,53
G0B,G0L,56
G0M,G0S,53
G0T,G0W,56
G0X,G0Z,53
G1A,G2Z,53
G3A,G3K,53
G3L,G4Z,56
G5A,G5A,53
G5B,G5T,56
G5V,G6Z,53
G7A,G8S,56
G8T,G9Z,53
H0A,H0L,53
H0M,H0M,56
H0N,H9Z,53
J0A,J0L,53
J0M,J0M,56
J0N,J0V,53
J0W,J0Z,56
J1A,J4A,53
J4B,J4Z,53
J5A,J8N,53
J8P,J9C,53
J9E,J9E,56
J9G,J9J,53
J9K,J9Z,56
K0A,K0H,53
K0J,K0J,56
K0K,K0Z,53
K1A,K2R,53
K2S,K7T,53
K7V,K8H,56
K8J,L1E,53
L1G,L1Z,53
L2A,L2C,53
L2E,L2W,53
L2X,L3N,53
L3P,L3T,53
L3V,L3W,53
L3X,L4L,53
L4M,L4S,53
L4T,L9T,53
L9V,L9Z,53
M0A,M9Z,53
N0A,N1Z,53
N2A,N2V,53
N2W,N5T,53
N5V,N6N,53
N6P,N8M,53
N8N,N9K,53
N9L,N9Z,53
P0A,P9Z,56
R0A,R2B,55
R2C,R4A,52
R4B,R9Z,55
S0A,S4M,55
S4N,S4Z,52
S5A,S7G,55
S7H,S7V,52
S7W,S9Z,55
T0A,T0B,55
T0C,T0C,52
T0E,T1X,55
T1Y,T3L,52
T3M,T4Z,52
T5A,T6V,52
T6W,T7W,55
T7X,T8N,52
T8P,T8Z,55
T9A,T9E,52
T9G,T9Z,55
V0A,V0L,55
V0M,V0M,52
V0N,V1L,55
V1M,V1M,52
V1N,V2V,55
V2W,V3E,52
V3G,V3G,55
V3H,V7Z,52
V8A,V8K,55
V8L,V9E,52
V9G,V9Z,55
